Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateMonth,StartDateDayModifier,StartDateDay,EndDateYearModifier,EndDateYear,EndDateMonth,EndDateDayModifier,EndDateDay,Longitude,Latitude
213021,Suphan Dagi,13907,Uncertain Eruption,,,,,Correlation: Tephrochronology,?,-8050,0,,0,,,,,,42.833,38.931
213020,Nemrut Dagi,10039,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-5745,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,10044,Confirmed Eruption,,,,,Sidereal: Varve Count,,-5242,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,10056,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-4849,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13312,Confirmed Eruption,,,,,Sidereal: Varve Count,,-4055,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13313,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-1662,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13331,Confirmed Eruption,,,,,Sidereal: Varve Count,,-787,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13910,Confirmed Eruption,,,East flank (Lake Van),,Observations: Reported,,1111,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13911,Confirmed Eruption,,,,,Sidereal: Varve Count,?,1402,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13912,Confirmed Eruption,,,North flank (Nemrut Boynu),,Observations: Reported,,1441,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13875,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-7087,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13876,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-6471,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13877,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-6213,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13899,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-1396,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13908,Confirmed Eruption,,,,,Sidereal: Varve Count,,-9950,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13909,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-7769,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13822,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-5152,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13823,Confirmed Eruption,,,,,Sidereal: Varve Count,?,-5085,0,,0,,,,,,42.229,38.654
213020,Nemrut Dagi,13824,Confirmed Eruption,,,,,Sidereal: Varve Count,,-4938,0,,0,,,,,,42.229,38.654
