timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-12-31,38.0,7.3,8726939434648068.0,5623413251903491.0,0.0,,,498.9277777777778,5.7147499999999996
1971-12-31,21.0,6.05,376579399266100.25,74989420933245.58,0.0,,,465.04761904761904,4.921
1972-12-31,19.0,6.67,1597903644074754.2,638263486190550.9,0.0,,,509.7916666666667,5.178625
1973-12-31,54.0,7.5,1.3366890785891066e+16,1.122018454301956e+16,0.0,,,447.7310606060606,5.265555555555555
1974-12-31,61.0,7.3,6353484133275750.0,5623413251903491.0,0.0,,,430.7919191919192,5.038151515151515
1975-12-31,48.0,6.5,848644994948979.0,354813389233574.56,0.0,,,431.3536585365854,5.0331
1976-12-31,85.0,7.5,1.4992902417113652e+16,1.122018454301956e+16,0.0,,,431.25136612021856,5.334185185185185
1977-12-31,33.0,6.4,514029955855278.44,251188643150959.25,0.0,,,430.01666666666665,4.9589
1978-12-31,63.0,7.7,2.5120144474036012e+16,2.2387211385683468e+16,0.0,,,432.16509433962267,4.8785357142857135
1979-12-31,65.0,7.6,1.9044807409287508e+16,1.5848931924611238e+16,0.0,,,440.7118055555556,5.068583333333334
1980-12-31,39.0,6.4,801633682174190.0,251188643150959.25,0.0,,,430.6756756756757,5.3184
1981-12-31,39.0,7.3,6091154418142863.0,5623413251903491.0,0.0,,,424.92424242424244,5.5873333333333335
1982-12-31,55.0,7.29,1.0503414085647894e+16,5432503314924325.0,0.0,,,441.1666666666667,4.7689615384615385
1983-12-31,76.0,7.1,6215735863107880.0,2818382931264460.5,0.0,,,433.8150510204082,5.090510416666667
1984-12-31,44.0,6.4,1058529230730447.1,251188643150959.25,0.0,,,443.0625,4.9670000000000005
1985-12-31,52.0,8.0,8.018144563652182e+16,6.309573444801891e+16,0.0,,,464.2083333333333,5.02985294117647
1986-12-31,40.0,7.0,2680883454199468.0,1995262314968874.8,0.0,,,465.3243243243243,5.300818181818181
1987-12-31,55.0,6.5,2021228376852506.0,354813389233574.56,0.0,,,470.8368794326241,4.939363636363637
1988-12-31,47.0,6.6,1648777373312318.5,501187233627273.5,0.0,,,450.6707317073171,4.870384615384615
1989-12-31,43.0,6.9,2367162212900135.5,1412537544622761.2,0.0,,,449.2073170731707,4.9634285714285715
1990-12-31,55.0,7.3,8315226725372332.0,5623413251903491.0,0.0,,,465.3768115942029,5.263462962962963
1991-12-31,71.0,7.6,2.182944832244251e+16,1.5848931924611238e+16,0.0,,,472.7342767295598,5.5040000000000004
1992-12-31,85.0,7.7,2.8861013163977084e+16,2.2387211385683468e+16,0.0,,,464.8495229260535,4.9025
1993-12-31,55.0,7.2,7204368858660715.0,3981071705534985.5,0.0,,,474.90625,5.061462962962963
1994-12-31,45.0,6.9,3210416672171081.5,1412537544622761.2,0.0,,,472.38461538461536,4.984142857142857
1995-12-31,53.0,8.0,7.706957923828482e+16,6.309573444801891e+16,0.0,,,496.76356589147287,5.794625
1996-12-31,55.0,7.1,6589559177460873.0,2818382931264460.5,0.0,,,486.06511627906974,5.069956140350877
1997-12-31,53.0,7.2,8398503270667335.0,3981071705534985.5,0.0,,,482.6630434782609,4.768684210526316
1998-12-31,39.0,6.7,2312596157879528.5,707945784384140.2,0.0,,,479.43055555555554,5.021818181818182
1999-12-31,48.0,7.5,1.6867453846175566e+16,1.122018454301956e+16,0.0,,,497.05038759689927,5.702142857142857
2000-12-31,48.0,6.5,1740005133883932.2,354813389233574.56,0.0,,,458.0,5.216444444444445
2001-12-31,65.0,7.7,2.4551322721350916e+16,2.2387211385683468e+16,0.0,,,485.537037037037,5.025746913580247
2002-12-31,66.0,6.8,3008651391914407.5,1000000000000000.0,0.0,,,461.15204678362574,5.0877187500000005
2003-12-31,38.0,7.6,1.7354357188828564e+16,1.5848931924611238e+16,0.0,,,481.92857142857144,4.933592592592593
2004-12-31,58.0,7.2,8750920087382920.0,3981071705534985.5,0.0,72.5,5.76,492.64444444444445,5.278666666666667
2005-12-31,60.0,6.6,2111912527457955.2,501187233627273.5,0.0,34.31818181818182,4.570454545454545,469.8627450980392,4.690409090909092
2006-12-31,66.0,6.2,895480632402999.2,125892541179417.14,0.0,38.25,4.083333333333333,439.6543209876543,5.516785714285715
2007-12-31,73.0,6.7,1550343635448494.5,707945784384140.2,0.0,81.5,4.2295454545454545,444.7158469945355,4.8125625
2008-12-31,69.0,6.7,2043186199440423.8,707945784384140.2,0.0,46.15384615384615,5.023076923076923,439.3743169398907,5.278722222222222
2009-12-31,87.0,7.3,7219933850585988.0,5623413251903491.0,0.0,140.14015151515153,4.7303030303030305,488.54166666666663,5.369192307692307
2010-12-31,73.0,6.7,1711429512997845.5,707945784384140.2,0.0,119.04824561403508,4.266228070175439,473.39247311827955,4.9182500000000005
2011-12-31,81.0,6.6,1868705318749937.8,501187233627273.5,0.0,97.47008547008546,4.349572649572649,467.7981770833333,5.091888888888889
2012-12-31,88.0,7.6,3.990132577139481e+16,1.5848931924611238e+16,0.0,168.25,5.073863636363637,514.76171875,5.422590909090909
2013-12-31,50.0,6.7,2007947668612417.8,707945784384140.2,2.0,60.375,5.0078125,481.98837209302326,5.268
2014-12-31,68.0,7.3,1.4071688160551296e+16,5623413251903491.0,8.0,31.052083333333332,4.757291666666666,494.58035714285717,5.261410714285715
2015-12-31,62.0,6.7,2219133923210319.5,707945784384140.2,6.0,18.04255319148936,3.609929078014184,456.2978395061728,4.16045652173913
2016-12-31,59.0,6.9,2836886803191797.5,1412537544622761.2,2.0,21.88888888888889,3.2173611111111113,460.5457516339869,4.395739130434783
2017-12-31,104.0,8.2,1.3233022046576406e+17,1.258925411794161e+17,4.0,70.6078431372549,3.744901960784314,462.4231758277081,4.38294696969697
2018-12-31,72.0,7.5,1.613090887214057e+16,1.122018454301956e+16,3.0,86.73809523809524,4.218367346938775,493.5163934426229,4.783230769230769
2019-12-31,51.0,6.7,2076840160137529.2,707945784384140.2,2.0,54.575,3.9887499999999996,492.9518518518518,3.7505217391304346
