,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry
147,341040,256.38,19.514,Colima,Stratovolcano(es),Mexico,Middle America-Caribbean Volcanic Regions,19.514,-103.62,3850,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-103.62 19.514)
148,341090,261.378,19.023,Popocatepetl,Stratovolcano(es),Mexico,Middle America-Caribbean Volcanic Regions,19.023,-98.622,5393,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-98.622 19.023)
149,341120,266.7703,17.3602,"Chichon, El",Lava dome(s),Mexico,Middle America-Caribbean Volcanic Regions,17.3602,-93.2297,1150,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite,True,1982,POINT (-93.2297 17.3602)
150,341130,267.891,15.132,Tacana,Stratovolcano(es),Mexico-Guatemala,Middle America-Caribbean Volcanic Regions,15.132,-92.109,4064,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1986,POINT (-92.109 15.132)
151,342080,269.124,14.501,Acatenango,Stratovolcano(es),Guatemala,Middle America-Caribbean Volcanic Regions,14.501,-90.876,3976,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1972,POINT (-90.876 14.501)
152,342090,269.12,14.473,Fuego,Stratovolcano(es),Guatemala,Middle America-Caribbean Volcanic Regions,14.473,-90.88,3763,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2024,POINT (-90.88 14.473)
153,342110,269.399,14.382,Pacaya,Complex,Guatemala,Middle America-Caribbean Volcanic Regions,14.382,-90.601,2569,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2021,POINT (-90.601 14.382)
154,343020,270.37,13.853,Santa Ana,Stratovolcano(es),El Salvador,Middle America-Caribbean Volcanic Regions,13.853,-89.63,2381,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2005,POINT (-89.63 13.853)
155,343100,271.731,13.434,San Miguel,Stratovolcano(es),El Salvador,Middle America-Caribbean Volcanic Regions,13.434,-88.269,2130,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2018,POINT (-88.269 13.434)
156,344020,272.996,12.702,San Cristobal,Stratovolcano(es),Nicaragua,Middle America-Caribbean Volcanic Regions,12.702,-87.004,1745,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2019,POINT (-87.004 12.702)
157,344040,273.16,12.606,Telica,Stratovolcano(es),Nicaragua,Middle America-Caribbean Volcanic Regions,12.606,-86.84,1036,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2018,POINT (-86.84 12.606)
158,344070,273.298,12.506,"Negro, Cerro",Cone(s),Nicaragua,Middle America-Caribbean Volcanic Regions,12.506,-86.702,728,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,1999,POINT (-86.702 12.506)
159,344090,273.461,12.423,Momotombo,Stratovolcano(es),Nicaragua,Middle America-Caribbean Volcanic Regions,12.423,-86.539,1270,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2016,POINT (-86.539 12.423)
160,344100,273.8312,11.9844,Masaya,Caldera,Nicaragua,Middle America-Caribbean Volcanic Regions,11.9844,-86.1688,594,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2024,POINT (-86.1688 11.9844)
161,344120,274.378,11.538,Concepcion,Stratovolcano(es),Nicaragua,Middle America-Caribbean Volcanic Regions,11.538,-85.622,1700,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2011,POINT (-85.622 11.538)
162,345020,274.676,10.83,Rincon de la Vieja,Complex,Costa Rica,Middle America-Caribbean Volcanic Regions,10.83,-85.324,1916,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-85.324 10.83)
163,345033,275.297,10.463,Arenal,Stratovolcano(es),Costa Rica,Middle America-Caribbean Volcanic Regions,10.463,-84.703,1670,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2010,POINT (-84.703 10.463)
164,345040,275.767,10.2,Poas,Stratovolcano(es),Costa Rica,Middle America-Caribbean Volcanic Regions,10.2,-84.233,2697,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-84.233 10.2)
165,345060,276.148,9.979,Irazu,Stratovolcano(es),Costa Rica,Middle America-Caribbean Volcanic Regions,9.979,-83.852,3436,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1994,POINT (-83.852 9.979)
166,345070,276.233,10.025,Turrialba,Stratovolcano(es),Costa Rica,Middle America-Caribbean Volcanic Regions,10.025,-83.767,3340,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-83.767 10.025)
