timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-12-31,27.0,7.11,4014662603090520.0,2917427014001166.0,0.0,,,519.1730769230769,4.93825
1971-12-31,38.0,6.99,5898887611466211.0,1927524913190944.5,0.0,,,519.8409090909091,6.541
1972-12-31,31.0,6.46,1473023032587286.2,309029543251359.2,0.0,,,504.4404761904762,5.202
1973-12-31,60.0,6.4,1063658547788022.6,251188643150959.25,0.0,,,443.4795918367347,5.149333333333334
1974-12-31,60.0,6.5,1295898251483634.8,354813389233574.56,0.0,,,442.33666666666664,4.79375
1975-12-31,49.0,7.6,1.6893990623505546e+16,1.5848931924611238e+16,0.0,3.0,5.6,444.6931818181818,6.1898
1976-12-31,47.0,6.7,1084454873396625.0,707945784384140.2,0.0,,,420.55625,4.1979999999999995
1977-12-31,63.0,6.7,2804668881077512.5,707945784384140.2,0.0,,,424.7018518518518,6.4
1978-12-31,47.0,6.7,1652105850904324.2,707945784384140.2,0.0,,,435.8375,
1979-12-31,51.0,6.7,1512810359194188.8,707945784384140.2,0.0,,,439.1860465116279,5.631500000000001
1980-12-31,59.0,7.2,6837096342944407.0,3981071705534985.5,0.0,,,432.2210884353741,6.031875
1981-12-31,36.0,7.0,2305207834327818.0,1995262314968874.8,0.0,,,424.7083333333333,6.232
1982-12-31,46.0,6.4,693861469219531.6,251188643150959.25,0.0,,,432.88461538461536,
1983-12-31,56.0,6.9,2931505960842717.0,1412537544622761.2,0.0,2.0,4.6,434.4872340425532,6.1975
1984-12-31,53.0,6.7,1300063451354930.0,707945784384140.2,0.0,,,439.6979166666667,6.1054
1985-12-31,53.0,6.6,2074505191697067.2,501187233627273.5,0.0,,,459.5833333333333,5.1935
1986-12-31,165.0,8.0,6.729132357723539e+16,6.309573444801891e+16,0.0,,,441.9399879542937,6.1690000000000005
1987-12-31,72.0,6.9,4769778052609932.0,1412537544622761.2,0.0,,,439.98534482758623,6.3425
1988-12-31,72.0,6.4,1112207849173429.8,251188643150959.25,0.0,,,431.66815476190476,4.925
1989-12-31,60.0,7.0,4084212571812121.0,1995262314968874.8,0.0,,,446.3324074074074,5.0504999999999995
1990-12-31,64.0,7.1,4229183144385266.0,2818382931264460.5,0.0,,,444.7,5.4525999999999994
1991-12-31,49.0,7.0,7124235644447924.0,1995262314968874.8,0.0,,,470.4385964912281,5.557625
1992-12-31,72.0,7.2,6869608889509959.0,3981071705534985.5,0.0,118.0,9.0,473.44940476190476,6.518
1993-12-31,60.0,6.9,4007037241665699.0,1412537544622761.2,0.0,,,447.9461805555556,5.7745
1994-12-31,45.0,7.1,3544952875456858.0,2818382931264460.5,0.0,,,448.65765765765764,5.871333333333333
1995-12-31,37.0,6.6,1556983892040048.5,501187233627273.5,0.0,,,459.828431372549,5.428
1996-12-31,102.0,7.9,5.285201302770253e+16,4.466835921509653e+16,0.0,,,448.19972031528096,6.836
1997-12-31,52.0,6.7,2221592857431129.5,707945784384140.2,0.0,,,451.5681818181818,6.049
1998-12-31,44.0,6.3,681067675469364.0,177827941003892.28,0.0,,,438.5743243243243,
