timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-31,3.0,6.4,285937499119767.0,251188643150959.25,0.0,,,517.6666666666666,6.419
1970-02-28,14.0,6.07,591368559619130.5,80352612218561.61,0.0,,,519.1309523809524,
1970-03-31,5.0,6.2,338508396706678.75,125892541179417.14,0.0,,,540.4,3.951
1970-04-30,5.0,6.09,203054997329924.56,86099375218459.81,0.0,,,519.2,4.537
1970-05-31,6.0,7.12,3352221923770404.5,3019951720402019.0,0.0,,,557.25,
1970-06-30,5.0,6.05,191383639700421.84,74989420933245.58,0.0,,,512.8,
1970-07-31,5.0,7.0,2260760632547037.0,1995262314968874.8,0.0,,,621.1111111111112,5.6370000000000005
1970-08-31,6.0,7.31,5907326726932050.0,5821032177708722.0,0.0,,,512.9,
1970-09-30,6.0,6.6,1182978814235159.2,501187233627273.5,0.0,,,582.1666666666666,4.261
1970-10-31,7.0,6.42,577811814918658.9,269153480392692.5,0.0,,,537.25,5.590999999999999
1970-11-30,5.0,5.86,118729473297638.31,38904514499428.05,0.0,,,498.125,
1970-12-31,3.0,6.66,976236306019110.8,616595001861481.0,0.0,,,613.3333333333334,5.13
1971-01-31,7.0,6.87,1482882194929596.2,1273503081016663.0,0.0,,,534.5,4.4215
1971-02-28,3.0,5.81,64005445597612.33,32734069487883.863,0.0,,,494.0,6.297
1971-03-31,6.0,5.94,155837910842724.88,51286138399136.586,0.0,,,500.3333333333333,
1971-04-30,3.0,6.07,105861736346692.22,80352612218561.61,0.0,,,503.0,3.996
1971-05-31,4.0,6.18,307053734611208.94,117489755493952.55,0.0,,,552.0,5.4750000000000005
1971-06-30,2.0,6.02,90782244038882.72,67608297539197.914,0.0,,,530.0,3.898
1971-07-31,2.0,5.61,28851043849709.258,16405897731995.387,0.0,,,477.0,5.618
1971-08-31,5.0,7.12,3431260467855974.0,3019951720402019.0,0.0,,,584.375,5.853
1971-09-30,15.0,7.3,8217115972469526.0,5623413251903491.0,0.0,,,573.6944444444445,5.282649999999999
