timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-04,0.0,,0.0,,0.0,,,,
1970-01-11,0.0,,0.0,,0.0,,,,
1970-01-18,1.0,5.8,31622776601683.793,31622776601683.793,0.0,,,518.0,
1970-01-25,2.0,6.4,254314722518083.22,251188643150959.25,0.0,,,517.5,6.419
1970-02-01,0.0,,0.0,,0.0,,,,
1970-02-08,11.0,6.04,455418893600078.5,72443596007498.9,0.0,,,522.6833333333333,
1970-02-15,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1970-02-22,0.0,,0.0,,0.0,,,,
1970-03-01,2.0,6.07,123504519901338.11,80352612218561.61,0.0,,,550.5,
1970-03-08,1.0,6.2,125892541179417.14,125892541179417.14,0.0,,,591.0,
1970-03-15,2.0,6.2,175437560259896.0,125892541179417.14,0.0,,,566.0,
1970-03-22,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1970-03-29,1.0,5.7,22387211385683.47,22387211385683.47,0.0,,,500.0,3.951
1970-04-05,1.0,5.7,22387211385683.47,22387211385683.47,0.0,,,500.0,4.537
1970-04-12,1.0,5.68,20892961308540.324,20892961308540.324,0.0,,,496.0,
1970-04-19,2.0,6.09,144983740754018.66,86099375218459.81,0.0,,,560.5,
1970-04-26,0.0,,0.0,,0.0,,,,
1970-05-03,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1970-05-10,1.0,6.08,83176377110267.42,83176377110267.42,0.0,,,569.0,
1970-05-17,0.0,,0.0,,0.0,,,,
1970-05-24,0.0,,0.0,,0.0,,,,
1970-05-31,5.0,7.12,3269045546660137.0,3019951720402019.0,0.0,,,551.375,
1970-06-07,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-06-14,1.0,6.05,74989420933245.58,74989420933245.58,0.0,,,563.0,
1970-06-21,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-06-28,2.0,6.03,82429345717941.33,69984199600227.45,0.0,,,514.5,
1970-07-05,0.0,,0.0,,0.0,,,,
1970-07-12,3.0,6.14,139605776398744.9,102329299228075.36,0.0,,,518.3333333333334,
1970-07-19,0.0,,0.0,,0.0,,,,
1970-07-26,2.0,7.0,2121154856148292.0,1995262314968874.8,0.0,,,672.5,5.6370000000000005
1970-08-02,0.0,,0.0,,0.0,,,,
1970-08-09,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,
1970-08-16,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,
1970-08-23,0.0,,0.0,,0.0,,,,
1970-08-30,4.0,7.31,5881968868264243.0,5821032177708722.0,0.0,,,540.5,
1970-09-06,2.0,6.6,832318355109864.2,501187233627273.5,0.0,,,658.0,
1970-09-13,0.0,,0.0,,0.0,,,,
1970-09-20,2.0,6.39,307974064772988.9,242661009508241.44,0.0,,,592.0,4.514
1970-09-27,1.0,5.74,25703957827688.75,25703957827688.75,0.0,,,507.0,
1970-10-04,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,4.008
1970-10-11,3.0,5.89,83576690233089.58,43151907682776.5,0.0,,,497.0,
1970-10-18,4.0,6.42,494235124685569.3,269153480392692.5,0.0,,,577.5,5.590999999999999
1970-10-25,0.0,,0.0,,0.0,,,,
1970-11-01,0.0,,0.0,,0.0,,,,
1970-11-08,0.0,,0.0,,0.0,,,,
1970-11-15,1.0,5.79,30549211132155.094,30549211132155.094,0.0,,,516.0,
1970-11-22,3.0,5.86,71197825640865.77,38904514499428.05,0.0,,,495.25,
1970-11-29,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-12-06,1.0,6.48,331131121482590.75,331131121482590.75,0.0,,,646.0,5.13
1970-12-13,1.0,6.66,616595001861481.0,616595001861481.0,0.0,,,682.0,
1970-12-20,0.0,,0.0,,0.0,,,,
1970-12-27,1.0,5.77,28510182675038.98,28510182675038.98,0.0,,,512.0,
1971-01-03,1.0,5.21,4120975190973.304,4120975190973.304,0.0,,,418.0,
1971-01-10,4.0,6.21,191922924400326.8,130316677845230.0,0.0,,,529.6666666666666,4.4215
1971-01-17,0.0,,0.0,,0.0,,,,
1971-01-24,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,
1971-01-31,1.0,6.87,1273503081016663.0,1273503081016663.0,0.0,,,726.0,
1971-02-07,2.0,5.81,47023009072994.875,32734069487883.863,0.0,,,498.0,
1971-02-14,0.0,,0.0,,0.0,,,,
1971-02-21,0.0,,0.0,,0.0,,,,
1971-02-28,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,6.297
1971-03-07,2.0,5.94,87593943876146.61,51286138399136.586,0.0,,,534.0,
1971-03-14,0.0,,0.0,,0.0,,,,
1971-03-21,2.0,5.67,31798149775219.14,20183663636815.68,0.0,,,481.0,
1971-03-28,2.0,5.73,36445817191359.14,24831331052955.68,0.0,,,486.0,
1971-04-04,1.0,6.07,80352612218561.61,80352612218561.61,0.0,,,567.0,3.996
1971-04-11,2.0,5.57,25509124128130.617,14288939585111.008,0.0,,,471.0,
1971-04-18,0.0,,0.0,,0.0,,,,
1971-04-25,0.0,,0.0,,0.0,,,,
1971-05-02,0.0,,0.0,,0.0,,,,
1971-05-09,0.0,,0.0,,0.0,,,,
1971-05-16,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1971-05-23,0.0,,0.0,,0.0,,,,
1971-05-30,3.0,6.18,292262650729526.8,117489755493952.55,0.0,,,576.3333333333334,5.4750000000000005
1971-06-06,0.0,,0.0,,0.0,,,,
1971-06-13,2.0,6.02,90782244038882.72,67608297539197.914,0.0,,,530.0,3.898
1971-06-20,0.0,,0.0,,0.0,,,,
1971-06-27,0.0,,0.0,,0.0,,,,
1971-07-04,0.0,,0.0,,0.0,,,,
1971-07-11,0.0,,0.0,,0.0,,,,
1971-07-18,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1971-07-25,1.0,5.61,16405897731995.387,16405897731995.387,0.0,,,484.0,5.618
1971-08-01,1.0,5.68,20892961308540.324,20892961308540.324,0.0,,,496.0,
1971-08-08,2.0,7.12,3031566206540422.5,3019951720402019.0,0.0,,,623.5,5.853
1971-08-15,0.0,,0.0,,0.0,,,,
