timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-12-31,70.0,7.31,1.5986318784195982e+16,5821032177708722.0,0.0,,,540.0566037735849,5.1015
1971-12-31,66.0,7.62,3.822199015759313e+16,1.698243652461746e+16,0.0,,,539.35,5.281013888888889
1972-12-31,56.0,7.4,1.475880612995105e+16,7943282347242854.0,0.0,,,521.8137254901961,4.96925
1973-12-31,223.0,7.7,3.2695327131264436e+16,2.2387211385683468e+16,0.0,,,439.13823454323455,4.82745
1974-12-31,174.0,6.7,3851290181815775.0,707945784384140.2,0.0,,,443.86970378702665,4.670357142857143
1975-12-31,249.0,7.0,5468791772836264.0,1995262314968874.8,0.0,,,431.9439299123905,4.864230769230769
1976-12-31,239.0,7.0,3659805116835796.5,1995262314968874.8,0.0,,,420.0729082109034,4.48925
1977-12-31,163.0,6.8,2471998814302710.0,1000000000000000.0,0.0,,,426.1341807909605,4.214333333333333
1978-12-31,323.0,7.7,5.938886085655352e+16,2.2387211385683468e+16,0.0,,,432.90529461840254,4.973205882352941
1979-12-31,126.0,6.4,1410814724548771.8,251188643150959.25,0.0,,,425.65172955974845,4.492875
1980-12-31,158.0,7.0,3906727527813322.0,1995262314968874.8,0.0,,,429.8811708169506,4.618454545454545
1981-12-31,165.0,6.9,4202230454157039.5,1412537544622761.2,0.0,,,436.7570138888889,4.298222222222222
1982-12-31,193.0,7.1,1.1938361404342892e+16,2818382931264460.5,0.0,,,432.818,4.9295
1983-12-31,260.0,7.4,1.5620974166375194e+16,7943282347242854.0,0.0,,,430.3377761044177,5.04875
1984-12-31,226.0,7.4,2.3337983101150304e+16,7943282347242854.0,0.0,,,434.3605953148506,5.132272727272727
1985-12-31,277.0,6.5,3773429424677724.0,354813389233574.56,0.0,,,420.9081854043393,4.069285714285714
1986-12-31,172.0,6.8,4455200125360343.5,1000000000000000.0,0.0,,,430.1033333333333,4.958555555555556
1987-12-31,209.0,6.8,1.0363819339501758e+16,1000000000000000.0,0.0,,,441.34096244131456,5.041433333333333
1988-12-31,176.0,6.9,4056576858914732.0,1412537544622761.2,0.0,,,434.13573333333335,4.398285714285715
1989-12-31,210.0,7.4,1.3806157459610076e+16,7943282347242854.0,0.0,,,431.5604409171076,4.567166666666666
1990-12-31,228.0,7.6,2.3194592066962256e+16,1.5848931924611238e+16,0.0,,,433.4541710114703,4.7091
1991-12-31,215.0,7.6,2.1873652539264256e+16,1.5848931924611238e+16,0.0,,,434.3067365383155,5.408888888888889
1992-12-31,216.0,6.9,8163237965484794.0,1412537544622761.2,0.0,,,448.972207977208,4.503464285714285
1993-12-31,222.0,7.8,8.851608689984389e+16,3.162277660168379e+16,0.0,14.0,9.0,437.1844540669044,5.292533333333334
1994-12-31,358.0,8.3,2.2718879835864432e+17,1.778279410038923e+17,0.0,,,433.22031944744793,4.916115384615384
1995-12-31,272.0,7.9,6.284522913067726e+16,4.466835921509653e+16,0.0,,,453.18005105223415,5.56878125
1996-12-31,208.0,7.2,1.3178993824912172e+16,3981071705534985.5,0.0,,,455.86813725490197,5.248035714285714
1997-12-31,201.0,7.8,3.4685363995958e+16,3.162277660168379e+16,0.0,,,442.45183531746034,5.283230769230769
1998-12-31,127.0,7.1,5120729018449107.0,2818382931264460.5,0.0,,,445.15476190476187,4.752923076923077
1999-12-31,149.0,6.9,3751823291903570.5,1412537544622761.2,0.0,,,446.15045871559636,4.951666666666667
2000-12-31,228.0,7.6,3.0211895852406456e+16,1.5848931924611238e+16,0.0,,,454.4448955121617,5.615992424242425
2001-12-31,138.0,7.0,6965597238605117.0,1995262314968874.8,0.0,,,451.1505892255892,5.155444444444445
2002-12-31,114.0,7.3,1.1074044017297956e+16,5623413251903491.0,0.0,,,457.2315789473684,4.607818181818182
2003-12-31,184.0,8.16,1.2816855975594934e+17,1.0964781961431829e+17,0.0,4.0,3.1,449.1070856873823,4.709152631578948
2004-12-31,173.0,7.4,2.092691955421219e+16,7943282347242854.0,0.0,22.153846153846153,4.007692307692308,454.2807562807563,5.238078125
2005-12-31,155.0,7.2,1.0837262072809714e+16,3981071705534985.5,0.0,88.48387096774194,4.611290322580645,463.8968660968661,5.097470588235294
