,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
53,283170,17913,Confirmed Eruption,1,Observations: Reported,1996,9,1,1996,9,1,1996-09-01,1996-09-01
54,283180,17937,Confirmed Eruption,1,Observations: Reported,1977,12,7,1977,12,7,1977-12-07,1977-12-07
55,290240,22288,Confirmed Eruption,2,Observations: Reported,2018,9,8,2018,10,15,2018-09-08,2018-10-15
56,290240,22308,Confirmed Eruption,2,Observations: Reported,2017,10,12,2017,11,13,2017-10-12,2017-11-13
57,290240,22320,Confirmed Eruption,2,Observations: Reported,2019,5,16,2019,10,7,2019-05-16,2019-10-07
58,290240,18817,Confirmed Eruption,1,Observations: Reported,1986,9,1,1986,9,1,1986-09-01,1986-09-01
59,290240,18818,Confirmed Eruption,1,Observations: Reported,1989,1,13,1989,1,14,1989-01-13,1989-01-14
60,290240,18819,Confirmed Eruption,4,Observations: Reported,2009,6,11,2009,7,16,2009-06-11,2009-07-16
61,290240,18820,Uncertain Eruption,2,Observations: Satellite (visual),2010,9,20,2010,9,20,2010-09-20,2010-09-20
62,290240,18816,Confirmed Eruption,2,Observations: Reported,1976,9,23,1976,10,2,1976-09-23,1976-10-02
63,290250,22321,Confirmed Eruption,3,Observations: Reported,2019,6,22,2019,7,1,2019-06-22,2019-07-01
64,290260,20757,Confirmed Eruption,1,Observations: Reported,2013,6,11,2014,6,1,2013-06-11,2014-06-01
65,290260,18828,Confirmed Eruption,2,Observations: Reported,1979,4,16,1980,10,10,1979-04-16,1980-10-10
66,290260,18829,Confirmed Eruption,1,Observations: Reported,1986,10,11,1986,10,12,1986-10-11,1986-10-12
67,290260,18830,Confirmed Eruption,2,Observations: Reported,2004,7,20,2004,7,20,2004-07-20,2004-07-20
68,290260,22175,Confirmed Eruption,3,Observations: Reported,2016,11,29,2017,4,7,2016-11-29,2017-04-07
69,290260,22223,Confirmed Eruption,2,Observations: Reported,2014,11,21,2015,8,10,2014-11-21,2015-08-10
70,290270,18832,Confirmed Eruption,1,Observations: Reported,1980,5,24,1980,5,24,1980-05-24,1980-05-24
71,290270,18833,Confirmed Eruption,2,Observations: Reported,2010,6,30,2010,8,10,2010-06-30,2010-08-10
