timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-04,1.0,5.44,9120108393559.115,9120108393559.115,0.0,,,455.0,
1970-01-11,0.0,,0.0,,0.0,,,,
1970-01-18,1.0,5.38,7413102413009.192,7413102413009.192,0.0,,,445.0,
1970-01-25,0.0,,0.0,,0.0,,,,
1970-02-01,1.0,5.77,28510182675038.98,28510182675038.98,0.0,,,512.0,6.276
1970-02-08,0.0,,0.0,,0.0,,,,
1970-02-15,3.0,5.9,66670963125586.97,44668359215096.53,0.0,,,487.6666666666667,5.874
1970-02-22,0.0,,0.0,,0.0,,,,
1970-03-01,2.0,5.57,19721442900035.332,14288939585111.008,0.0,,,454.0,
1970-03-08,0.0,,0.0,,0.0,,,,
1970-03-15,1.0,6.01,65313055264747.43,65313055264747.43,0.0,,,556.0,4.216
1970-03-22,0.0,,0.0,,0.0,,,,
1970-03-29,1.0,5.25,4731512589614.793,4731512589614.793,0.0,,,424.0,
1970-04-05,1.0,5.65,18836490894898.098,18836490894898.098,0.0,,,491.0,4.285
1970-04-12,0.0,,0.0,,0.0,,,,
1970-04-19,1.0,5.11,2917427014001.166,2917427014001.166,0.0,,,402.0,
1970-04-26,1.0,5.22,4265795188015.917,4265795188015.917,0.0,,,419.0,
1970-05-03,0.0,,0.0,,0.0,,,,
1970-05-10,0.0,,0.0,,0.0,,,,
1970-05-17,1.0,5.45,9440608762859.266,9440608762859.266,0.0,,,457.0,
1970-05-24,1.0,5.24,4570881896148.7705,4570881896148.7705,0.0,,,422.0,
1970-05-31,3.0,7.9,4.477144102683961e+16,4.466835921509653e+16,0.0,,,672.3333333333334,5.886666666666667
1970-06-07,10.0,6.4,504144482391354.56,251188643150959.25,0.0,,,496.4666666666666,4.780111111111111
1970-06-14,4.0,6.96,2333355493199160.0,1737800828749376.2,0.0,,,570.1666666666666,6.4335
1970-06-21,5.0,6.5,469406666515009.5,354813389233574.56,0.0,,,530.6,5.3294999999999995
1970-06-28,2.0,5.69,25216404583720.312,21627185237270.246,0.0,,,454.5,4.091
1970-07-05,2.0,6.0,80078170972636.62,63095734448019.17,0.0,,,520.0,4.443
1970-07-12,1.0,5.54,12882495516931.322,12882495516931.322,0.0,,,472.0,
1970-07-19,1.0,5.1,2818382931264.461,2818382931264.461,0.0,,,400.0,
1970-07-26,0.0,,0.0,,0.0,,,,
1970-08-02,1.0,8.0,6.309573444801891e+16,6.309573444801891e+16,0.0,,,985.0,3.423
1970-08-09,1.0,5.81,32734069487883.863,32734069487883.863,0.0,,,519.0,4.076
1970-08-16,0.0,,0.0,,0.0,,,,
1970-08-23,0.0,,0.0,,0.0,,,,
1970-08-30,0.0,,0.0,,0.0,,,,
1970-09-06,1.0,5.19,3845917820453.5435,3845917820453.5435,0.0,,,414.0,
1970-09-13,0.0,,0.0,,0.0,,,,
1970-09-20,2.0,5.7,44774422771366.94,22387211385683.47,0.0,,,500.0,4.8575
1970-09-27,3.0,6.56,846217320827390.1,436515832240166.56,0.0,,,621.0,6.77675
1970-10-04,1.0,5.24,4570881896148.7705,4570881896148.7705,0.0,,,422.0,
1970-10-11,0.0,,0.0,,0.0,,,,
1970-10-18,0.0,,0.0,,0.0,,,,
1970-10-25,2.0,5.11,5834854028002.332,2917427014001.166,0.0,,,402.0,
1970-11-01,1.0,5.14,3235936569296.2812,3235936569296.2812,0.0,,,406.0,
1970-11-08,2.0,5.75,31677157680735.055,26607250597988.03,0.0,,,468.0,
1970-11-15,2.0,5.75,30322602888959.742,26607250597988.03,0.0,,,461.0,5.416
1970-11-22,0.0,,0.0,,0.0,,,,
1970-11-29,2.0,6.0,107764093663115.7,63095734448019.17,0.0,,,545.0,5.5065
1970-12-06,3.0,6.5,381223272302555.6,354813389233574.56,0.0,,,552.0,6.2844999999999995
1970-12-13,10.0,7.2,4378024985847671.5,3981071705534985.5,0.0,,,492.4333333333333,6.116499999999999
1970-12-20,5.0,5.87,78010388124077.48,40271703432545.945,0.0,,,462.0,5.8715
1970-12-27,6.0,5.61,48070179713599.69,16405897731995.387,0.0,,,430.1111111111111,
1971-01-03,2.0,5.88,57535870271644.805,41686938347033.63,0.0,,,507.0,5.582
1971-01-10,0.0,,0.0,,0.0,,,,
1971-01-17,1.0,5.54,12882495516931.322,12882495516931.322,0.0,,,472.0,
1971-01-24,3.0,5.78,47578819177911.94,29512092266663.902,0.0,,,481.5,4.993
1971-01-31,2.0,5.25,8081166981193.086,4731512589614.793,0.0,,,416.0,6.0
1971-02-07,1.0,5.87,40271703432545.945,40271703432545.945,0.0,,,530.0,
1971-02-14,1.0,5.17,3589219346450.0645,3589219346450.0645,0.0,,,411.0,
1971-02-21,2.0,6.88,1342245067746604.8,1318256738556410.0,0.0,,,615.5,5.2620000000000005
1971-02-28,1.0,5.12,3019951720402.019,3019951720402.019,0.0,,,403.0,
1971-03-07,0.0,,0.0,,0.0,,,,
1971-03-14,0.0,,0.0,,0.0,,,,
1971-03-21,2.0,5.57,17878158931561.07,14288939585111.008,0.0,,,444.0,
1971-03-28,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,
1971-04-04,0.0,,0.0,,0.0,,,,
1971-04-11,3.0,5.61,26909041274835.52,16405897731995.387,0.0,,,456.0,
1971-04-18,1.0,5.18,3715352290971.7124,3715352290971.7124,0.0,,,413.0,
1971-04-25,1.0,5.73,24831331052955.68,24831331052955.68,0.0,,,505.0,4.08
1971-05-02,0.0,,0.0,,0.0,,,,
1971-05-09,2.0,6.01,69028407555719.14,65313055264747.43,0.0,,,484.5,
1971-05-16,1.0,5.14,3235936569296.2812,3235936569296.2812,0.0,,,406.0,
1971-05-23,4.0,6.7,782948122656403.1,707945784384140.2,0.0,,,533.0,4.79
1971-05-30,0.0,,0.0,,0.0,,,,
1971-06-06,1.0,5.16,3467368504525.3096,3467368504525.3096,0.0,,,410.0,
1971-06-13,2.0,5.8,56454107654639.47,31622776601683.793,0.0,,,511.5,5.373
1971-06-20,2.0,6.3,184746250713081.66,177827941003892.28,0.0,,,526.5,5.369
1971-06-27,0.0,,0.0,,0.0,,,,
1971-07-04,2.0,5.62,29427582642331.33,16982436524617.46,0.0,,,478.0,4.07
1971-07-11,4.0,7.8,3.186406137328885e+16,3.162277660168379e+16,0.0,,,614.6666666666667,7.186999999999999
1971-07-18,2.0,5.6,19694849745064.72,15848931924611.174,0.0,,,448.0,
1971-07-25,0.0,,0.0,,0.0,,,,
1971-08-01,2.0,7.42,8533007567261064.0,8511380382023794.0,0.0,,,672.5,5.8
1971-08-08,0.0,,0.0,,0.0,,,,
1971-08-15,1.0,5.86,38904514499428.05,38904514499428.05,0.0,,,528.0,
1971-08-22,1.0,5.65,18836490894898.098,18836490894898.098,0.0,,,491.0,4.154
1971-08-29,0.0,,0.0,,0.0,,,,
1971-09-05,1.0,5.38,7413102413009.192,7413102413009.192,0.0,,,445.0,
1971-09-12,1.0,5.15,3349654391578.293,3349654391578.293,0.0,,,408.0,
1971-09-19,1.0,5.33,6237348354824.217,6237348354824.217,0.0,,,437.0,
1971-09-26,6.0,5.8,82762608267838.2,31622776601683.793,0.0,,,464.6,4.504
1971-10-03,1.0,5.75,26607250597988.03,26607250597988.03,0.0,,,509.0,
1971-10-10,1.0,5.21,4120975190973.304,4120975190973.304,0.0,,,418.0,
1971-10-17,3.0,5.79,56179564154049.31,30549211132155.094,0.0,,,486.3333333333333,5.343
1971-10-24,1.0,5.33,6237348354824.217,6237348354824.217,0.0,,,437.0,
1971-10-31,1.0,5.37,7161434102129.027,7161434102129.027,0.0,,,444.0,
1971-11-07,0.0,,0.0,,0.0,,,,
1971-11-14,1.0,5.5,11220184543019.607,11220184543019.607,0.0,,,465.0,
1971-11-21,0.0,,0.0,,0.0,,,,
1971-11-28,2.0,5.9,53179739597120.33,44668359215096.53,0.0,,,494.0,4.153
1971-12-05,1.0,5.81,32734069487883.863,32734069487883.863,0.0,,,519.0,5.126
1971-12-12,1.0,6.1,89125093813374.77,89125093813374.77,0.0,,,572.0,5.975
1971-12-19,1.0,5.22,4265795188015.917,4265795188015.917,0.0,,,419.0,
1971-12-26,0.0,,0.0,,0.0,,,,
1972-01-02,0.0,,0.0,,0.0,,,,
1972-01-09,0.0,,0.0,,0.0,,,,
1972-01-16,1.0,6.4,251188643150959.25,251188643150959.25,0.0,,,630.0,
1972-01-23,2.0,6.09,90830887808074.61,86099375218459.81,0.0,,,497.5,
1972-01-30,0.0,,0.0,,0.0,,,,
1972-02-06,1.0,5.56,13803842646028.867,13803842646028.867,0.0,,,476.0,
1972-02-13,1.0,6.0,63095734448019.17,63095734448019.17,0.0,,,554.0,
1972-02-20,1.0,5.8,31622776601683.793,31622776601683.793,0.0,,,518.0,5.113
1972-02-27,0.0,,0.0,,0.0,,,,
1972-03-05,1.0,5.73,24831331052955.68,24831331052955.68,0.0,,,505.0,4.906
1972-03-12,1.0,5.18,3715352290971.7124,3715352290971.7124,0.0,,,413.0,
1972-03-19,0.0,,0.0,,0.0,,,,
1972-03-26,3.0,6.4,273843510877448.7,251188643150959.25,0.0,,,520.3333333333334,6.342
1972-04-02,1.0,5.79,30549211132155.094,30549211132155.094,0.0,,,516.0,5.029
1972-04-09,0.0,,0.0,,0.0,,,,
1972-04-16,0.0,,0.0,,0.0,,,,
1972-04-23,0.0,,0.0,,0.0,,,,
1972-04-30,1.0,5.28,5248074602497.733,5248074602497.733,0.0,,,429.0,
1972-05-07,0.0,,0.0,,0.0,,,,
1972-05-14,3.0,5.61,24288970710053.816,16405897731995.387,0.0,,,434.0,4.182
1972-05-21,3.0,5.55,30770732637745.42,13335214321633.24,0.0,,,460.5,3.975
1972-05-28,0.0,,0.0,,0.0,,,,
1972-06-04,0.0,,0.0,,0.0,,,,
1972-06-11,3.0,6.69,709702396783655.4,683911647281430.6,0.0,,,537.0,6.437
1972-06-18,2.0,5.77,32356100495492.523,28510182675038.98,0.0,,,463.0,
1972-06-25,0.0,,0.0,,0.0,,,,
1972-07-02,0.0,,0.0,,0.0,,,,
1972-07-09,0.0,,0.0,,0.0,,,,
1972-07-16,0.0,,0.0,,0.0,,,,
1972-07-23,0.0,,0.0,,0.0,,,,
1972-07-30,0.0,,0.0,,0.0,,,,
1972-08-06,0.0,,0.0,,0.0,,,,
1972-08-13,2.0,5.87,66878954030533.98,40271703432545.945,0.0,,,519.5,
1972-08-20,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,
1972-08-27,0.0,,0.0,,0.0,,,,
1972-09-03,0.0,,0.0,,0.0,,,,
1972-09-10,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,4.985
1972-09-17,1.0,5.76,27542287033381.746,27542287033381.746,0.0,,,510.0,
1972-09-24,0.0,,0.0,,0.0,,,,
1972-10-01,1.0,6.0,63095734448019.17,63095734448019.17,0.0,,,554.0,6.331
1972-10-08,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,3.972
