Date,StartingEruptions_count,ActiveEruptions,ExplosivityIndexMax_max,DailyEruptedVolume_sum
1970-01-31,,1.0,,0.0
1970-02-28,,1.0,,0.0
1970-03-31,,1.0,,0.0
1970-04-30,,1.0,,0.0
1970-05-31,,1.0,,0.0
1970-06-30,,1.0,,0.0
1970-07-31,,1.0,,0.0
1970-08-31,,1.0,,0.0
1970-09-30,,1.0,,0.0
1970-10-31,,1.0,,0.0
1970-11-30,,1.0,,0.0
1970-12-31,,1.0,,0.0
1971-01-31,,1.0,,0.0
1971-02-28,,1.0,,0.0
1971-03-31,,1.0,,0.0
1971-04-30,,1.0,,0.0
1971-05-31,,1.0,,0.0
1971-06-30,,1.0,,0.0
1971-07-31,,1.0,,0.0
1971-08-31,1.0,1.6451612903225807,3.0,1315789.4736842106
1971-09-30,,1.6,,0.0
1971-10-31,1.0,1.096774193548387,2.0,43103.44827586207
1971-11-30,,2.0,,0.0
1971-12-31,1.0,3.0,2.0,48543.68932038835
1972-01-31,,3.0,,0.0
1972-02-29,,2.7241379310344827,,0.0
1972-03-31,,1.3870967741935485,,0.0
1972-04-30,,1.0,,0.0
1972-05-31,,1.0,,0.0
1972-06-30,,1.0,,0.0
1972-07-31,1.5,1.5806451612903225,2.0,5179365.079365079
1972-08-31,1.0,2.032258064516129,2.0,5000000.0
1972-09-30,,1.5333333333333334,,0.0
1972-10-31,,1.0,,0.0
1972-11-30,,1.0,,0.0
1972-12-31,,1.0,,0.0
1973-01-31,,1.0,,0.0
1973-02-28,,1.0,,0.0
1973-03-31,,1.0,,0.0
1973-04-30,,1.0,,0.0
1973-05-31,1.0,1.032258064516129,2.0,5000000.0
1973-06-30,,1.0,,0.0
1973-07-31,1.0,1.5161290322580645,2.0,1055.9662090813094
1973-08-31,,2.0,,0.0
1973-09-30,,2.0,,0.0
1973-10-31,,2.0,,0.0
1973-11-30,1.0,2.5,3.0,205761.316872428
1973-12-31,,3.0,,0.0
1974-01-31,,3.0,,0.0
1974-02-28,,3.0,,0.0
1974-03-31,,3.0,,0.0
1974-04-30,,3.0,,0.0
1974-05-31,,3.0,,0.0
1974-06-30,,3.0,,0.0
1974-07-31,1.0,4.0,1.0,1617.7152126057235
1974-08-31,,4.0,,0.0
1974-09-30,,3.533333333333333,,0.0
1974-10-31,,3.0,,0.0
