Date,StartingEruptions_count,ActiveEruptions,ExplosivityIndexMax_max,DailyEruptedVolume_sum
1970-01-04,,1.0,,0.0
1970-01-11,,1.0,,0.0
1970-01-18,,1.0,,0.0
1970-01-25,,1.0,,0.0
1970-02-01,,1.0,,0.0
1970-02-08,,1.0,,0.0
1970-02-15,,1.0,,0.0
1970-02-22,,1.0,,0.0
1970-03-01,,1.0,,0.0
1970-03-08,,1.0,,0.0
1970-03-15,,1.0,,0.0
1970-03-22,,1.0,,0.0
1970-03-29,,1.0,,0.0
1970-04-05,,1.0,,0.0
1970-04-12,,1.0,,0.0
1970-04-19,,1.0,,0.0
1970-04-26,,1.0,,0.0
1970-05-03,,1.0,,0.0
1970-05-10,,1.0,,0.0
1970-05-17,,1.0,,0.0
1970-05-24,,1.0,,0.0
1970-05-31,,1.0,,0.0
1970-06-07,,1.0,,0.0
1970-06-14,,1.0,,0.0
1970-06-21,,1.0,,0.0
1970-06-28,,1.0,,0.0
1970-07-05,,1.0,,0.0
1970-07-12,,1.0,,0.0
1970-07-19,,1.0,,0.0
1970-07-26,,1.0,,0.0
1970-08-02,,1.0,,0.0
1970-08-09,,1.0,,0.0
1970-08-16,,1.0,,0.0
1970-08-23,,1.0,,0.0
1970-08-30,,1.0,,0.0
1970-09-06,,1.0,,0.0
1970-09-13,,1.0,,0.0
1970-09-20,,1.0,,0.0
1970-09-27,,1.0,,0.0
1970-10-04,,1.0,,0.0
1970-10-11,,1.0,,0.0
1970-10-18,,1.0,,0.0
1970-10-25,,1.0,,0.0
1970-11-01,,1.0,,0.0
1970-11-08,,1.0,,0.0
1970-11-15,,1.0,,0.0
1970-11-22,,1.0,,0.0
1970-11-29,,1.0,,0.0
1970-12-06,,1.0,,0.0
1970-12-13,,1.0,,0.0
1970-12-20,,1.0,,0.0
1970-12-27,,1.0,,0.0
1971-01-03,,1.0,,0.0
1971-01-10,,1.0,,0.0
1971-01-17,,1.0,,0.0
1971-01-24,,1.0,,0.0
1971-01-31,,1.0,,0.0
1971-02-07,,1.0,,0.0
1971-02-14,,1.0,,0.0
1971-02-21,,1.0,,0.0
1971-02-28,,1.0,,0.0
1971-03-07,,1.0,,0.0
1971-03-14,,1.0,,0.0
1971-03-21,,1.0,,0.0
1971-03-28,,1.0,,0.0
1971-04-04,,1.0,,0.0
1971-04-11,,1.0,,0.0
1971-04-18,,1.0,,0.0
1971-04-25,,1.0,,0.0
1971-05-02,,1.0,,0.0
1971-05-09,,1.0,,0.0
1971-05-16,,1.0,,0.0
1971-05-23,,1.0,,0.0
1971-05-30,,1.0,,0.0
1971-06-06,,1.0,,0.0
1971-06-13,,1.0,,0.0
1971-06-20,,1.0,,0.0
1971-06-27,,1.0,,0.0
1971-07-04,,1.0,,0.0
1971-07-11,,1.0,,0.0
1971-07-18,,1.0,,0.0
1971-07-25,,1.0,,0.0
1971-08-01,,1.0,,0.0
1971-08-08,,1.0,,0.0
1971-08-15,1.0,1.5714285714285714,3.0,1315789.4736842106
1971-08-22,,2.0,,0.0
1971-08-29,,2.0,,0.0
1971-09-05,,2.0,,0.0
1971-09-12,,2.0,,0.0
1971-09-19,,1.8571428571428572,,0.0
1971-09-26,,1.0,,0.0
1971-10-03,,1.0,,0.0
1971-10-10,,1.0,,0.0
1971-10-17,,1.0,,0.0
1971-10-24,,1.0,,0.0
1971-10-31,1.0,1.4285714285714286,2.0,43103.44827586207
1971-11-07,,2.0,,0.0
1971-11-14,,2.0,,0.0
1971-11-21,,2.0,,0.0
1971-11-28,,2.0,,0.0
1971-12-05,1.0,2.7142857142857144,2.0,48543.68932038835
1971-12-12,,3.0,,0.0
1971-12-19,,3.0,,0.0
1971-12-26,,3.0,,0.0
1972-01-02,,3.0,,0.0
1972-01-09,,3.0,,0.0
1972-01-16,,3.0,,0.0
1972-01-23,,3.0,,0.0
1972-01-30,,3.0,,0.0
1972-02-06,,3.0,,0.0
1972-02-13,,3.0,,0.0
1972-02-20,,3.0,,0.0
1972-02-27,,2.142857142857143,,0.0
1972-03-05,,2.0,,0.0
1972-03-12,,2.0,,0.0
1972-03-19,,1.0,,0.0
1972-03-26,,1.0,,0.0
1972-04-02,,1.0,,0.0
1972-04-09,,1.0,,0.0
1972-04-16,,1.0,,0.0
1972-04-23,,1.0,,0.0
1972-04-30,,1.0,,0.0
1972-05-07,,1.0,,0.0
1972-05-14,,1.0,,0.0
1972-05-21,,1.0,,0.0
1972-05-28,,1.0,,0.0
1972-06-04,,1.0,,0.0
1972-06-11,,1.0,,0.0
1972-06-18,,1.0,,0.0
1972-06-25,,1.0,,0.0
1972-07-02,2.0,1.2857142857142858,2.0,5100000.0
1972-07-09,,1.0,,0.0
1972-07-16,1.0,1.1428571428571428,2.0,79365.07936507936
1972-07-23,,2.0,,0.0
1972-07-30,,2.0,,0.0
1972-08-06,,2.0,,0.0
1972-08-13,,2.0,,0.0
1972-08-20,,2.0,,0.0
1972-08-27,1.0,2.142857142857143,2.0,5000000.0
1972-09-03,,2.0,,0.0
1972-09-10,,2.0,,0.0
1972-09-17,,1.8571428571428572,,0.0
1972-09-24,,1.0,,0.0
1972-10-01,,1.0,,0.0
1972-10-08,,1.0,,0.0
1972-10-15,,1.0,,0.0
1972-10-22,,1.0,,0.0
1972-10-29,,1.0,,0.0
1972-11-05,,1.0,,0.0
1972-11-12,,1.0,,0.0
1972-11-19,,1.0,,0.0
1972-11-26,,1.0,,0.0
1972-12-03,,1.0,,0.0
1972-12-10,,1.0,,0.0
1972-12-17,,1.0,,0.0
1972-12-24,,1.0,,0.0
1972-12-31,,1.0,,0.0
1973-01-07,,1.0,,0.0
1973-01-14,,1.0,,0.0
1973-01-21,,1.0,,0.0
1973-01-28,,1.0,,0.0
1973-02-04,,1.0,,0.0
1973-02-11,,1.0,,0.0
1973-02-18,,1.0,,0.0
1973-02-25,,1.0,,0.0
1973-03-04,,1.0,,0.0
1973-03-11,,1.0,,0.0
1973-03-18,,1.0,,0.0
1973-03-25,,1.0,,0.0
1973-04-01,,1.0,,0.0
1973-04-08,,1.0,,0.0
1973-04-15,,1.0,,0.0
1973-04-22,,1.0,,0.0
1973-04-29,,1.0,,0.0
1973-05-06,,1.0,,0.0
1973-05-13,,1.0,,0.0
1973-05-20,1.0,1.1428571428571428,2.0,5000000.0
1973-05-27,,1.0,,0.0
1973-06-03,,1.0,,0.0
1973-06-10,,1.0,,0.0
1973-06-17,,1.0,,0.0
1973-06-24,,1.0,,0.0
1973-07-01,,1.0,,0.0
1973-07-08,,1.0,,0.0
1973-07-15,,1.0,,0.0
1973-07-22,1.0,2.0,2.0,1055.9662090813094
1973-07-29,,2.0,,0.0
1973-08-05,,2.0,,0.0
1973-08-12,,2.0,,0.0
1973-08-19,,2.0,,0.0
1973-08-26,,2.0,,0.0
1973-09-02,,2.0,,0.0
1973-09-09,,2.0,,0.0
1973-09-16,,2.0,,0.0
1973-09-23,,2.0,,0.0
1973-09-30,,2.0,,0.0
1973-10-07,,2.0,,0.0
1973-10-14,,2.0,,0.0
1973-10-21,,2.0,,0.0
1973-10-28,,2.0,,0.0
1973-11-04,,2.0,,0.0
1973-11-11,,2.0,,0.0
1973-11-18,1.0,2.4285714285714284,3.0,205761.316872428
1973-11-25,,3.0,,0.0
1973-12-02,,3.0,,0.0
1973-12-09,,3.0,,0.0
1973-12-16,,3.0,,0.0
1973-12-23,,3.0,,0.0
1973-12-30,,3.0,,0.0
1974-01-06,,3.0,,0.0
1974-01-13,,3.0,,0.0
1974-01-20,,3.0,,0.0
1974-01-27,,3.0,,0.0
1974-02-03,,3.0,,0.0
1974-02-10,,3.0,,0.0
1974-02-17,,3.0,,0.0
1974-02-24,,3.0,,0.0
1974-03-03,,3.0,,0.0
1974-03-10,,3.0,,0.0
1974-03-17,,3.0,,0.0
1974-03-24,,3.0,,0.0
1974-03-31,,3.0,,0.0
1974-04-07,,3.0,,0.0
1974-04-14,,3.0,,0.0
1974-04-21,,3.0,,0.0
1974-04-28,,3.0,,0.0
1974-05-05,,3.0,,0.0
1974-05-12,,3.0,,0.0
1974-05-19,,3.0,,0.0
1974-05-26,,3.0,,0.0
1974-06-02,,3.0,,0.0
1974-06-09,,3.0,,0.0
1974-06-16,,3.0,,0.0
1974-06-23,,3.0,,0.0
1974-06-30,,3.0,,0.0
1974-07-07,1.0,3.857142857142857,1.0,30.413625304136254
1974-07-14,,4.0,,0.0
1974-07-21,1.0,4.142857142857143,1.0,1587.3015873015872
1974-07-28,,4.0,,0.0
1974-08-04,,4.0,,0.0
1974-08-11,,4.0,,0.0
1974-08-18,,4.0,,0.0
1974-08-25,,4.0,,0.0
1974-09-01,,4.0,,0.0
1974-09-08,,4.0,,0.0
1974-09-15,,4.0,,0.0
1974-09-22,,3.142857142857143,,0.0
1974-09-29,,3.0,,0.0
1974-10-06,,3.0,,0.0
1974-10-13,,3.0,,0.0
1974-10-20,,3.0,,0.0
1974-10-27,,3.0,,0.0
1974-11-03,,3.0,,0.0
1974-11-10,,3.0,,0.0
1974-11-17,,3.0,,0.0
1974-11-24,,3.0,,0.0
1974-12-01,,3.0,,0.0
1974-12-08,,3.0,,0.0
1974-12-15,,3.0,,0.0
1974-12-22,,3.0,,0.0
1974-12-29,,3.0,,0.0
1975-01-05,,3.0,,0.0
1975-01-12,,3.0,,0.0
1975-01-19,,3.0,,0.0
1975-01-26,,3.0,,0.0
1975-02-02,,3.0,,0.0
1975-02-09,,3.0,,0.0
1975-02-16,,3.0,,0.0
1975-02-23,,3.0,,0.0
1975-03-02,,3.0,,0.0
1975-03-09,,3.0,,0.0
1975-03-16,,3.0,,0.0
1975-03-23,,3.0,,0.0
1975-03-30,,3.0,,0.0
1975-04-06,,3.0,,0.0
1975-04-13,,3.0,,0.0
1975-04-20,,3.0,,0.0
1975-04-27,,3.0,,0.0
1975-05-04,,3.0,,0.0
1975-05-11,,3.0,,0.0
1975-05-18,,3.0,,0.0
1975-05-25,,3.0,,0.0
1975-06-01,,3.0,,0.0
1975-06-08,,3.0,,0.0
1975-06-15,,3.0,,0.0
1975-06-22,,3.0,,0.0
1975-06-29,,3.0,,0.0
1975-07-06,,3.0,,0.0
1975-07-13,,3.0,,0.0
1975-07-20,,3.0,,0.0
1975-07-27,,3.0,,0.0
1975-08-03,,3.0,,0.0
1975-08-10,,3.0,,0.0
1975-08-17,,3.0,,0.0
1975-08-24,,3.0,,0.0
1975-08-31,,3.0,,0.0
1975-09-07,,3.0,,0.0
1975-09-14,,3.0,,0.0
1975-09-21,,3.0,,0.0
1975-09-28,,3.0,,0.0
1975-10-05,,3.0,,0.0
1975-10-12,,3.0,,0.0
1975-10-19,,3.0,,0.0
1975-10-26,,3.0,,0.0
1975-11-02,,3.0,,0.0
1975-11-09,,3.0,,0.0
1975-11-16,,3.0,,0.0
1975-11-23,,3.0,,0.0
1975-11-30,,3.0,,0.0
1975-12-07,,3.0,,0.0
1975-12-14,,3.0,,0.0
1975-12-21,,3.0,,0.0
1975-12-28,,3.0,,0.0
1976-01-04,1.0,3.142857142857143,2.0,37313.432835820895
1976-01-11,,4.0,,0.0
1976-01-18,,4.0,,0.0
1976-01-25,,4.0,,0.0
1976-02-01,,4.0,,0.0
1976-02-08,,4.0,,0.0
1976-02-15,,4.0,,0.0
1976-02-22,,4.0,,0.0
1976-02-29,,4.0,,0.0
1976-03-07,,4.0,,0.0
1976-03-14,,4.0,,0.0
1976-03-21,,4.0,,0.0
1976-03-28,,4.0,,0.0
1976-04-04,,4.0,,0.0
1976-04-11,,4.0,,0.0
1976-04-18,,4.0,,0.0
1976-04-25,,4.0,,0.0
1976-05-02,,4.0,,0.0
1976-05-09,,4.0,,0.0
1976-05-16,,4.0,,0.0
1976-05-23,,3.0,,0.0
1976-05-30,,3.0,,0.0
1976-06-06,,3.0,,0.0
1976-06-13,,3.0,,0.0
1976-06-20,,3.0,,0.0
1976-06-27,,3.0,,0.0
1976-07-04,,3.0,,0.0
1976-07-11,,3.0,,0.0
1976-07-18,,3.0,,0.0
1976-07-25,,3.0,,0.0
1976-08-01,,3.0,,0.0
1976-08-08,,3.0,,0.0
1976-08-15,,3.0,,0.0
1976-08-22,,3.0,,0.0
1976-08-29,,3.0,,0.0
1976-09-05,,3.0,,0.0
