datetime,Unnamed: 0,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate,EruptedVolume,DurationDays,DailyEruptedVolume,timeymd
19340808,444,352090,11648,Confirmed Eruption,3,Observations: Reported,1934,8,8,2011,3,2,1934-08-08,2011-03-02,50000000,27966,1787.8852892798398,19340808
19710812,449,358057,12298,Confirmed Eruption,3,Observations: Reported,1971,8,12,1971,9,18,1971-08-12,1971-09-18,50000000,38,1315789.4736842106,19710812
19711029,584,357120,12165,Confirmed Eruption,2,Observations: Reported,1971,10,29,1972,2,21,1971-10-29,1972-02-21,5000000,116,43103.44827586207,19711029
19711201,564,357110,12064,Confirmed Eruption,2,Observations: Reported,1971,12,1,1972,3,12,1971-12-01,1972-03-12,5000000,103,48543.68932038835,19711201
19720702,825,355100,11861,Uncertain Eruption,2,unknown,1972,7,2,1972,7,2,1972-07-02,1972-07-02,5000000,1,5000000.0,19720702
19720702,451,358060,12320,Confirmed Eruption,1,Observations: Reported,1972,7,2,1972,7,2,1972-07-02,1972-07-02,100000,1,100000.0,19720702
19720716,768,352010,11443,Confirmed Eruption,2,Observations: Reported,1972,7,16,1972,9,16,1972-07-16,1972-09-16,5000000,63,79365.07936507936,19720716
19720826,1069,358020,12263,Confirmed Eruption,2,Observations: Reported,1972,8,26,1972,8,26,1972-08-26,1972-08-26,5000000,1,5000000.0,19720826
19730516,662,351080,11370,Uncertain Eruption,2,unknown,1973,5,16,1973,5,16,1973-05-16,1973-05-16,5000000,1,5000000.0,19730516
19730716,87,357070,11991,Confirmed Eruption,2,Observations: Reported,1973,7,16,1986,7,2,1973-07-16,1986-07-02,5000000,4735,1055.9662090813094,19730716
19731116,769,352010,11444,Confirmed Eruption,3,Observations: Reported,1973,11,16,1974,7,16,1973-11-16,1974-07-16,50000000,243,205761.316872428,19731116
19740702,663,351080,11371,Confirmed Eruption,1,Observations: Reported,1974,7,2,1983,7,2,1974-07-02,1983-07-02,100000,3288,30.413625304136254,19740702
19740716,826,355100,11862,Uncertain Eruption,1,unknown,1974,7,16,1974,9,16,1974-07-16,1974-09-16,100000,63,1587.3015873015872,19740716
19760104,770,352010,11445,Confirmed Eruption,2,Observations: Reported,1976,1,4,1976,5,16,1976-01-04,1976-05-16,5000000,134,37313.432835820895,19760104
19770126,585,357120,12166,Confirmed Eruption,1,Observations: Reported,1977,1,26,1977,1,30,1977-01-26,1977-01-30,100000,5,20000.0,19770126
19770319,654,351060,11339,Confirmed Eruption,2,Observations: Reported,1977,3,19,1977,3,28,1977-03-19,1977-03-28,5000000,10,500000.0,19770319
19780616,452,358060,12321,Confirmed Eruption,1,Observations: Reported,1978,6,16,1978,6,16,1978-06-16,1978-06-16,100000,1,100000.0,19780616
19790308,453,358060,12322,Confirmed Eruption,2,Observations: Reported,1979,3,8,1979,3,8,1979-03-08,1979-03-08,5000000,1,5000000.0,19790308
19790414,588,357140,12189,Confirmed Eruption,2,Observations: Reported,1979,4,14,1979,5,20,1979-04-14,1979-05-20,5000000,37,135135.13513513515,19790414
19791015,565,357110,12065,Confirmed Eruption,2,Observations: Reported,1979,10,15,1979,11,28,1979-10-15,1979-11-28,5000000,45,111111.11111111111,19791015
19800110,1250,357010,20561,Confirmed Eruption,2,Observations: Reported,1980,1,10,1980,1,11,1980-01-10,1980-01-11,5000000,2,2500000.0,19800110
