,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
73,351020,20814,Confirmed Eruption,3,Observations: Reported,2012,2,22,2013,7,12,2012-02-22,2013-07-12
74,351020,11289,Confirmed Eruption,1,Observations: Reported,1984,12,22,1985,3,19,1984-12-22,1985-03-19
75,351020,11290,Confirmed Eruption,3,Observations: Reported,1985,9,11,1991,7,13,1985-09-11,1991-07-13
76,351020,20995,Confirmed Eruption,2,Observations: Reported,2014,11,18,2024,12,19,2014-11-18,2024-12-19
77,351050,11312,Confirmed Eruption,3,Observations: Reported,2007,2,19,2007,5,28,2007-02-19,2007-05-28
78,351050,11313,Confirmed Eruption,2,Observations: Reported,2008,1,2,2008,4,16,2008-01-02,2008-04-16
79,351050,11314,Confirmed Eruption,3,Observations: Reported,2008,10,26,2012,1,14,2008-10-26,2012-01-14
80,357030,11924,Uncertain Eruption,2,unknown,1994,1,15,1994,1,15,1994-01-15,1994-01-15
81,357040,22297,Confirmed Eruption,1,Observations: Reported,2018,11,7,2019,5,7,2018-11-07,2019-05-07
82,357040,20808,Confirmed Eruption,2,Observations: Reported,2011,2,17,2011,6,26,2011-02-17,2011-06-26
83,357040,11945,Confirmed Eruption,2,Observations: Reported,1991,2,9,1991,3,2,1991-02-09,1991-03-02
84,357040,11946,Confirmed Eruption,1,Observations: Reported,1998,11,18,1998,11,21,1998-11-18,1998-11-21
85,357040,11947,Confirmed Eruption,2,Observations: Reported,2010,9,6,2010,10,13,2010-09-06,2010-10-13
86,357070,22119,Confirmed Eruption,2,Observations: Reported,2016,1,8,2022,10,17,2016-01-08,2022-10-17
87,357070,11991,Confirmed Eruption,2,Observations: Reported,1973,7,16,1986,7,2,1973-07-16,1986-07-02
88,357070,11992,Confirmed Eruption,1,Observations: Reported,2003,8,29,2003,9,15,2003-08-29,2003-09-15
89,357091,11997,Confirmed Eruption,1,Observations: Reported,1980,10,16,1980,10,16,1980-10-16,1980-10-16
179,355040,11828,Confirmed Eruption,2,Observations: Reported,1995,9,1,1995,9,26,1995-09-01,1995-09-26
293,354006,11747,Confirmed Eruption,1,Observations: Reported,1986,12,16,1986,12,16,1986-12-16,1986-12-16
294,354006,21089,Confirmed Eruption,1,Observations: Aviation,2015,3,8,2015,12,12,2015-03-08,2015-12-12
295,354006,22158,Confirmed Eruption,3,Observations: Reported,2016,11,6,2024,12,19,2016-11-06,2024-12-19
296,354006,11748,Uncertain Eruption,2,unknown,1987,8,7,1987,8,7,1987-08-07,1987-08-07
