timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-31,5.0,6.53,593481768712658.0,393550075455778.06,0.0,,,555.4,4.435333333333333
1970-02-28,5.0,5.75,68006247257563.98,26607250597988.03,0.0,,,469.0,
1970-03-31,5.0,6.6,1082645831896111.1,501187233627273.5,0.0,,,579.25,4.657333333333333
1970-04-30,4.0,6.62,632264360493850.8,537031796370253.25,0.0,,,571.8333333333334,6.003
1970-05-31,4.0,6.26,308190344804716.7,154881661891248.6,0.0,,,542.0,4.2010000000000005
1970-06-30,2.0,6.2,170560900394513.7,125892541179417.14,0.0,,,563.5,5.333500000000001
1970-07-31,3.0,6.21,154813659500564.78,130316677845230.0,0.0,,,510.6666666666667,6.15
1970-08-31,9.0,6.9,2460610540345045.0,1412537544622761.2,0.0,,,573.625,5.3018
1970-09-30,4.0,6.43,608212408260706.9,278612116862976.1,0.0,,,592.5,4.81525
1970-10-31,5.0,6.9,1542135808944279.2,1412537544622761.2,0.0,,,549.6,5.099333333333333
1970-11-30,5.0,6.3,306023499946991.94,177827941003892.28,0.0,,,530.6,4.9366666666666665
1970-12-31,8.0,6.96,3122182882215646.0,1737800828749376.2,0.0,,,585.9285714285714,5.0605
1971-01-31,19.0,7.7,2.365579442505317e+16,2.2387211385683468e+16,0.0,,,532.2291666666666,5.473539682539682
1971-02-28,5.0,6.55,563054062913498.5,421696503428582.25,0.0,,,547.875,4.23
1971-03-31,6.0,6.57,846323794669940.2,451855944374921.7,0.0,,,546.2,4.6205
1971-04-30,4.0,5.93,95195238203233.16,49545019080478.85,0.0,,,495.0,4.326
1971-05-31,4.0,5.96,132867372479244.08,54954087385762.484,0.0,,,513.5,4.483
1971-06-30,3.0,5.64,47202089456891.37,18197008586099.824,0.0,,,482.5,
1971-07-31,41.0,8.1,1.5990637917562547e+17,8.912509381337514e+16,0.0,,,551.2335164835165,5.080632098765432
1971-08-31,11.0,6.52,1233059361030631.8,380189396320559.7,0.0,,,540.8888888888889,4.663625
1971-09-30,8.0,6.77,1347858320510200.5,901571137605953.4,0.0,,,546.6666666666666,5.050666666666667
1971-10-31,12.0,6.8,4028214545921077.0,1000000000000000.0,0.0,,,604.3518518518518,5.558666666666667
1971-11-30,5.0,7.1,2965218766153110.0,2818382931264460.5,0.0,,,535.6666666666666,6.349
1971-12-31,5.0,6.5,679876643070637.6,354813389233574.56,0.0,,,578.2,4.9835
1972-01-31,14.0,7.05,4664922456070846.0,2371373705661655.5,0.0,,,591.175,5.7832
1972-02-29,7.0,7.4,8049557448438980.0,7943282347242854.0,0.0,,,536.5714285714286,5.285
1972-03-31,7.0,6.46,437265574420597.25,309029543251359.2,0.0,,,520.0,
1972-04-30,5.0,7.2,4791156763845441.0,3981071705534985.5,0.0,,,601.2,4.188000000000001
1972-05-31,7.0,6.9,2060994020413384.0,1412537544622761.2,0.0,,,566.1428571428571,5.642333333333333
1972-06-30,5.0,5.71,81743259510003.69,23173946499684.797,0.0,,,481.8,3.858
1972-07-31,4.0,6.03,157634316687530.9,69984199600227.45,0.0,,,508.6666666666667,6.571999999999999
1972-08-31,12.0,7.5,1.2193041272246158e+16,1.122018454301956e+16,0.0,,,579.2777777777778,5.077
1972-09-30,16.0,6.46,1376010624214055.8,309029543251359.2,0.0,,,537.5384615384615,4.667
1972-10-31,9.0,6.31,854742916302455.0,184077200146895.8,0.0,,,550.0,4.7181
1972-11-30,12.0,7.0,2441441261769314.5,1995262314968874.8,0.0,,,524.8333333333334,4.994666666666666
1972-12-31,12.0,6.02,459325224455528.5,67608297539197.914,0.0,,,526.35,5.273666666666666
1973-01-31,22.0,6.8,1275456396885841.2,1000000000000000.0,0.0,,,446.90625,5.2485
1973-02-28,14.0,6.0,163725964371791.75,63095734448019.17,0.0,,,438.0,4.384499999999999
1973-03-31,13.0,6.0,156875756928130.47,63095734448019.17,0.0,,,443.95454545454544,4.329000000000001
1973-04-30,12.0,6.4,294773148995546.9,251188643150959.25,0.0,,,435.55555555555554,5.901
1973-05-31,15.0,5.9,250530956468810.06,44668359215096.53,0.0,,,461.35714285714283,5.323600000000001
1973-06-30,21.0,6.3,383319405289385.5,177827941003892.28,0.0,,,437.24242424242425,4.8365
1973-07-31,23.0,6.0,198137263933436.97,63095734448019.17,0.0,,,434.1794871794872,5.17075
1973-08-31,12.0,6.1,276185034502307.25,89125093813374.77,0.0,,,475.1,4.570166666666667
1973-09-30,9.0,5.6,69732404523829.33,15848931924611.174,0.0,,,432.7857142857143,4.37425
1973-10-31,13.0,6.4,336133420953649.3,251188643150959.25,0.0,,,440.27272727272725,5.414
1973-11-30,22.0,6.0,254484192813307.28,63095734448019.17,0.0,,,439.51190476190476,4.1485
1973-12-31,48.0,7.5,1.7421303761046646e+16,1.122018454301956e+16,0.0,,,438.58114035087715,6.185899999999999
1974-01-31,40.0,7.2,6436328833405395.0,3981071705534985.5,0.0,,,440.1380952380952,4.8774999999999995
1974-02-28,46.0,7.1,3107195818707068.5,2818382931264460.5,0.0,,,423.6331501831502,5.47
1974-03-31,29.0,6.6,1284872637176643.8,501187233627273.5,0.0,,,441.11333333333334,5.162
1974-04-30,29.0,5.7,165231172963260.62,22387211385683.47,0.0,,,423.9791666666667,4.062
1974-05-31,24.0,6.2,337109567335355.5,125892541179417.14,0.0,,,438.375,4.186
1974-06-30,27.0,6.1,285631306764236.94,89125093813374.77,0.0,,,430.6862745098039,4.6795
1974-07-31,11.0,5.7,77807427035358.2,22387211385683.47,0.0,,,425.55,3.788
1974-08-31,12.0,5.6,67618566800717.42,15848931924611.174,0.0,,,417.25,4.1370000000000005
1974-09-30,21.0,5.8,151011576911920.78,31622776601683.793,0.0,,,430.974358974359,4.720666666666666
1974-10-31,17.0,7.2,4301263054688998.0,3981071705534985.5,0.0,,,461.09090909090907,4.949333333333333
1974-11-30,13.0,6.9,1672212819702167.8,1412537544622761.2,0.0,,,480.8333333333333,5.537
1974-12-31,10.0,5.8,63471395030942.09,31622776601683.793,0.0,,,413.23809523809524,
1975-01-31,11.0,5.4,37485384291787.22,7943282347242.8545,0.0,,,404.8181818181818,
1975-02-28,15.0,6.4,395305958030406.75,251188643150959.25,0.0,,,449.3611111111111,3.9323333333333337
1975-03-31,16.0,6.1,217136030686372.56,89125093813374.77,0.0,,,423.4861111111111,5.969
1975-04-30,11.0,6.3,222866054104447.47,177827941003892.28,0.0,,,432.75,4.6865000000000006
1975-05-31,17.0,5.6,100405671342287.44,15848931924611.174,0.0,,,424.8974358974359,4.771
1975-06-30,19.0,6.5,585649923175562.8,354813389233574.56,0.0,,,446.43333333333334,4.9965
1975-07-31,61.0,7.9,6.940976595043444e+16,4.466835921509653e+16,0.0,,,453.352009832273,4.616333333333333
1975-08-31,36.0,6.3,483078236264369.3,177827941003892.28,0.0,,,434.20175438596493,4.853285714285714
1975-09-30,23.0,5.7,187326570822977.47,22387211385683.47,0.0,,,434.21666666666664,4.04425
1975-10-31,23.0,7.0,2230790986124829.5,1995262314968874.8,0.0,,,460.76190476190476,4.5416
1975-11-30,13.0,6.1,259162662155555.2,89125093813374.77,0.0,,,472.72222222222223,4.732
1975-12-31,17.0,6.6,707644449264105.8,501187233627273.5,0.0,,,462.4642857142857,4.547000000000001
1976-01-31,14.0,6.1,165030410805532.66,89125093813374.77,0.0,,,437.1363636363636,4.105
1976-02-29,22.0,6.0,328145088392014.8,63095734448019.17,0.0,,,440.2,4.5272
1976-03-31,16.0,6.4,569987859609602.4,251188643150959.25,0.0,,,468.03846153846155,4.820333333333333
1976-04-30,17.0,6.4,417723510072129.5,251188643150959.25,0.0,,,447.3666666666667,5.0085
1976-05-31,33.0,5.9,441884143715832.25,44668359215096.53,0.0,,,452.5104166666667,4.4822500000000005
1976-06-30,36.0,7.1,3370596358721077.0,2818382931264460.5,0.0,,,443.9385964912281,5.1859166666666665
1976-07-31,28.0,6.6,765201347552555.4,501187233627273.5,0.0,,,435.7666666666667,5.552166666666667
1976-08-31,18.0,6.9,1565119185641729.0,1412537544622761.2,0.0,,,430.6666666666667,4.944
1976-09-30,27.0,5.9,233327804473886.97,44668359215096.53,0.0,,,430.9509803921569,4.391666666666667
1976-10-31,19.0,7.1,3155971799710428.0,2818382931264460.5,0.0,,,442.75555555555553,4.6290000000000004
1976-11-30,17.0,6.5,455832491686381.44,354813389233574.56,0.0,,,425.8076923076923,4.6209999999999996
1976-12-31,14.0,5.7,81998366538879.83,22387211385683.47,0.0,,,428.95454545454544,
1977-01-31,28.0,6.6,695984785512237.5,501187233627273.5,0.0,,,437.7254901960784,4.933
1977-02-28,15.0,5.9,118328831096027.9,44668359215096.53,0.0,,,414.0238095238095,4.376
1977-03-31,18.0,5.8,159097033720552.06,31622776601683.793,0.0,,,430.9,4.284
1977-04-30,65.0,7.5,3.4954280575892704e+16,1.122018454301956e+16,0.0,,,420.306052855925,5.0697777777777775
1977-05-31,24.0,5.7,132948538929276.95,22387211385683.47,0.0,,,416.39215686274514,4.997
1977-06-30,19.0,5.7,103391065406174.19,22387211385683.47,0.0,,,418.2307692307692,5.685
1977-07-31,25.0,7.2,4139999950710618.5,3981071705534985.5,0.0,,,430.37254901960785,5.117333333333334
1977-08-31,24.0,5.9,205061576374238.06,44668359215096.53,0.0,,,426.5185185185185,4.870749999999999
1977-09-30,13.0,6.5,432339914264515.25,354813389233574.56,0.0,,,447.09090909090907,4.984500000000001
1977-10-31,27.0,6.7,902733159547566.0,707945784384140.2,0.0,,,433.3416666666667,4.41925
1977-11-30,16.0,5.9,124040843289141.2,44668359215096.53,0.0,,,420.8939393939394,4.135666666666666
1977-12-31,17.0,5.9,126213778203129.25,44668359215096.53,0.0,,,426.17857142857144,4.701499999999999
1978-01-31,15.0,6.4,361963571335924.2,251188643150959.25,0.0,,,447.0,4.8544
1978-02-28,16.0,5.8,120824673305460.77,31622776601683.793,0.0,,,435.5769230769231,5.3675
1978-03-31,16.0,6.2,248842517055249.1,125892541179417.14,0.0,,,439.2,4.7365
1978-04-30,16.0,6.2,250466086895570.2,125892541179417.14,0.0,,,446.5833333333333,5.558666666666667
1978-05-31,25.0,6.7,847556466072265.4,707945784384140.2,0.0,,,433.9404761904762,4.927
1978-06-30,13.0,5.9,138348998334315.02,44668359215096.53,0.0,,,449.3703703703704,3.901
1978-07-31,23.0,6.1,288908535718939.44,89125093813374.77,0.0,,,440.14102564102564,4.96125
1978-08-31,21.0,6.1,289632086763540.56,89125093813374.77,0.0,,,450.7261904761905,4.275666666666667
1978-09-30,35.0,6.3,642988840488163.1,177827941003892.28,0.0,,,441.31228070175433,4.411888888888889
1978-10-31,27.0,5.9,213292612597531.94,44668359215096.53,0.0,,,428.7,4.405375
1978-11-30,30.0,7.1,4629092059737694.0,2818382931264460.5,0.0,,,455.24074074074076,5.1987499999999995
1978-12-31,18.0,6.3,326004746749446.3,177827941003892.28,0.0,,,444.55357142857144,5.073
1979-01-31,15.0,6.3,282226682057398.5,177827941003892.28,0.0,,,458.06060606060606,4.419333333333333
1979-02-28,17.0,6.2,243698747593445.5,125892541179417.14,0.0,,,438.2307692307692,4.44575
1979-03-31,20.0,6.1,226304510387455.97,89125093813374.77,0.0,,,433.2023809523809,4.936
1979-04-30,16.0,5.6,69385379827014.36,15848931924611.174,0.0,,,412.15384615384613,4.635
1979-05-31,30.0,6.4,463515835196141.1,251188643150959.25,0.0,,,437.63157894736844,5.949999999999999
1979-06-30,20.0,6.2,289301364772587.9,125892541179417.14,0.0,,,452.65384615384613,4.272
1979-07-31,18.0,6.1,157206359137968.97,89125093813374.77,0.0,,,417.96153846153845,
1979-08-31,20.0,6.1,277913590549502.62,89125093813374.77,0.0,,,440.325,4.567
1979-09-30,27.0,7.9,4.4959019163453736e+16,4.466835921509653e+16,0.0,,,454.9979166666667,5.300750000000001
1979-10-31,36.0,7.1,3152674410507282.5,2818382931264460.5,0.0,,,426.3702380952381,5.514266666666667
1979-11-30,20.0,6.1,390398267005762.4,89125093813374.77,0.0,,,446.025641025641,4.878214285714286
1979-12-31,21.0,5.6,95155998290868.56,15848931924611.174,0.0,,,408.2111111111111,5.18
1980-01-31,9.0,5.6,50281963623070.914,15848931924611.174,0.0,,,420.1111111111111,
1980-02-29,18.0,6.6,761506607568354.4,501187233627273.5,0.0,,,449.75757575757575,4.719966666666666
1980-03-31,21.0,6.7,869452240294446.6,707945784384140.2,0.0,,,426.7933333333333,
1980-04-30,11.0,6.2,279015456055140.66,125892541179417.14,0.0,,,458.45454545454544,4.125
1980-05-31,19.0,6.1,365799731844353.9,89125093813374.77,0.0,,,462.4375,4.391333333333333
1980-06-30,22.0,6.5,566677115423992.9,354813389233574.56,0.0,,,447.25,4.79575
1980-07-31,45.0,7.9,5.8156577628613784e+16,4.466835921509653e+16,0.0,,,470.63088235294117,5.88225
1980-08-31,21.0,6.3,301792169390939.4,177827941003892.28,0.0,,,428.09615384615387,5.401666666666666
1980-09-30,19.0,6.5,563103688015177.9,354813389233574.56,0.0,,,438.5166666666667,4.47475
1980-10-31,50.0,7.2,6441281725531271.0,3981071705534985.5,0.0,,,443.2161319073084,4.1715
1980-11-30,17.0,5.8,102331328765603.23,31622776601683.793,0.0,,,421.8125,4.455
1980-12-31,15.0,6.0,242439421128159.94,63095734448019.17,0.0,,,456.6111111111111,5.01075
1981-01-31,22.0,6.7,921239153491416.2,707945784384140.2,0.0,,,420.76190476190476,5.781000000000001
1981-02-28,23.0,6.7,1085176839211061.8,707945784384140.2,0.0,,,452.4010416666667,4.782
1981-03-31,19.0,6.0,212547969159674.84,63095734448019.17,0.0,,,441.6875,4.3936
1981-04-30,24.0,6.9,1712043794034445.5,1412537544622761.2,0.0,,,449.37857142857143,5.152666666666667
1981-05-31,16.0,6.0,210882528024117.1,63095734448019.17,0.0,,,433.2692307692308,4.675
1981-06-30,12.0,5.8,76356681870379.98,31622776601683.793,0.0,,,415.4166666666667,
1981-07-31,32.0,7.0,4304555002292035.5,1995262314968874.8,0.0,,,454.0372023809524,4.621499999999999
1981-08-31,17.0,5.9,189387257303389.6,44668359215096.53,0.0,,,443.35714285714283,4.6555
1981-09-30,19.0,6.6,802389684888420.2,501187233627273.5,0.0,,,443.08888888888885,5.318
1981-10-31,14.0,6.4,551753704664079.25,251188643150959.25,0.0,,,449.6296296296297,5.1545000000000005
1981-11-30,23.0,6.9,2488498912765596.0,1412537544622761.2,0.0,,,451.81111111111113,6.019
1981-12-31,13.0,6.1,263015346733687.25,89125093813374.77,0.0,,,457.05,4.752
1982-01-31,20.0,6.0,332625681130071.56,63095734448019.17,0.0,,,456.474358974359,3.831
1982-02-28,15.0,6.8,1071487778522579.5,1000000000000000.0,0.0,,,421.24242424242425,4.93575
1982-03-31,25.0,6.0,281407842434832.34,63095734448019.17,0.0,,,437.44642857142856,4.645
1982-04-30,13.0,5.7,78815445516295.56,22387211385683.47,0.0,,,418.11904761904765,4.617999999999999
1982-05-31,23.0,5.9,182704075432697.62,44668359215096.53,0.0,,,425.17857142857144,4.14
1982-06-30,15.0,5.9,129846132348042.0,44668359215096.53,0.0,,,434.09090909090907,4.574999999999999
1982-07-31,12.0,6.2,165020267017572.88,125892541179417.14,0.0,,,414.1388888888889,
1982-08-31,18.0,7.0,2543800870576880.5,1995262314968874.8,0.0,,,482.6,4.71375
1982-09-30,17.0,6.4,477228597444363.75,251188643150959.25,0.0,,,455.7692307692308,4.459333333333333
1982-10-31,16.0,6.0,186012022025177.66,63095734448019.17,0.0,,,434.57142857142856,4.8629999999999995
1982-11-30,12.0,6.1,149379290397330.88,89125093813374.77,0.0,,,442.3,4.730333333333333
1982-12-31,13.0,6.6,590077033035286.9,501187233627273.5,0.0,,,439.3,4.490333333333333
1983-01-31,21.0,6.7,917525906754164.8,707945784384140.2,0.0,,,442.84313725490193,4.825
1983-02-28,22.0,5.9,139810441342462.89,44668359215096.53,0.0,,,419.3703703703704,3.541
1983-03-31,30.0,7.6,1.657388509455981e+16,1.5848931924611238e+16,0.0,,,444.8888888888889,5.5177499999999995
1983-04-30,23.0,6.4,609959887986438.0,251188643150959.25,0.0,,,433.2976190476191,5.1035
1983-05-31,14.0,6.7,1140354872973161.2,707945784384140.2,0.0,,,433.7121212121212,5.13575
1983-06-30,14.0,5.5,56936200890939.95,11220184543019.607,0.0,,,411.3636363636364,
1983-07-31,21.0,6.4,489006007244331.0,251188643150959.25,0.0,,,421.5138888888889,
1983-08-31,24.0,5.8,191065158887685.38,31622776601683.793,0.0,,,433.66666666666663,4.081
1983-09-30,19.0,6.1,172046913720962.94,89125093813374.77,0.0,,,423.91111111111115,
1983-10-31,19.0,6.5,471222904346480.3,354813389233574.56,0.0,,,425.60714285714283,5.3915
