timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-04,0.0,,0.0,,0.0,,,,
1970-01-11,1.0,6.16,109647819614318.28,109647819614318.28,0.0,,,584.0,5.677
1970-01-18,0.0,,0.0,,0.0,,,,
1970-01-25,1.0,5.69,21627185237270.246,21627185237270.246,0.0,,,498.0,3.735
1970-02-01,3.0,6.53,462206763861069.44,393550075455778.06,0.0,,,565.0,3.894
1970-02-08,0.0,,0.0,,0.0,,,,
1970-02-15,0.0,,0.0,,0.0,,,,
1970-02-22,3.0,5.75,43450848392911.13,26607250597988.03,0.0,,,468.6666666666667,
1970-03-01,2.0,5.55,24555398864652.848,13335214321633.24,0.0,,,469.5,
1970-03-08,0.0,,0.0,,0.0,,,,
1970-03-15,2.0,6.6,514522447948906.75,501187233627273.5,0.0,,,572.0,5.2
1970-03-22,1.0,5.83,35075187395256.938,35075187395256.938,0.0,,,523.0,
1970-03-29,2.0,6.58,533048196551947.44,467735141287200.0,0.0,,,611.0,4.385999999999999
1970-04-05,0.0,,0.0,,0.0,,,,
1970-04-12,1.0,5.91,46238102139925.94,46238102139925.94,0.0,,,537.0,
1970-04-19,0.0,,0.0,,0.0,,,,
1970-04-26,1.0,6.62,537031796370253.25,537031796370253.25,0.0,,,674.0,
1970-05-03,2.0,5.75,48994461983671.5,26607250597988.03,0.0,,,504.5,6.003
1970-05-10,1.0,6.18,117489755493952.55,117489755493952.55,0.0,,,588.0,4.102
1970-05-17,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-05-24,1.0,5.65,18836490894898.098,18836490894898.098,0.0,,,491.0,4.3
1970-05-31,1.0,6.26,154881661891248.6,154881661891248.6,0.0,,,603.0,
1970-06-07,0.0,,0.0,,0.0,,,,
1970-06-14,1.0,5.9,44668359215096.53,44668359215096.53,0.0,,,536.0,5.275
1970-06-21,0.0,,0.0,,0.0,,,,
1970-06-28,1.0,6.2,125892541179417.14,125892541179417.14,0.0,,,591.0,5.392
1970-07-05,0.0,,0.0,,0.0,,,,
1970-07-12,1.0,5.51,11614486138403.46,11614486138403.46,0.0,,,467.0,
1970-07-19,1.0,6.21,130316677845230.0,130316677845230.0,0.0,,,593.0,6.15
1970-07-26,0.0,,0.0,,0.0,,,,
1970-08-02,1.0,5.54,12882495516931.322,12882495516931.322,0.0,,,472.0,
1970-08-09,2.0,5.9,56282845353499.99,44668359215096.53,0.0,,,501.5,4.697
1970-08-16,5.0,6.9,2079182182501760.0,1412537544622761.2,0.0,,,609.25,5.013999999999999
1970-08-23,1.0,5.75,26607250597988.03,26607250597988.03,0.0,,,509.0,5.509
1970-08-30,1.0,6.45,298538261891796.94,298538261891796.94,0.0,,,640.0,6.275
1970-09-06,1.0,6.08,83176377110267.42,83176377110267.42,0.0,,,569.0,4.973
1970-09-13,0.0,,0.0,,0.0,,,,
1970-09-20,0.0,,0.0,,0.0,,,,
1970-09-27,2.0,6.43,364711492081435.9,278612116862976.1,0.0,,,603.5,4.6575
1970-10-04,2.0,6.27,235313960002249.12,160324539069003.53,0.0,,,584.0,4.713
1970-10-11,0.0,,0.0,,0.0,,,,
1970-10-18,2.0,5.79,42994357249868.96,30549211132155.094,0.0,,,493.0,3.979
1970-10-25,1.0,5.51,11614486138403.46,11614486138403.46,0.0,,,467.0,
1970-11-01,2.0,6.9,1424982690740475.0,1412537544622761.2,0.0,,,601.0,6.606
1970-11-08,0.0,,0.0,,0.0,,,,
1970-11-15,1.0,6.3,177827941003892.28,177827941003892.28,0.0,,,611.0,6.636
1970-11-22,2.0,5.8,54796723101368.59,31622776601683.793,0.0,,,510.0,3.986
1970-11-29,1.0,5.99,60953689724017.19,60953689724017.19,0.0,,,552.0,4.188
1970-12-06,3.0,6.96,1880099267660788.8,1737800828749376.2,0.0,,,641.25,
1970-12-13,0.0,,0.0,,0.0,,,,
1970-12-20,2.0,5.8,44957990923317.03,31622776601683.793,0.0,,,496.0,3.749
1970-12-27,0.0,,0.0,,0.0,,,,
1971-01-03,4.0,6.71,1262438678896287.5,732824533138904.5,0.0,,,595.75,6.0885
1971-01-10,12.0,7.7,2.333926305159665e+16,2.2387211385683468e+16,0.0,,,568.8333333333334,5.7107777777777775
