datetime,Unnamed: 0,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate,EruptedVolume,DurationDays,DailyEruptedVolume,timeymd
19670716,29,257040,15274,Confirmed Eruption,2,Observations: Reported,1967,7,16,1970,8,29,1967-07-16,1970-08-29,5000000,1141,4382.120946538124,19670716
19691028,137,255060,15160,Confirmed Eruption,2,Observations: Reported,1969,10,28,1970,2,6,1969-10-28,1970-02-06,5000000,102,49019.60784313725,19691028
19700115,862,252120,15051,Confirmed Eruption,3,Observations: Reported,1970,1,15,1970,2,11,1970-01-15,1970-02-11,50000000,28,1785714.2857142857,19700115
19700509,47,257050,15308,Confirmed Eruption,2,Observations: Reported,1970,5,9,1972,8,7,1970-05-09,1972-08-07,5000000,822,6082.725060827251,19700509
19700520,104,252010,14995,Confirmed Eruption,2,Observations: Reported,1970,5,20,1970,9,22,1970-05-20,1970-09-22,5000000,126,39682.53968253968,19700520
19700521,121,255020,15137,Confirmed Eruption,2,Observations: Reported,1970,5,21,1971,8,16,1970-05-21,1971-08-16,5000000,453,11037.527593818984,19700521
19710126,105,252010,14996,Confirmed Eruption,2,Observations: Reported,1971,1,26,1972,7,5,1971-01-26,1972-07-05,5000000,527,9487.666034155598,19710126
19710203,30,257040,15275,Confirmed Eruption,2,Observations: Reported,1971,2,3,1971,11,5,1971-02-03,1971-11-05,5000000,276,18115.942028985508,19710203
19710222,52,257070,15344,Confirmed Eruption,2,Observations: Reported,1971,2,22,1971,2,22,1971-02-22,1971-02-22,5000000,1,5000000.0,19710222
19710512,7,257020,15224,Confirmed Eruption,2,Observations: Reported,1971,5,12,1971,5,13,1971-05-12,1971-05-13,5000000,2,2500000.0,19710512
19710906,630,256010,15201,Confirmed Eruption,2,Observations: Reported,1971,9,6,1971,12,11,1971-09-06,1971-12-11,5000000,97,51546.39175257732,19710906
19720415,31,257040,15276,Confirmed Eruption,3,Observations: Reported,1972,4,15,1972,8,15,1972-04-15,1972-08-15,50000000,123,406504.0650406504,19720415
19720702,119,255020,15138,Confirmed Eruption,2,Observations: Reported,1972,7,2,1995,7,2,1972-07-02,1995-07-02,5000000,8401,595.1672419950006,19720702
19721009,93,251070,14973,Confirmed Eruption,1,Observations: Reported,1972,10,9,1972,10,9,1972-10-09,1972-10-09,100000,1,100000.0,19721009
19730224,106,252010,14997,Confirmed Eruption,3,Observations: Reported,1973,2,24,2000,10,16,1973-02-24,2000-10-16,50000000,10097,4951.965930474398,19730224
19730415,32,257040,15277,Confirmed Eruption,3,Observations: Reported,1973,4,15,1976,10,14,1973-04-15,1976-10-14,50000000,1279,39093.04143862393,19730415
19730416,90,251050,14963,Confirmed Eruption,2,Observations: Reported,1973,4,16,1974,2,28,1973-04-16,1974-02-28,5000000,319,15673.98119122257,19730416
19731004,863,252120,15052,Confirmed Eruption,2,Observations: Reported,1973,10,4,1973,10,19,1973-10-04,1973-10-19,5000000,16,312500.0,19731004
19731009,8,257020,15225,Confirmed Eruption,2,Observations: Reported,1973,10,9,1974,1,21,1973-10-09,1974-01-21,5000000,105,47619.04761904762,19731009
19740116,48,257050,15309,Confirmed Eruption,2,Observations: Reported,1974,1,16,1974,10,7,1974-01-16,1974-10-07,5000000,265,18867.924528301886,19740116
19740214,683,251030,14946,Confirmed Eruption,2,Observations: Reported,1974,2,14,1974,8,8,1974-02-14,1974-08-08,5000000,176,28409.090909090908,19740214
19740304,679,251020,14927,Confirmed Eruption,3,Observations: Reported,1974,3,4,1999,11,9,1974-03-04,1999-11-09,50000000,9382,5329.354082285227,19740304
