,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
0,257020,20938,Confirmed Eruption,1,Observations: Reported,2011,9,17,2011,10,10,2011-09-17,2011-10-10
1,257020,15226,Confirmed Eruption,2,Observations: Reported,1976,1,15,1976,1,15,1976-01-15,1976-01-15
2,257020,15227,Confirmed Eruption,2,Observations: Reported,1977,4,13,1977,4,13,1977-04-13,1977-04-13
3,257020,15228,Confirmed Eruption,1,Observations: Reported,1980,7,2,1980,7,2,1980-07-02,1980-07-02
4,257020,15229,Confirmed Eruption,1,Observations: Reported,1981,7,9,1981,7,9,1981-07-09,1981-07-09
5,257020,15230,Confirmed Eruption,2,Observations: Reported,1982,4,18,1982,4,18,1982-04-18,1982-04-18
6,257020,15231,Confirmed Eruption,2,Observations: Reported,2009,9,27,2010,6,19,2009-09-27,2010-06-19
7,257020,15224,Confirmed Eruption,2,Observations: Reported,1971,5,12,1971,5,13,1971-05-12,1971-05-13
8,257020,15225,Confirmed Eruption,2,Observations: Reported,1973,10,9,1974,1,21,1973-10-09,1974-01-21
9,257030,22240,Confirmed Eruption,3,Observations: Reported,2017,9,6,2018,10,30,2017-09-06,2018-10-30
10,257030,20752,Confirmed Eruption,1,Observations: Reported,2011,6,4,2011,7,10,2011-06-04,2011-07-10
11,257030,15236,Confirmed Eruption,2,Observations: Reported,1995,3,2,1995,3,3,1995-03-02,1995-03-03
12,257030,15237,Confirmed Eruption,2,Observations: Reported,2005,11,27,2006,2,16,2005-11-27,2006-02-16
13,257040,15290,Confirmed Eruption,1,Observations: Reported,1994,12,16,1994,12,16,1994-12-16,1994-12-16
14,257040,15295,Confirmed Eruption,1,Observations: Reported,1996,6,16,2005,8,16,1996-06-16,2005-08-16
15,257040,15296,Confirmed Eruption,2,Observations: Reported,2006,11,8,2007,12,27,2006-11-08,2007-12-27
16,257040,15297,Confirmed Eruption,2,Observations: Reported,2008,5,23,2018,12,17,2008-05-23,2018-12-17
17,257040,15284,Confirmed Eruption,2,Observations: Reported,1983,7,2,1983,7,2,1983-07-02,1983-07-02
18,257040,15285,Confirmed Eruption,2,Observations: Reported,1984,7,2,1986,3,8,1984-07-02,1986-03-08
19,257040,15286,Confirmed Eruption,2,Observations: Reported,1986,11,13,1986,11,19,1986-11-13,1986-11-19
20,257040,15287,Confirmed Eruption,3,Observations: Reported,1988,2,12,1988,8,23,1988-02-12,1988-08-23
21,257040,15288,Confirmed Eruption,2,Observations: Reported,1989,4,24,1989,12,23,1989-04-24,1989-12-23
22,257040,15289,Confirmed Eruption,2,Observations: Reported,1990,9,16,1991,7,16,1990-09-16,1991-07-16
23,257040,15278,Confirmed Eruption,2,Observations: Reported,1977,1,20,1977,1,28,1977-01-20,1977-01-28
24,257040,15279,Confirmed Eruption,2,Observations: Reported,1977,8,16,1977,9,30,1977-08-16,1977-09-30
25,257040,15280,Confirmed Eruption,2,Observations: Reported,1979,1,26,1979,2,18,1979-01-26,1979-02-18
26,257040,15281,Confirmed Eruption,2,Observations: Reported,1979,6,6,1979,9,16,1979-06-06,1979-09-16
27,257040,15282,Confirmed Eruption,3,Observations: Reported,1980,5,16,1980,8,18,1980-05-16,1980-08-18
28,257040,15283,Confirmed Eruption,2,Observations: Reported,1981,2,20,1981,9,30,1981-02-20,1981-09-30
29,257040,15274,Confirmed Eruption,2,Observations: Reported,1967,7,16,1970,8,29,1967-07-16,1970-08-29
30,257040,15275,Confirmed Eruption,2,Observations: Reported,1971,2,3,1971,11,5,1971-02-03,1971-11-05
31,257040,15276,Confirmed Eruption,3,Observations: Reported,1972,4,15,1972,8,15,1972-04-15,1972-08-15
32,257040,15277,Confirmed Eruption,3,Observations: Reported,1973,4,15,1976,10,14,1973-04-15,1976-10-14
33,257050,15322,Confirmed Eruption,2,Observations: Reported,2007,4,21,2007,5,14,2007-04-21,2007-05-14
34,257050,15323,Uncertain Eruption,2,unknown,2008,2,24,2008,2,24,2008-02-24,2008-02-24
35,257050,15316,Confirmed Eruption,3,Observations: Reported,1998,7,16,2000,4,25,1998-07-16,2000-04-25
36,257050,15317,Confirmed Eruption,3,Observations: Reported,2001,6,8,2001,6,19,2001-06-08,2001-06-19
37,257050,15318,Confirmed Eruption,3,Observations: Reported,2003,6,8,2003,6,16,2003-06-08,2003-06-16
38,257050,15319,Confirmed Eruption,2,Observations: Reported,2004,9,16,2004,9,16,2004-09-16,2004-09-16
39,257050,15320,Confirmed Eruption,2,Observations: Reported,2005,1,30,2005,3,31,2005-01-30,2005-03-31
40,257050,15321,Confirmed Eruption,2,Observations: Reported,2005,10,27,2006,8,1,2005-10-27,2006-08-01
41,257050,15310,Confirmed Eruption,2,Observations: Reported,1975,3,6,1975,6,23,1975-03-06,1975-06-23
42,257050,15311,Confirmed Eruption,1,Observations: Reported,1976,5,1,1976,9,5,1976-05-01,1976-09-05
43,257050,15312,Confirmed Eruption,2,Observations: Reported,1978,11,22,1979,3,16,1978-11-22,1979-03-16
44,257050,15313,Confirmed Eruption,2,Observations: Reported,1979,7,2,1979,9,12,1979-07-02,1979-09-12
45,257050,15314,Confirmed Eruption,3,Observations: Reported,1980,4,15,1980,8,20,1980-04-15,1980-08-20
46,257050,15315,Confirmed Eruption,2,Observations: Reported,1982,10,24,1982,10,25,1982-10-24,1982-10-25
47,257050,15308,Confirmed Eruption,2,Observations: Reported,1970,5,9,1972,8,7,1970-05-09,1972-08-07
48,257050,15309,Confirmed Eruption,2,Observations: Reported,1974,1,16,1974,10,7,1974-01-16,1974-10-07
49,257060,15330,Confirmed Eruption,1,Observations: Reported,1999,2,1,1999,2,1,1999-02-01,1999-02-01
50,257060,15331,Confirmed Eruption,1,Observations: Reported,2002,3,16,2002,3,16,2002-03-16,2002-03-16
51,257060,15332,Confirmed Eruption,2,Observations: Reported,2004,2,16,2004,2,24,2004-02-16,2004-02-24
52,257070,15344,Confirmed Eruption,2,Observations: Reported,1971,2,22,1971,2,22,1971-02-22,1971-02-22
90,251050,14963,Confirmed Eruption,2,Observations: Reported,1973,4,16,1974,2,28,1973-04-16,1974-02-28
91,251050,14964,Confirmed Eruption,1,Observations: Reported,1976,1,2,1976,1,2,1976-01-02,1976-01-02
