timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-04,0.0,,0.0,,0.0,,,,
1970-01-11,0.0,,0.0,,0.0,,,,
1970-01-18,1.0,5.98,58884365535558.836,58884365535558.836,0.0,,,550.0,5.958
1970-01-25,0.0,,0.0,,0.0,,,,
1970-02-01,0.0,,0.0,,0.0,,,,
1970-02-08,0.0,,0.0,,0.0,,,,
1970-02-15,2.0,5.86,66446801532809.8,38904514499428.05,0.0,,,519.0,3.949
1970-02-22,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,4.166
1970-03-01,0.0,,0.0,,0.0,,,,
1970-03-08,2.0,5.71,35619092617398.664,23173946499684.797,0.0,,,486.0,
1970-03-15,0.0,,0.0,,0.0,,,,
1970-03-22,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1970-03-29,0.0,,0.0,,0.0,,,,
1970-04-05,0.0,,0.0,,0.0,,,,
1970-04-12,0.0,,0.0,,0.0,,,,
1970-04-19,0.0,,0.0,,0.0,,,,
1970-04-26,0.0,,0.0,,0.0,,,,
1970-05-03,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-05-10,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1970-05-17,0.0,,0.0,,0.0,,,,
1970-05-24,0.0,,0.0,,0.0,,,,
1970-05-31,0.0,,0.0,,0.0,,,,
1970-06-07,0.0,,0.0,,0.0,,,,
1970-06-14,0.0,,0.0,,0.0,,,,
1970-06-21,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1970-06-28,1.0,6.6,501187233627273.5,501187233627273.5,0.0,,,670.0,6.092
1970-07-05,3.0,5.62,41537835389270.31,16982436524617.46,0.0,,,472.5,
1970-07-12,0.0,,0.0,,0.0,,,,
1970-07-19,0.0,,0.0,,0.0,,,,
1970-07-26,0.0,,0.0,,0.0,,,,
1970-08-02,0.0,,0.0,,0.0,,,,
1970-08-09,2.0,5.99,77936126248634.66,60953689724017.19,0.0,,,519.0,
1970-08-16,0.0,,0.0,,0.0,,,,
1970-08-23,0.0,,0.0,,0.0,,,,
1970-08-30,0.0,,0.0,,0.0,,,,
1970-09-06,0.0,,0.0,,0.0,,,,
1970-09-13,0.0,,0.0,,0.0,,,,
1970-09-20,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,
1970-09-27,0.0,,0.0,,0.0,,,,
1970-10-04,1.0,5.76,27542287033381.746,27542287033381.746,0.0,,,510.0,
1970-10-11,0.0,,0.0,,0.0,,,,
1970-10-18,0.0,,0.0,,0.0,,,,
1970-10-25,0.0,,0.0,,0.0,,,,
1970-11-01,0.0,,0.0,,0.0,,,,
1970-11-08,1.0,6.7,707945784384140.2,707945784384140.2,0.0,,,691.0,6.697
1970-11-15,0.0,,0.0,,0.0,,,,
1970-11-22,3.0,5.62,47120308034339.64,16982436524617.46,0.0,,,481.6666666666667,3.979
1970-11-29,2.0,5.69,41125631234850.66,21627185237270.246,0.0,,,495.5,6.034
1970-12-06,3.0,5.85,83673159243470.45,37583740428844.51,0.0,,,508.6666666666667,
1970-12-13,1.0,5.65,18836490894898.098,18836490894898.098,0.0,,,491.0,4.085
1970-12-20,0.0,,0.0,,0.0,,,,
1970-12-27,0.0,,0.0,,0.0,,,,
1971-01-03,0.0,,0.0,,0.0,,,,
1971-01-10,0.0,,0.0,,0.0,,,,
1971-01-17,0.0,,0.0,,0.0,,,,
1971-01-24,3.0,5.67,49188744507607.22,20183663636815.68,0.0,,,484.0,
1971-01-31,2.0,5.63,34561672664204.43,17579236139586.967,0.0,,,487.0,
1971-02-07,1.0,5.92,47863009232264.0,47863009232264.0,0.0,,,539.0,
1971-02-14,0.0,,0.0,,0.0,,,,
1971-02-21,0.0,,0.0,,0.0,,,,
1971-02-28,0.0,,0.0,,0.0,,,,
1971-03-07,0.0,,0.0,,0.0,,,,
1971-03-14,0.0,,0.0,,0.0,,,,
1971-03-21,1.0,5.63,17579236139586.967,17579236139586.967,0.0,,,488.0,
1971-03-28,1.0,5.79,30549211132155.094,30549211132155.094,0.0,,,516.0,5.306
1971-04-04,0.0,,0.0,,0.0,,,,
1971-04-11,2.0,6.56,459689778739851.4,436515832240166.56,0.0,,,582.0,5.23
1971-04-18,0.0,,0.0,,0.0,,,,
1971-04-25,1.0,5.81,32734069487883.863,32734069487883.863,0.0,,,519.0,
1971-05-02,0.0,,0.0,,0.0,,,,
1971-05-09,0.0,,0.0,,0.0,,,,
1971-05-16,0.0,,0.0,,0.0,,,,
1971-05-23,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1971-05-30,0.0,,0.0,,0.0,,,,
1971-06-06,0.0,,0.0,,0.0,,,,
1971-06-13,0.0,,0.0,,0.0,,,,
1971-06-20,0.0,,0.0,,0.0,,,,
1971-06-27,0.0,,0.0,,0.0,,,,
1971-07-04,1.0,5.88,41686938347033.63,41686938347033.63,0.0,,,532.0,
1971-07-11,1.0,6.21,130316677845230.0,130316677845230.0,0.0,,,593.0,
1971-07-18,2.0,5.63,30914450461220.207,17579236139586.967,0.0,,,481.0,
1971-07-25,1.0,5.56,13803842646028.867,13803842646028.867,0.0,,,476.0,
1971-08-01,1.0,5.57,14288939585111.008,14288939585111.008,0.0,,,477.0,3.797
1971-08-08,2.0,5.65,35818927419515.56,18836490894898.098,0.0,,,488.5,
1971-08-15,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,
1971-08-22,0.0,,0.0,,0.0,,,,
1971-08-29,0.0,,0.0,,0.0,,,,
1971-09-05,0.0,,0.0,,0.0,,,,
1971-09-12,1.0,5.66,19498445997580.414,19498445997580.414,0.0,,,493.0,
1971-09-19,1.0,6.97,1798870915128783.8,1798870915128783.8,0.0,,,747.0,5.433
1971-09-26,2.0,5.75,43013148329983.42,26607250597988.03,0.0,,,496.5,
1971-10-03,1.0,5.68,20892961308540.324,20892961308540.324,0.0,,,496.0,
1971-10-10,0.0,,0.0,,0.0,,,,
1971-10-17,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,4.45
1971-10-24,0.0,,0.0,,0.0,,,,
1971-10-31,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,
