timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-31,4.0,6.79,1986357213555836.2,966050878989812.1,0.0,,,619.5,
1970-02-28,3.0,6.05,102225650932641.6,74989420933245.58,0.0,,,497.75,
1970-03-31,1.0,5.6,15848931924611.174,15848931924611.174,0.0,,,482.0,
1970-04-30,6.0,5.96,193292554956839.03,54954087385762.484,0.0,,,513.3333333333334,
1970-05-31,2.0,6.04,86247438653527.78,72443596007498.9,0.0,,,518.5,
1970-06-30,3.0,6.39,305881548172784.8,242661009508241.44,0.0,,,550.3333333333334,
1970-07-31,5.0,6.32,458036951311745.75,190546071796324.44,0.0,,,546.8,5.446
1970-08-31,4.0,6.11,224088467380213.03,92257142715476.28,0.0,,,541.75,
1970-09-30,0.0,,0.0,,0.0,,,,
1970-10-31,5.0,6.5,696102336222570.5,354813389233574.56,0.0,,,548.375,
1970-11-30,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-12-31,2.0,5.63,33428168064198.14,17579236139586.967,0.0,,,485.0,
1971-01-31,0.0,,0.0,,0.0,,,,
1971-02-28,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1971-03-31,1.0,6.27,160324539069003.53,160324539069003.53,0.0,,,605.0,
1971-04-30,6.0,6.13,209743145024549.2,98855309465694.11,0.0,,,516.4,
1971-05-31,2.0,5.63,31868175724697.977,17579236139586.967,0.0,,,482.5,
1971-06-30,0.0,,0.0,,0.0,,,,
1971-07-31,2.0,5.72,40970765714812.31,23988329190194.85,0.0,,,494.5,
1971-08-31,5.0,6.62,963416124752330.4,537031796370253.25,0.0,,,525.75,
1971-09-30,3.0,6.01,145936985146315.12,65313055264747.43,0.0,,,531.0,
1971-10-31,3.0,5.96,100841708850266.9,54954087385762.484,0.0,,,516.0,
1971-11-30,2.0,6.48,359641304157629.75,331131121482590.75,0.0,,,579.0,
1971-12-31,1.0,5.86,38904514499428.05,38904514499428.05,0.0,,,528.0,
1972-01-31,4.0,6.54,490590664958567.75,407380277804112.2,0.0,,,543.0,
1972-02-29,2.0,5.98,87394548210597.81,58884365535558.836,0.0,,,531.0,
1972-03-31,11.0,6.64,824244494791557.2,575439937337156.6,0.0,,,514.5,
1972-04-30,6.0,5.98,194175144763132.84,58884365535558.836,0.0,,,510.2,
1972-05-31,6.0,7.06,2642711152935126.5,2454708915685033.5,0.0,,,562.5,
1972-06-30,5.0,5.81,106547895146829.17,32734069487883.863,0.0,,,492.6,
1972-07-31,4.0,5.79,85542195383371.44,30549211132155.094,0.0,,,495.5,
1972-08-31,5.0,6.11,233080826138106.34,92257142715476.28,0.0,,,519.0,
1972-09-30,6.0,6.24,369544008143456.5,144543977074593.38,0.0,,,531.5,
1972-10-31,3.0,5.92,70697679913687.06,47863009232264.0,0.0,,,490.3333333333333,
1972-11-30,8.0,5.89,168360783501625.4,43151907682776.5,0.0,,,492.27777777777777,
1972-12-31,3.0,6.04,100646217075135.97,72443596007498.9,0.0,,,504.0,
