timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-04,1.0,5.61,16405897731995.387,16405897731995.387,0.0,,,484.0,
1970-01-11,1.0,6.79,966050878989812.1,966050878989812.1,0.0,,,709.0,
1970-01-18,0.0,,0.0,,0.0,,,,
1970-01-25,1.0,6.77,901571137605953.4,901571137605953.4,0.0,,,705.0,
1970-02-01,1.0,6.14,102329299228075.36,102329299228075.36,0.0,,,580.0,
1970-02-08,0.0,,0.0,,0.0,,,,
1970-02-15,0.0,,0.0,,0.0,,,,
1970-02-22,3.0,6.05,102225650932641.6,74989420933245.58,0.0,,,497.75,
1970-03-01,0.0,,0.0,,0.0,,,,
1970-03-08,1.0,5.6,15848931924611.174,15848931924611.174,0.0,,,482.0,
1970-03-15,0.0,,0.0,,0.0,,,,
1970-03-22,0.0,,0.0,,0.0,,,,
1970-03-29,0.0,,0.0,,0.0,,,,
1970-04-05,2.0,5.96,96641025732796.12,54954087385762.484,0.0,,,539.0,
1970-04-12,2.0,5.83,55258851032072.62,35075187395256.938,0.0,,,509.0,
1970-04-19,1.0,5.77,28510182675038.98,28510182675038.98,0.0,,,512.0,
1970-04-26,1.0,5.54,12882495516931.322,12882495516931.322,0.0,,,472.0,
1970-05-03,0.0,,0.0,,0.0,,,,
1970-05-10,0.0,,0.0,,0.0,,,,
1970-05-17,0.0,,0.0,,0.0,,,,
1970-05-24,0.0,,0.0,,0.0,,,,
1970-05-31,2.0,6.04,86247438653527.78,72443596007498.9,0.0,,,518.5,
1970-06-07,0.0,,0.0,,0.0,,,,
1970-06-14,1.0,5.91,46238102139925.94,46238102139925.94,0.0,,,537.0,
1970-06-21,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-06-28,1.0,6.39,242661009508241.44,242661009508241.44,0.0,,,628.0,
1970-07-05,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,
1970-07-12,0.0,,0.0,,0.0,,,,
1970-07-19,2.0,6.27,240677151287565.12,160324539069003.53,0.0,,,586.0,
1970-07-26,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1970-08-02,1.0,6.32,190546071796324.44,190546071796324.44,0.0,,,614.0,5.446
1970-08-09,2.0,6.11,117088473768431.97,92257142715476.28,0.0,,,539.5,
1970-08-16,0.0,,0.0,,0.0,,,,
1970-08-23,0.0,,0.0,,0.0,,,,
1970-08-30,2.0,6.01,106999993611781.06,65313055264747.43,0.0,,,544.0,
1970-09-06,0.0,,0.0,,0.0,,,,
1970-09-13,0.0,,0.0,,0.0,,,,
1970-09-20,0.0,,0.0,,0.0,,,,
1970-09-27,0.0,,0.0,,0.0,,,,
1970-10-04,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-10-11,3.0,6.5,665316057051924.2,354813389233574.56,0.0,,,615.75,
1970-10-18,1.0,5.56,13803842646028.867,13803842646028.867,0.0,,,476.0,
1970-10-25,0.0,,0.0,,0.0,,,,
1970-11-01,0.0,,0.0,,0.0,,,,
1970-11-08,0.0,,0.0,,0.0,,,,
1970-11-15,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-11-22,0.0,,0.0,,0.0,,,,
1970-11-29,0.0,,0.0,,0.0,,,,
1970-12-06,1.0,5.6,15848931924611.174,15848931924611.174,0.0,,,482.0,
1970-12-13,1.0,5.63,17579236139586.967,17579236139586.967,0.0,,,488.0,
1970-12-20,0.0,,0.0,,0.0,,,,
1970-12-27,0.0,,0.0,,0.0,,,,
1971-01-03,0.0,,0.0,,0.0,,,,
1971-01-10,0.0,,0.0,,0.0,,,,
1971-01-17,0.0,,0.0,,0.0,,,,
1971-01-24,0.0,,0.0,,0.0,,,,
1971-01-31,0.0,,0.0,,0.0,,,,
1971-02-07,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1971-02-14,0.0,,0.0,,0.0,,,,
1971-02-21,0.0,,0.0,,0.0,,,,
1971-02-28,0.0,,0.0,,0.0,,,,
1971-03-07,0.0,,0.0,,0.0,,,,
1971-03-14,0.0,,0.0,,0.0,,,,
1971-03-21,0.0,,0.0,,0.0,,,,
1971-03-28,1.0,6.27,160324539069003.53,160324539069003.53,0.0,,,605.0,
1971-04-04,0.0,,0.0,,0.0,,,,
1971-04-11,2.0,6.13,129404520597849.2,98855309465694.11,0.0,,,547.0,
1971-04-18,3.0,5.83,60840178429119.58,35075187395256.938,0.0,,,497.5,
1971-04-25,0.0,,0.0,,0.0,,,,
1971-05-02,1.0,5.66,19498445997580.414,19498445997580.414,0.0,,,493.0,
1971-05-09,0.0,,0.0,,0.0,,,,
1971-05-16,0.0,,0.0,,0.0,,,,
