datetime,Unnamed: 0,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate,EruptedVolume,DurationDays,DailyEruptedVolume,timeymd
19700630,321,241040,14483,Confirmed Eruption,2,Observations: Reported,1970,6,30,1970,6,30,1970-06-30,1970-06-30,5000000,1,5000000.0,19700630
19700916,961,241100,14637,Confirmed Eruption,1,Observations: Reported,1970,9,16,1970,9,17,1970-09-16,1970-09-17,100000,2,50000.0,19700916
19710403,962,241100,14638,Confirmed Eruption,2,Observations: Reported,1971,4,3,1971,11,1,1971-04-03,1971-11-01,5000000,213,23474.17840375587,19710403
19710409,322,241040,14484,Confirmed Eruption,2,Observations: Reported,1971,4,9,1971,4,9,1971-04-09,1971-04-09,5000000,1,5000000.0,19710409
19710719,323,241040,14485,Confirmed Eruption,2,Observations: Reported,1971,7,19,1971,7,20,1971-07-19,1971-07-20,5000000,2,2500000.0,19710719
19720319,929,241080,14601,Confirmed Eruption,2,Observations: Reported,1972,3,19,1972,6,6,1972-03-19,1972-06-06,5000000,80,62500.0,19720319
19721022,963,241100,14639,Confirmed Eruption,1,Observations: Reported,1972,10,22,1973,1,10,1972-10-22,1973-01-10,100000,81,1234.567901234568,19721022
19721122,930,241080,14602,Confirmed Eruption,3,Observations: Reported,1972,11,22,1974,8,19,1972-11-22,1974-08-19,50000000,636,78616.35220125786,19721122
19730222,325,241050,14524,Confirmed Eruption,1,Observations: Reported,1973,2,22,1973,2,22,1973-02-22,1973-02-22,100000,1,100000.0,19730222
19730711,595,243102,14775,Confirmed Eruption,3,Observations: Reported,1973,7,11,1973,7,16,1973-07-11,1973-07-16,50000000,6,8333333.333333333,19730711
19731031,955,241100,14640,Confirmed Eruption,1,Observations: Reported,1973,10,31,1974,10,25,1973-10-31,1974-10-25,100000,360,277.77777777777777,19731031
19740216,597,243100,14784,Uncertain Eruption,1,unknown,1974,2,16,1974,2,16,1974-02-16,1974-02-16,100000,1,100000.0,19740216
19740908,315,241040,14486,Confirmed Eruption,2,Observations: Reported,1974,9,8,1974,9,8,1974-09-08,1974-09-08,5000000,1,5000000.0,19740908
19750212,931,241080,14603,Confirmed Eruption,3,Observations: Reported,1975,2,12,1975,2,23,1975-02-12,1975-02-23,50000000,12,4166666.6666666665,19750212
19750424,956,241100,14641,Confirmed Eruption,2,Observations: Reported,1975,4,24,1975,4,27,1975-04-24,1975-04-27,5000000,4,1250000.0,19750424
19751017,957,241100,14642,Confirmed Eruption,1,Observations: Reported,1975,10,17,1975,10,17,1975-10-17,1975-10-17,100000,1,100000.0,19751017
19760306,958,241100,14643,Confirmed Eruption,1,Observations: Reported,1976,3,6,1976,3,6,1976-03-06,1976-03-06,100000,1,100000.0,19760306
19760823,932,241080,14604,Confirmed Eruption,1,Observations: Reported,1976,8,23,1976,8,28,1976-08-23,1976-08-28,100000,6,16666.666666666668,19760823
19760912,959,241100,14644,Confirmed Eruption,1,Observations: Reported,1976,9,12,1976,11,22,1976-09-12,1976-11-22,100000,72,1388.888888888889,19760912
19761218,316,241040,14487,Confirmed Eruption,3,Observations: Reported,1976,12,18,1982,1,29,1976-12-18,1982-01-29,50000000,1869,26752.273943285178,19761218
