,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
118,242005,20748,Confirmed Eruption,1,Observations: Reported,2012,7,17,2012,7,19,2012-07-17,2012-07-19
180,242030,14702,Confirmed Eruption,1,Observations: Reported,2006,3,17,2006,3,17,2006-03-17,2006-03-17
181,242050,14707,Confirmed Eruption,1,Observations: Hydrophonic,1979,2,16,1979,4,19,1979-02-16,1979-04-19
182,242050,22465,Confirmed Eruption,1,Observations: Hydrophonic,2014,1,1,2014,1,1,2014-01-01,2014-01-01
183,243030,14729,Confirmed Eruption,1,Observations: Reported,1999,1,8,1999,1,14,1999-01-08,1999-01-14
184,243040,14733,Confirmed Eruption,2,Observations: Reported,2009,3,17,2009,3,22,2009-03-17,2009-03-22
185,243040,20983,Confirmed Eruption,2,Observations: Reported,2014,12,19,2015,1,23,2014-12-19,2015-01-23
186,243060,14752,Confirmed Eruption,1,Observations: Reported,2004,3,19,2014,10,18,2004-03-19,2014-10-18
187,243070,14765,Confirmed Eruption,2,Observations: Reported,1979,5,10,1979,7,21,1979-05-10,1979-07-21
188,243070,14767,Confirmed Eruption,2,Observations: Reported,1995,6,6,1995,6,23,1995-06-06,1995-06-23
189,243070,22334,Confirmed Eruption,1,Observations: Reported,2019,10,13,2019,10,22,2019-10-13,2019-10-22
308,241040,22338,Confirmed Eruption,2,Observations: Reported,2019,12,9,2019,12,9,2019-12-09,2019-12-09
309,241040,20839,Confirmed Eruption,2,Observations: Reported,2012,8,7,2013,10,11,2012-08-07,2013-10-11
310,241040,14493,Confirmed Eruption,2,Observations: Reported,1998,8,22,1999,8,16,1998-08-22,1999-08-16
311,241040,14494,Confirmed Eruption,3,Observations: Reported,2000,3,7,2000,9,5,2000-03-07,2000-09-05
312,241040,14495,Confirmed Eruption,2,Observations: Reported,2001,2,19,2001,2,19,2001-02-19,2001-02-19
313,241040,22121,Confirmed Eruption,1,Observations: Reported,2016,4,27,2016,4,27,2016-04-27,2016-04-27
314,241040,22147,Confirmed Eruption,1,Observations: Reported,2016,9,13,2016,9,14,2016-09-13,2016-09-14
315,241040,14486,Confirmed Eruption,2,Observations: Reported,1974,9,8,1974,9,8,1974-09-08,1974-09-08
316,241040,14487,Confirmed Eruption,3,Observations: Reported,1976,12,18,1982,1,29,1976-12-18,1982-01-29
317,241040,14489,Confirmed Eruption,2,Observations: Reported,1983,12,26,1984,2,12,1983-12-26,1984-02-12
318,241040,14490,Confirmed Eruption,3,Observations: Reported,1986,2,1,1994,7,28,1986-02-01,1994-07-28
319,241040,14491,Confirmed Eruption,1,Observations: Reported,1995,6,28,1995,6,29,1995-06-28,1995-06-29
320,241040,14492,Confirmed Eruption,1,Observations: Reported,1998,3,28,1998,3,29,1998-03-28,1998-03-29
