,Unnamed: 0,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry
0,0,241040,177.18,-37.52,Whakaari/White Island,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-37.52,177.18,294,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (177.18 -37.52)
1,1,241050,176.5069,-38.1569,Okataina,Lava dome(s),New Zealand,Tonga-Kermadec Volcanic Regions,-38.1569,176.5069,1111,Subduction zone / Continental crust (> 25 km),Eruption Observed,Rhyolite,True,1981,POINT (176.5069 -38.1569)
2,2,241080,175.632,-39.157,Tongariro,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-39.157,175.632,1978,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2012,POINT (175.632 -39.157)
3,3,241100,175.57,-39.28,Ruapehu,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-39.28,175.57,2797,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2007,POINT (175.57 -39.28)
4,4,242030,182.08,-29.27,Raoul Island,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-29.27,-177.92,516,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2006,POINT (-177.92 -29.27)
5,5,242050,182.812,-25.887,Monowai,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-25.887,-177.188,-132,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,True,2014,POINT (-177.188 -25.887)
6,6,243030,184.45,-20.852,Unnamed,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-20.852,-175.55,-296,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,unknown,True,1999,POINT (-175.55 -20.852)
7,7,243040,184.6159,-20.5532,Hunga Tonga-Hunga Ha'apai,Caldera,Tonga,Tonga-Kermadec Volcanic Regions,-20.5532,-175.3841,114,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2015,POINT (-175.3841 -20.5532)
8,8,243060,184.93,-19.75,Tofua,Caldera,Tonga,Tonga-Kermadec Volcanic Regions,-19.75,-175.07,515,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (-175.07 -19.75)
9,9,243070,185.13,-19.18,Lateiki,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-19.18,-174.87,43,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,2019,POINT (-174.87 -19.18)
10,10,243080,185.225,-18.992,Home Reef,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-18.992,-174.775,-10,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,2006,POINT (-174.775 -18.992)
11,11,243091,185.635,-18.325,Unnamed,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-18.325,-174.365,-40,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,2019,POINT (-174.365 -18.325)
12,12,243102,186.33,-15.62,Curacoa,Complex,Tonga,Tonga-Kermadec Volcanic Regions,-15.62,-173.67,-33,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,1979,POINT (-173.67 -15.62)
13,13,243100,185.683,-18.023,Fonualei,Stratovolcano(es),Tonga,Tonga-Kermadec Volcanic Regions,-18.023,-174.317,188,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,1974,POINT (-174.317 -18.023)
14,200,242005,180.967,-31.08,Havre Seamount,Stratovolcano(es),New Zealand,Tonga-Kermadec Volcanic Regions,-31.08,-179.033,-897,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,unknown,True,2012,POINT (-179.033 -31.08)
