timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-01,,,,,,,,,
1970-01-02,,,,,,,,,
1970-01-03,,,,,,,,,
1970-01-04,1.0,5.54,12882495516931.322,12882495516931.322,0.0,,,472.0,
1970-01-05,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,
1970-01-06,,,,,,,,,
1970-01-07,,,,,,,,,
1970-01-08,,,,,,,,,
1970-01-09,,,,,,,,,
1970-01-10,3.0,7.2,4029076983087626.0,3981071705534985.5,0.0,,,601.6666666666666,6.478
1970-01-11,1.0,6.0,63095734448019.17,63095734448019.17,0.0,,,554.0,4.618
1970-01-12,,,,,,,,,
1970-01-13,,,,,,,,,
1970-01-14,,,,,,,,,
1970-01-15,,,,,,,,,
1970-01-16,,,,,,,,,
1970-01-17,,,,,,,,,
1970-01-18,,,,,,,,,
1970-01-19,,,,,,,,,
1970-01-20,1.0,6.4,251188643150959.25,251188643150959.25,0.0,,,630.0,6.419
1970-01-21,,,,,,,,,
1970-01-22,,,,,,,,,
1970-01-23,,,,,,,,,
1970-01-24,,,,,,,,,
1970-01-25,,,,,,,,,
1970-01-26,,,,,,,,,
1970-01-27,,,,,,,,,
1970-01-28,,,,,,,,,
1970-01-29,,,,,,,,,
1970-01-30,,,,,,,,,
1970-01-31,,,,,,,,,
1970-02-01,,,,,,,,,
1970-02-02,,,,,,,,,
1970-02-03,,,,,,,,,
1970-02-04,,,,,,,,,
1970-02-05,1.0,6.74,812830516164102.9,812830516164102.9,0.0,,,699.0,7.243
1970-02-06,1.0,5.98,58884365535558.836,58884365535558.836,0.0,,,550.0,6.018
1970-02-07,,,,,,,,,
1970-02-08,,,,,,,,,
1970-02-09,,,,,,,,,
1970-02-10,1.0,5.76,27542287033381.746,27542287033381.746,0.0,,,510.0,
1970-02-11,,,,,,,,,
1970-02-12,,,,,,,,,
1970-02-13,,,,,,,,,
1970-02-14,,,,,,,,,
1970-02-15,1.0,5.86,38904514499428.05,38904514499428.05,0.0,,,528.0,3.949
1970-02-16,,,,,,,,,
1970-02-17,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,4.516
1970-02-18,,,,,,,,,
1970-02-19,,,,,,,,,
1970-02-20,,,,,,,,,
1970-02-21,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,4.166
1970-02-22,,,,,,,,,
1970-02-23,,,,,,,,,
1970-02-24,,,,,,,,,
