timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-04,1.0,5.54,12882495516931.322,12882495516931.322,0.0,,,472.0,
1970-01-11,5.0,7.2,4105507931857278.0,3981071705534985.5,0.0,,,543.2222222222222,5.548
1970-01-18,0.0,,0.0,,0.0,,,,
1970-01-25,1.0,6.4,251188643150959.25,251188643150959.25,0.0,,,630.0,6.419
1970-02-01,0.0,,0.0,,0.0,,,,
1970-02-08,2.0,6.74,871714881699661.8,812830516164102.9,0.0,,,624.5,6.6305
1970-02-15,2.0,5.86,66446801532809.8,38904514499428.05,0.0,,,519.0,3.949
1970-02-22,2.0,5.58,26813728227856.215,14791083881682.133,0.0,,,474.0,4.341
1970-03-01,3.0,6.08,139144525814064.69,83176377110267.42,0.0,,,529.3333333333334,4.7095
1970-03-08,4.0,6.07,127191889378979.88,80352612218561.61,0.0,,,496.0,4.888
1970-03-15,2.0,5.93,77087306113860.6,49545019080478.85,0.0,,,525.5,6.081
1970-03-22,2.0,5.67,32628809754529.547,20183663636815.68,0.0,,,482.5,
1970-03-29,4.0,6.63,613561175558703.1,555904257270404.9,0.0,,,549.3333333333334,4.683
1970-04-05,2.0,6.83,1131562026648088.8,1109174815262405.4,0.0,,,609.0,5.391500000000001
1970-04-12,9.0,7.44,1.1144782573505704e+16,9120108393559116.0,0.0,,,598.0,5.784944444444444
1970-04-19,2.0,6.2,184776906714975.97,125892541179417.14,0.0,,,570.5,4.675
1970-04-26,1.0,5.51,11614486138403.46,11614486138403.46,0.0,,,467.0,
1970-05-03,2.0,5.89,60134344207393.96,43151907682776.5,0.0,,,510.0,5.26
1970-05-10,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1970-05-17,0.0,,0.0,,0.0,,,,
1970-05-24,0.0,,0.0,,0.0,,,,
1970-05-31,4.0,6.2,260024772793569.84,125892541179417.14,0.0,,,535.8333333333333,4.144
1970-06-07,0.0,,0.0,,0.0,,,,
1970-06-14,0.0,,0.0,,0.0,,,,
1970-06-21,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1970-06-28,2.0,6.6,518169670151890.94,501187233627273.5,0.0,,,578.0,6.092
1970-07-05,3.0,5.85,65786361496481.58,37583740428844.51,0.0,,,492.3333333333333,4.341
1970-07-12,2.0,5.81,62246161754547.766,32734069487883.863,0.0,,,516.5,4.1975
1970-07-19,0.0,,0.0,,0.0,,,,
1970-07-26,2.0,7.0,2121154856148292.0,1995262314968874.8,0.0,,,672.5,5.6370000000000005
1970-08-02,0.0,,0.0,,0.0,,,,
1970-08-09,2.0,5.99,77936126248634.66,60953689724017.19,0.0,,,519.0,
1970-08-16,0.0,,0.0,,0.0,,,,
1970-08-23,1.0,5.86,38904514499428.05,38904514499428.05,0.0,,,528.0,
1970-08-30,2.0,5.91,57458286682945.55,46238102139925.94,0.0,,,501.0,4.968
1970-09-06,0.0,,0.0,,0.0,,,,
1970-09-13,0.0,,0.0,,0.0,,,,
1970-09-20,3.0,6.39,282225940887797.25,242661009508241.44,0.0,,,529.25,4.514
1970-09-27,0.0,,0.0,,0.0,,,,
1970-10-04,2.0,5.98,86426652568940.58,58884365535558.836,0.0,,,530.0,5.832
1970-10-11,1.0,5.48,10471285480508.984,10471285480508.984,0.0,,,462.0,
1970-10-18,1.0,6.2,125892541179417.14,125892541179417.14,0.0,,,591.0,6.51
1970-10-25,0.0,,0.0,,0.0,,,,
1970-11-01,0.0,,0.0,,0.0,,,,
1970-11-08,4.0,6.7,835979171825303.2,707945784384140.2,0.0,,,536.5,5.517666666666667
1970-11-15,2.0,6.55,547589044607999.4,421696503428582.25,0.0,,,625.5,6.21
1970-11-22,4.0,5.81,79854377522223.5,32734069487883.863,0.0,,,488.6666666666667,4.4105
1970-11-29,3.0,5.7,63512842620534.125,22387211385683.47,0.0,,,497.0,6.034
1970-12-06,4.0,6.48,414804280726061.2,331131121482590.75,0.0,,,535.0,5.13
1970-12-13,2.0,6.66,635431492756379.1,616595001861481.0,0.0,,,586.5,4.085
1970-12-20,1.0,5.75,26607250597988.03,26607250597988.03,0.0,,,509.0,
1970-12-27,0.0,,0.0,,0.0,,,,
1971-01-03,1.0,5.21,4120975190973.304,4120975190973.304,0.0,,,418.0,
1971-01-10,2.0,5.83,50386062012077.195,35075187395256.938,0.0,,,502.0,4.4215
1971-01-17,0.0,,0.0,,0.0,,,,
1971-01-24,4.0,5.67,62523958829240.46,20183663636815.68,0.0,,,482.66666666666663,
1971-01-31,2.0,5.63,34561672664204.43,17579236139586.967,0.0,,,487.0,
1971-02-07,1.0,5.92,47863009232264.0,47863009232264.0,0.0,,,539.0,
1971-02-14,1.0,5.56,13803842646028.867,13803842646028.867,0.0,,,476.0,4.137
1971-02-21,1.0,5.8,31622776601683.793,31622776601683.793,0.0,,,518.0,
1971-02-28,3.0,5.77,59296461845685.305,28510182675038.98,0.0,,,487.5,6.297
1971-03-07,1.0,5.94,51286138399136.586,51286138399136.586,0.0,,,543.0,
1971-03-14,0.0,,0.0,,0.0,,,,
1971-03-21,3.0,6.08,120939276886670.08,83176377110267.42,0.0,,,517.3333333333334,
1971-03-28,2.0,5.73,36445817191359.14,24831331052955.68,0.0,,,486.0,
1971-04-04,4.0,6.07,139394677472504.56,80352612218561.61,0.0,,,512.8333333333334,5.620166666666667
1971-04-11,3.0,6.56,473978718324962.4,436515832240166.56,0.0,,,547.0,5.23
1971-04-18,0.0,,0.0,,0.0,,,,
1971-04-25,3.0,5.81,64255159831638.36,32734069487883.863,0.0,,,493.6666666666667,
1971-05-02,2.0,6.02,78828482082217.52,67608297539197.914,0.0,,,511.5,5.8004999999999995
1971-05-09,2.0,6.03,106292005077237.47,69984199600227.45,0.0,,,542.0,6.47
1971-05-16,2.0,5.9,71275609813084.56,44668359215096.53,0.0,,,522.5,3.973
1971-05-23,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1971-05-30,3.0,6.18,292262650729526.8,117489755493952.55,0.0,,,576.3333333333334,5.4750000000000005
1971-06-06,1.0,5.73,24831331052955.68,24831331052955.68,0.0,,,505.0,4.348
1971-06-13,2.0,6.02,90782244038882.72,67608297539197.914,0.0,,,530.0,3.898
1971-06-20,0.0,,0.0,,0.0,,,,
1971-06-27,1.0,5.63,17579236139586.967,17579236139586.967,0.0,,,488.0,
