Date,StartingEruptions_count,ActiveEruptions,ExplosivityIndexMax_max,DailyEruptedVolume_sum
1970-01-31,,3.0,,0.0
1970-02-28,1.0,3.4642857142857144,2.0,50000.0
1970-03-31,,4.0,,0.0
1970-04-30,1.0,4.333333333333333,2.0,5681.818181818182
1970-05-31,,4.838709677419355,,0.0
1970-06-30,1.0,4.866666666666666,1.0,1234.567901234568
1970-07-31,,5.0,,0.0
1970-08-31,,4.774193548387097,,0.0
1970-09-30,,4.0,,0.0
1970-10-31,,4.0,,0.0
1970-11-30,1.0,4.3,2.0,65454.545454545456
1970-12-31,,4.838709677419355,,0.0
1971-01-31,,4.0,,0.0
1971-02-28,,4.0,,0.0
1971-03-31,,3.5161290322580645,,0.0
1971-04-30,,3.0,,0.0
1971-05-31,1.0,3.7096774193548385,2.0,129585.79881656804
1971-06-30,,4.0,,0.0
1971-07-31,,4.0,,0.0
1971-08-31,1.0,4.032258064516129,1.0,100000.0
1971-09-30,,4.0,,0.0
1971-10-31,,3.838709677419355,,0.0
1971-11-30,,3.0,,0.0
1971-12-31,,3.0,,0.0
1972-01-31,1.0,3.5161290322580645,3.0,32425.421530479896
1972-02-29,,4.0,,0.0
1972-03-31,,4.0,,0.0
1972-04-30,,4.0,,0.0
1972-05-31,,4.0,,0.0
1972-06-30,,4.0,,0.0
1972-07-31,,4.0,,0.0
1972-08-31,,4.0,,0.0
1972-09-30,1.0,3.566666666666667,2.0,5000000.0
1972-10-31,,3.0,,0.0
1972-11-30,,3.0,,0.0
1972-12-31,,3.0,,0.0
1973-01-31,1.0,4.354838709677419,2.0,40880.20184599661
1973-02-28,,5.0,,0.0
1973-03-31,,5.0,,0.0
1973-04-30,,5.0,,0.0
1973-05-31,,4.870967741935484,,0.0
1973-06-30,,4.0,,0.0
1973-07-31,,4.0,,0.0
1973-08-31,,4.0,,0.0
1973-09-30,1.0,4.533333333333333,1.0,218.34061135371178
1973-10-31,,5.0,,0.0
1973-11-30,1.0,5.5,2.0,333333.3333333333
1973-12-31,,5.0,,0.0
1974-01-31,,5.0,,0.0
1974-02-28,,5.0,,0.0
1974-03-31,,5.0,,0.0
1974-04-30,,5.0,,0.0
1974-05-31,,5.0,,0.0
1974-06-30,1.0,5.033333333333333,1.0,100000.0
1974-07-31,,5.0,,0.0
1974-08-31,,5.0,,0.0
1974-09-30,,5.0,,0.0
1974-10-31,,5.0,,0.0
