Date,StartingEruptions_count,ActiveEruptions,ExplosivityIndexMax_max,DailyEruptedVolume_sum
1970-01-04,,3.0,,0.0
1970-01-11,,3.0,,0.0
1970-01-18,,3.0,,0.0
1970-01-25,,3.0,,0.0
1970-02-01,,3.0,,0.0
1970-02-08,,3.0,,0.0
1970-02-15,,3.0,,0.0
1970-02-22,1.0,4.0,2.0,50000.0
1970-03-01,,4.0,,0.0
1970-03-08,,4.0,,0.0
1970-03-15,,4.0,,0.0
1970-03-22,,4.0,,0.0
1970-03-29,,4.0,,0.0
1970-04-05,,4.0,,0.0
1970-04-12,,4.0,,0.0
1970-04-19,,4.0,,0.0
1970-04-26,1.0,4.857142857142857,2.0,5681.818181818182
1970-05-03,,5.0,,0.0
1970-05-10,,5.0,,0.0
1970-05-17,,5.0,,0.0
1970-05-24,,5.0,,0.0
1970-05-31,,4.285714285714286,,0.0
1970-06-07,1.0,4.428571428571429,1.0,1234.567901234568
1970-06-14,,5.0,,0.0
1970-06-21,,5.0,,0.0
1970-06-28,,5.0,,0.0
1970-07-05,,5.0,,0.0
1970-07-12,,5.0,,0.0
1970-07-19,,5.0,,0.0
1970-07-26,,5.0,,0.0
1970-08-02,,5.0,,0.0
1970-08-09,,5.0,,0.0
1970-08-16,,5.0,,0.0
1970-08-23,,5.0,,0.0
1970-08-30,,4.142857142857143,,0.0
1970-09-06,,4.0,,0.0
1970-09-13,,4.0,,0.0
1970-09-20,,4.0,,0.0
1970-09-27,,4.0,,0.0
1970-10-04,,4.0,,0.0
1970-10-11,,4.0,,0.0
1970-10-18,,4.0,,0.0
1970-10-25,,4.0,,0.0
1970-11-01,,4.0,,0.0
1970-11-08,,4.0,,0.0
1970-11-15,1.0,4.714285714285714,1.0,20000.0
1970-11-22,,4.0,,0.0
1970-11-29,1.0,4.428571428571429,2.0,45454.545454545456
1970-12-06,,5.0,,0.0
1970-12-13,,5.0,,0.0
1970-12-20,,5.0,,0.0
1970-12-27,,4.857142857142857,,0.0
1971-01-03,,4.0,,0.0
