datetime,Unnamed: 0,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate,EruptedVolume,DurationDays,DailyEruptedVolume,timeymd
19551013,348,282080,17088,Confirmed Eruption,3,Observations: Reported,1955,10,13,2016,8,22,1955-10-13,2016-08-22,50000000,22230,2249.212775528565,19551013
19561116,149,282030,16936,Confirmed Eruption,2,Observations: Reported,1956,11,16,1984,5,16,1956-11-16,1984-05-16,5000000,10044,497.8096375945838,19561116
19691127,1110,266100,16452,Confirmed Eruption,2,Observations: Reported,1969,11,27,1970,12,26,1969-11-27,1970-12-26,5000000,395,12658.227848101265,19691127
19700216,1077,266030,13598,Confirmed Eruption,2,Observations: Reported,1970,2,16,1970,5,26,1970-02-16,1970-05-26,5000000,100,50000.0,19700216
19700421,1140,282110,17335,Confirmed Eruption,2,Observations: Reported,1970,4,21,1972,9,16,1970-04-21,1972-09-16,5000000,880,5681.818181818182,19700421
19700605,470,272020,16733,Confirmed Eruption,1,Observations: Reported,1970,6,5,1970,8,24,1970-06-05,1970-08-24,100000,81,1234.567901234568,19700605
19701109,1007,273070,16858,Confirmed Eruption,1,Observations: Reported,1970,11,9,1970,11,13,1970-11-09,1970-11-13,100000,5,20000.0,19701109
19701127,989,267020,16526,Confirmed Eruption,2,Observations: Reported,1970,11,27,1971,3,16,1970-11-27,1971-03-16,5000000,110,45454.545454545456,19701127
19710511,1104,266100,16453,Confirmed Eruption,2,Observations: Reported,1971,5,11,1971,10,26,1971-05-11,1971-10-26,5000000,169,29585.798816568047,19710511
19710519,1074,266030,16426,Confirmed Eruption,1,Observations: Reported,1971,5,19,1971,5,19,1971-05-19,1971-05-19,100000,1,100000.0,19710519
19710805,1114,282090,17160,Confirmed Eruption,1,Observations: Reported,1971,8,5,1971,8,5,1971-08-05,1971-08-05,100000,1,100000.0,19710805
19720116,990,267020,16527,Confirmed Eruption,3,Observations: Reported,1972,1,16,1976,4,5,1972-01-16,1976-04-05,50000000,1542,32425.421530479896,19720116
19720902,330,282050,16975,Confirmed Eruption,2,Observations: Reported,1972,9,2,1972,9,2,1972-09-02,1972-09-02,5000000,1,5000000.0,19720902
19730106,1075,266030,16427,Confirmed Eruption,2,Observations: Reported,1973,1,6,1973,5,27,1973-01-06,1973-05-27,5000000,142,35211.2676056338,19730106
19730116,1141,282110,17336,Confirmed Eruption,2,Observations: Reported,1973,1,16,1975,6,16,1973-01-16,1975-06-16,5000000,882,5668.934240362812,19730116
19730915,1105,266100,16454,Confirmed Eruption,1,Observations: Reported,1973,9,15,1974,12,16,1973-09-15,1974-12-16,100000,458,218.34061135371178,19730915
