,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
140,282030,16945,Confirmed Eruption,2,Observations: Reported,2000,2,24,2000,2,24,2000-02-24,2000-02-24
141,282030,16946,Confirmed Eruption,3,Observations: Reported,2000,12,19,2004,7,5,2000-12-19,2004-07-05
142,282030,16947,Confirmed Eruption,2,Observations: Reported,2004,10,23,2024,12,19,2004-10-23,2024-12-19
143,282030,16939,Confirmed Eruption,2,Observations: Reported,1985,9,16,1987,6,16,1985-09-16,1987-06-16
144,282030,16940,Confirmed Eruption,2,Observations: Reported,1988,1,16,1989,12,16,1988-01-16,1989-12-16
145,282030,16941,Confirmed Eruption,2,Observations: Reported,1990,4,16,1996,7,14,1990-04-16,1996-07-14
146,282030,16942,Confirmed Eruption,1,Observations: Reported,1996,12,26,1997,4,17,1996-12-26,1997-04-17
147,282030,16943,Confirmed Eruption,1,Observations: Reported,1999,1,5,1999,2,24,1999-01-05,1999-02-24
148,282030,16944,Confirmed Eruption,1,Observations: Reported,1999,6,15,1999,6,30,1999-06-15,1999-06-30
149,282030,16936,Confirmed Eruption,2,Observations: Reported,1956,11,16,1984,5,16,1956-11-16,1984-05-16
150,282030,16938,Confirmed Eruption,2,Observations: Reported,1984,10,16,1984,10,16,1984-10-16,1984-10-16
190,274020,16878,Confirmed Eruption,2,Observations: Reported,1978,1,6,1978,1,9,1978-01-06,1978-01-09
329,282050,22296,Confirmed Eruption,3,Observations: Reported,2018,10,21,2019,2,3,2018-10-21,2019-02-03
330,282050,16975,Confirmed Eruption,2,Observations: Reported,1972,9,2,1972,9,2,1972-09-02,1972-09-02
331,282050,16976,Confirmed Eruption,2,Observations: Reported,1973,11,5,1973,11,19,1973-11-05,1973-11-19
332,282050,16977,Confirmed Eruption,1,Observations: Reported,1974,6,3,1974,6,3,1974-06-03,1974-06-03
333,282050,16978,Confirmed Eruption,2,Observations: Reported,1976,4,2,1976,4,2,1976-04-02,1976-04-02
334,282050,16979,Confirmed Eruption,2,Observations: Reported,1980,9,28,1980,9,28,1980-09-28,1980-09-28
335,282050,20952,Confirmed Eruption,1,Observations: Reported,2014,8,3,2014,8,3,2014-08-03,2014-08-03
336,282050,21073,Confirmed Eruption,3,Observations: Reported,2015,5,29,2015,6,19,2015-05-29,2015-06-19
337,282060,22339,Confirmed Eruption,2,Observations: Reported,2019,11,2,2019,11,2,2019-11-02,2019-11-02
338,282060,20781,Confirmed Eruption,1,Observations: Reported,2013,6,4,2013,6,4,2013-06-04,2013-06-04
339,282060,17001,Confirmed Eruption,2,Observations: Reported,2002,5,11,2002,7,16,2002-05-11,2002-07-16
340,282060,17002,Confirmed Eruption,2,Observations: Reported,2003,2,16,2003,10,16,2003-02-16,2003-10-16
341,282060,17003,Confirmed Eruption,2,Observations: Reported,2004,3,5,2004,10,16,2004-03-05,2004-10-16
342,282060,16996,Confirmed Eruption,1,Observations: Reported,1988,1,18,1988,1,18,1988-01-18,1988-01-18
343,282060,16997,Confirmed Eruption,1,Observations: Reported,1997,7,2,1997,7,2,1997-07-02,1997-07-02
344,282060,16998,Confirmed Eruption,2,Observations: Reported,1998,4,25,1999,8,16,1998-04-25,1999-08-16
345,282060,16999,Confirmed Eruption,2,Observations: Reported,2000,1,16,2000,3,16,2000-01-16,2000-03-16
346,282060,17000,Confirmed Eruption,1,Observations: Reported,2000,10,16,2001,12,16,2000-10-16,2001-12-16
347,282080,22203,Confirmed Eruption,2,Observations: Reported,2017,3,25,2024,12,19,2017-03-25,2024-12-19
348,282080,17088,Confirmed Eruption,3,Observations: Reported,1955,10,13,2016,8,22,1955-10-13,2016-08-22
454,272020,22249,Confirmed Eruption,2,Observations: Reported,2017,12,9,2017,12,9,2017-12-09,2017-12-09
455,272020,16638,Confirmed Eruption,2,Observations: Reported,2006,6,3,2006,7,25,2006-06-03,2006-07-25
456,272020,16749,Confirmed Eruption,2,Observations: Reported,2005,1,25,2005,5,25,2005-01-25,2005-05-25
457,272020,22106,Confirmed Eruption,2,Observations: Reported,2015,11,24,2016,6,18,2015-11-24,2016-06-18
458,272020,16743,Confirmed Eruption,1,Observations: Reported,1992,1,8,1992,1,8,1992-01-08,1992-01-08
459,272020,16744,Confirmed Eruption,2,Observations: Reported,1992,6,10,1992,6,10,1992-06-10,1992-06-10
460,272020,16745,Confirmed Eruption,2,Observations: Reported,1993,8,25,1993,9,3,1993-08-25,1993-09-03
461,272020,16746,Confirmed Eruption,2,Observations: Reported,1996,8,10,1996,8,10,1996-08-10,1996-08-10
462,272020,16747,Confirmed Eruption,1,Observations: Reported,2002,11,28,2002,11,28,2002-11-28,2002-11-28
463,272020,16748,Confirmed Eruption,1,Observations: Reported,2003,3,7,2003,7,23,2003-03-07,2003-07-23
464,272020,16737,Confirmed Eruption,1,Observations: Reported,1985,10,5,1985,12,7,1985-10-05,1985-12-07
465,272020,16738,Confirmed Eruption,2,Observations: Reported,1986,6,3,1986,8,18,1986-06-03,1986-08-18
466,272020,16739,Confirmed Eruption,1,Observations: Reported,1987,3,30,1987,7,2,1987-03-30,1987-07-02
467,272020,16740,Confirmed Eruption,1,Observations: Reported,1988,6,21,1988,7,2,1988-06-21,1988-07-02
468,272020,16741,Confirmed Eruption,2,Observations: Reported,1989,10,25,1989,12,13,1989-10-25,1989-12-13
469,272020,16742,Confirmed Eruption,2,Observations: Reported,1991,2,14,1991,2,14,1991-02-14,1991-02-14
470,272020,16733,Confirmed Eruption,1,Observations: Reported,1970,6,5,1970,8,24,1970-06-05,1970-08-24
471,272020,16734,Confirmed Eruption,2,Observations: Reported,1978,6,27,1978,9,2,1978-06-27,1978-09-02
472,272020,16735,Confirmed Eruption,2,Observations: Reported,1980,8,8,1980,8,8,1980-08-08,1980-08-08
473,272020,16736,Confirmed Eruption,1,Observations: Reported,1985,3,13,1985,3,14,1985-03-13,1985-03-14
598,268060,22295,Confirmed Eruption,1,Observations: Reported,2018,10,4,2018,10,6,2018-10-04,2018-10-06
599,268060,20765,Confirmed Eruption,2,Observations: Reported,2011,12,5,2011,12,23,2011-12-05,2011-12-23
600,268060,20766,Confirmed Eruption,1,Observations: Reported,2012,9,15,2012,9,17,2012-09-15,2012-09-17
601,268060,16675,Confirmed Eruption,2,Observations: Reported,2003,7,31,2003,10,2,2003-07-31,2003-10-02
602,268060,16676,Uncertain Eruption,1,unknown,2007,8,23,2007,8,23,2007-08-23,2007-08-23
603,268060,16677,Uncertain Eruption,1,unknown,2008,5,10,2008,5,10,2008-05-10,2008-05-10
604,268060,20989,Confirmed Eruption,2,Observations: Reported,2014,12,18,2014,12,25,2014-12-18,2014-12-25
605,268060,21087,Confirmed Eruption,2,Observations: Reported,2015,7,16,2015,9,8,2015-07-16,2015-09-08
606,268060,22150,Confirmed Eruption,1,Observations: Reported,2016,8,3,2016,8,4,2016-08-03,2016-08-04
607,268060,16669,Confirmed Eruption,2,Observations: Reported,1988,2,12,1988,3,16,1988-02-12,1988-03-16
608,268060,16670,Confirmed Eruption,3,Observations: Reported,1990,4,25,1990,4,26,1990-04-25,1990-04-26
609,268060,16671,Uncertain Eruption,1,unknown,1991,6,15,1991,6,15,1991-06-15,1991-06-15
610,268060,16672,Confirmed Eruption,2,Observations: Reported,1993,5,6,1993,5,21,1993-05-06,1993-05-21
611,268060,16673,Confirmed Eruption,2,Observations: Reported,1994,1,16,1994,10,15,1994-01-16,1994-10-15
612,268060,16674,Confirmed Eruption,2,Observations: Reported,1996,7,2,1996,7,2,1996-07-02,1996-07-02
613,268060,16667,Confirmed Eruption,2,Observations: Reported,1980,9,4,1980,9,23,1980-09-04,1980-09-23
614,268060,16668,Confirmed Eruption,3,Observations: Reported,1983,8,9,1983,8,12,1983-08-09,1983-08-12
615,268070,16689,Confirmed Eruption,3,Observations: Reported,1988,7,29,1988,8,5,1988-07-29,1988-08-05
688,273010,22229,Confirmed Eruption,1,Observations: Reported,2017,6,5,2017,6,5,2017-06-05,2017-06-05
689,273010,16770,Confirmed Eruption,2,Observations: Reported,2006,3,21,2006,6,28,2006-03-21,2006-06-28
690,273010,16771,Confirmed Eruption,2,Observations: Reported,2006,10,10,2007,10,4,2006-10-10,2007-10-04
691,273010,16772,Confirmed Eruption,2,Observations: Reported,2010,11,6,2011,5,13,2010-11-06,2011-05-13
692,273010,21072,Confirmed Eruption,2,Observations: Reported,2015,5,1,2015,7,17,2015-05-01,2015-07-17
693,273010,22114,Confirmed Eruption,2,Observations: Reported,2016,2,22,2016,2,22,2016-02-22,2016-02-22
694,273010,22151,Confirmed Eruption,2,Observations: Reported,2016,6,10,2016,12,29,2016-06-10,2016-12-29
695,273010,16764,Confirmed Eruption,2,Observations: Reported,1978,7,29,1978,8,14,1978-07-29,1978-08-14
696,273010,16765,Confirmed Eruption,3,Observations: Reported,1979,12,27,1980,9,28,1979-12-27,1980-09-28
697,273010,16766,Confirmed Eruption,3,Observations: Reported,1981,4,9,1981,4,27,1981-04-09,1981-04-27
698,273010,16767,Confirmed Eruption,2,Observations: Reported,1983,6,25,1983,6,29,1983-06-25,1983-06-29
699,273010,16768,Confirmed Eruption,2,Observations: Reported,1988,2,20,1988,3,8,1988-02-20,1988-03-08
700,273010,16769,Confirmed Eruption,2,Observations: Reported,1994,11,27,1995,1,28,1994-11-27,1995-01-28
701,273030,22250,Confirmed Eruption,2,Observations: Reported,2018,1,13,2019,10,12,2018-01-13,2019-10-12
702,273030,20798,Confirmed Eruption,2,Observations: Reported,2013,5,7,2013,5,7,2013-05-07,2013-05-07
703,273030,16816,Confirmed Eruption,1,Observations: Reported,2006,2,21,2006,2,23,2006-02-21,2006-02-23
704,273030,16817,Confirmed Eruption,1,Observations: Reported,2006,7,13,2006,10,1,2006-07-13,2006-10-01
705,273030,16818,Confirmed Eruption,1,Observations: Reported,2008,8,10,2008,8,10,2008-08-10,2008-08-10
706,273030,16819,Confirmed Eruption,2,Observations: Reported,2009,9,15,2010,1,1,2009-09-15,2010-01-01
707,273030,16810,Confirmed Eruption,3,Observations: Reported,2001,1,8,2001,8,8,2001-01-08,2001-08-08
708,273030,16811,Confirmed Eruption,1,Observations: Reported,2002,10,11,2002,10,11,2002-10-11,2002-10-11
709,273030,16812,Confirmed Eruption,2,Observations: Reported,2003,3,17,2003,5,14,2003-03-17,2003-05-14
710,273030,16814,Confirmed Eruption,1,Observations: Reported,2004,6,3,2004,9,12,2004-06-03,2004-09-12
711,273030,16805,Confirmed Eruption,2,Observations: Reported,1978,3,7,1978,9,16,1978-03-07,1978-09-16
712,273030,16806,Confirmed Eruption,3,Observations: Reported,1984,9,9,1984,10,6,1984-09-09,1984-10-06
713,273030,16807,Confirmed Eruption,2,Observations: Reported,1993,2,2,1993,4,4,1993-02-02,1993-04-04
714,273030,16808,Confirmed Eruption,3,Observations: Reported,1999,6,22,2000,3,19,1999-06-22,2000-03-19
715,273030,16809,Confirmed Eruption,2,Observations: Reported,2000,7,16,2000,8,31,2000-07-16,2000-08-31
