,Unnamed: 0,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry
0,36,266010,121.601,-0.162,Colo,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,-0.162,121.601,404,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite,True,1983,POINT (121.601 -0.162)
1,37,266020,124.42,0.75,Ambang,Complex,Indonesia,Western Pacific Volcanic Regions,0.75,124.42,1795,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2005,POINT (124.42 0.75)
2,38,266030,124.737,1.112,Soputan,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,1.112,124.737,1785,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2018,POINT (124.737 1.112)
3,39,266100,124.792,1.358,Lokon-Empung,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,1.358,124.792,1580,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2015,POINT (124.792 1.358)
4,40,267010,125.37,2.3,Ruang,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,2.3,125.37,725,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2002,POINT (125.37 2.3)
5,41,267020,125.407,2.781,Karangetang,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,2.781,125.407,1797,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2021,POINT (125.407 2.781)
6,42,267040,125.447,3.689,Awu,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,3.689,125.447,1318,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2004,POINT (125.447 3.689)
7,43,268030,127.63,1.488,Ibu,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,1.488,127.63,1325,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (127.63 1.488)
8,44,268040,127.53,1.38,Gamkonora,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,1.38,127.53,1635,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2013,POINT (127.53 1.38)
9,45,268060,127.3322,0.81,Gamalama,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,0.81,127.3322,1714,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2018,POINT (127.3322 0.81)
10,46,268070,127.4,0.32,Kie Besi,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,0.32,127.4,1357,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,1988,POINT (127.4 0.32)
11,47,272020,123.13,10.4096,Kanlaon,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,10.4096,123.13,2422,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2017,POINT (123.13 10.4096)
12,48,273010,124.056,12.769,Bulusan,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,12.769,124.056,1535,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2017,POINT (124.056 12.769)
13,49,273030,123.685,13.257,Mayon,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,13.257,123.685,2462,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (123.685 13.257)
14,50,273070,120.9975,14.0106,Taal,Caldera,Philippines,Western Pacific Volcanic Regions,14.0106,120.9975,311,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1977,POINT (120.9975 14.0106)
15,51,273083,120.35,15.13,Pinatubo,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,15.13,120.35,1486,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite,True,1993,POINT (120.35 15.13)
16,52,274020,122.202,19.077,Didicas,Compound,Philippines,Western Pacific Volcanic Regions,19.077,122.202,228,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,1978,POINT (122.202 19.077)
17,53,282030,129.714,29.638,Suwanosejima,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,29.638,129.714,796,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (129.714 29.638)
18,54,282050,130.217,30.443,Kuchinoerabujima,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,30.443,130.217,657,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (130.217 30.443)
19,55,282060,130.305,30.793,Kikai,Caldera,Japan,Western Pacific Volcanic Regions,30.793,130.305,704,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Rhyolite,True,2019,POINT (130.305 30.793)
20,56,282080,130.6589,31.5772,Aira,Caldera,Japan,Western Pacific Volcanic Regions,31.5772,130.6589,1117,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (130.6589 31.5772)
21,57,282090,130.862,31.934,Kirishimayama,Shield(s),Japan,Western Pacific Volcanic Regions,31.934,130.862,1700,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2018,POINT (130.862 31.934)
22,58,282100,130.299,32.761,Unzendake,Complex,Japan,Western Pacific Volcanic Regions,32.761,130.299,1483,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1996,POINT (130.299 32.761)
23,59,282110,131.085,32.8849,Asosan,Caldera,Japan,Western Pacific Volcanic Regions,32.8849,131.085,1592,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2020,POINT (131.085 32.8849)
24,60,282120,131.249,33.086,Kujusan,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,33.086,131.249,1791,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1996,POINT (131.249 33.086)
25,63,283040,137.48,35.893,Ontakesan,Complex,Japan,Western Pacific Volcanic Regions,35.893,137.48,3067,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (137.48 35.893)
26,64,283070,137.587,36.227,Yakedake,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,36.227,137.587,2455,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1995,POINT (137.587 36.227)
