,Unnamed: 0,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry,region_name
0,47,272020,123.13,10.4096,Kanlaon,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,10.4096,123.13,2422,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2017,POINT (123.13 10.4096),Cluster_0
1,48,273010,124.056,12.769,Bulusan,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,12.769,124.056,1535,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2017,POINT (124.056 12.769),Cluster_0
2,49,273030,123.685,13.257,Mayon,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,13.257,123.685,2462,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (123.685 13.257),Cluster_0
3,50,273070,120.9975,14.0106,Taal,Caldera,Philippines,Western Pacific Volcanic Regions,14.0106,120.9975,311,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1977,POINT (120.9975 14.0106),Cluster_0
4,51,273083,120.35,15.13,Pinatubo,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,15.13,120.35,1486,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite,True,1993,POINT (120.35 15.13),Cluster_0
5,52,274020,122.202,19.077,Didicas,Compound,Philippines,Western Pacific Volcanic Regions,19.077,122.202,228,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,1978,POINT (122.202 19.077),Cluster_0
6,53,282030,129.714,29.638,Suwanosejima,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,29.638,129.714,796,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (129.714 29.638),Cluster_0
7,54,282050,130.217,30.443,Kuchinoerabujima,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,30.443,130.217,657,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (130.217 30.443),Cluster_0
8,55,282060,130.305,30.793,Kikai,Caldera,Japan,Western Pacific Volcanic Regions,30.793,130.305,704,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Rhyolite,True,2019,POINT (130.305 30.793),Cluster_0
9,56,282080,130.6589,31.5772,Aira,Caldera,Japan,Western Pacific Volcanic Regions,31.5772,130.6589,1117,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (130.6589 31.5772),Cluster_0
10,57,282090,130.862,31.934,Kirishimayama,Shield(s),Japan,Western Pacific Volcanic Regions,31.934,130.862,1700,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2018,POINT (130.862 31.934),Cluster_0
11,58,282100,130.299,32.761,Unzendake,Complex,Japan,Western Pacific Volcanic Regions,32.761,130.299,1483,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1996,POINT (130.299 32.761),Cluster_0
12,59,282110,131.085,32.8849,Asosan,Caldera,Japan,Western Pacific Volcanic Regions,32.8849,131.085,1592,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2020,POINT (131.085 32.8849),Cluster_0
13,60,282120,131.249,33.086,Kujusan,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,33.086,131.249,1791,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1996,POINT (131.249 33.086),Cluster_0
14,61,283010,139.098,34.9,Izu-Tobu,Cone(s),Japan,Northwest Pacific Volcanic Regions,34.9,139.098,1406,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,1989,POINT (139.098 34.9),Cluster_0
15,62,283020,139.021,35.233,Hakoneyama,Complex,Japan,Northwest Pacific Volcanic Regions,35.233,139.021,1438,Subduction zone / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite,True,2015,POINT (139.021 35.233),Cluster_0
16,63,283040,137.48,35.893,Ontakesan,Complex,Japan,Western Pacific Volcanic Regions,35.893,137.48,3067,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (137.48 35.893),Cluster_0
17,64,283070,137.587,36.227,Yakedake,Stratovolcano(es),Japan,Western Pacific Volcanic Regions,36.227,137.587,2455,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1995,POINT (137.587 36.227),Cluster_0
18,65,283090,138.036,36.921,Niigata-Yakeyama,Lava dome(s),Japan,Northwest Pacific Volcanic Regions,36.921,138.036,2400,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1998,POINT (138.036 36.921),Cluster_0
19,66,283110,138.523,36.406,Asamayama,Complex,Japan,Northwest Pacific Volcanic Regions,36.406,138.523,2568,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (138.523 36.406),Cluster_0
20,67,283120,138.528,36.618,Kusatsu-Shiranesan,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,36.618,138.528,2165,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2018,POINT (138.528 36.618),Cluster_0
21,68,283170,140.281,37.647,Adatarayama,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,37.647,140.281,1728,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1996,POINT (140.281 37.647),Cluster_0
22,69,283180,140.244,37.735,Azumayama,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,37.735,140.244,1949,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1977,POINT (140.244 37.735),Cluster_0
23,73,284010,139.394,34.724,Izu-Oshima,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,34.724,139.394,746,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,True,1990,POINT (139.394 34.724),Cluster_0
24,74,284040,139.526,34.094,Miyakejima,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,34.094,139.526,775,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,True,2010,POINT (139.526 34.094),Cluster_0
25,75,284070,139.918,31.888,Myojinsho,Caldera,Japan,Northwest Pacific Volcanic Regions,31.888,139.918,11,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,True,1970,POINT (139.918 31.888),Cluster_0
26,76,284096,140.874,27.247,Nishinoshima,Caldera,Japan,Northwest Pacific Volcanic Regions,27.247,140.874,100,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,2020,POINT (140.874 27.247),Cluster_0
27,77,284090,140.303,30.484,Izu-Torishima,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,30.484,140.303,394,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,True,2013,POINT (140.303 30.484),Cluster_0
28,78,284100,141.0955,26.1217,Kaitoku Seamount,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,26.1217,141.0955,-95,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,True,1984,POINT (141.0955 26.1217),Cluster_0
29,79,284121,141.417,24.417,Kita-Fukutokutai,Stratovolcano(es),Japan,Northwest Pacific Volcanic Regions,24.417,141.417,-73,Subduction zone / Crustal thickness unknown,Eruption Observed,unknown,True,1988,POINT (141.417 24.417),Cluster_0
30,80,284120,141.289,24.751,Ioto,Caldera,Japan,Northwest Pacific Volcanic Regions,24.751,141.289,169,Subduction zone / Crustal thickness unknown,Eruption Observed,Trachyandesite / Basaltic Trachyandesite,True,2018,POINT (141.289 24.751),Cluster_0
31,81,284133,143.47,21.93,Fukujin,Stratovolcano(es),United States,Northwest Pacific Volcanic Regions,21.93,143.47,-217,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,1974,POINT (143.47 21.93),Cluster_0
32,82,284130,141.481,24.285,Fukutoku-Oka-no-Ba,Cone(s),Japan,Northwest Pacific Volcanic Regions,24.285,141.481,-29,Subduction zone / Crustal thickness unknown,Eruption Observed,Trachyandesite / Basaltic Trachyandesite,True,2010,POINT (141.481 24.285),Cluster_0
33,83,284141,145.03,20.42,Ahyi,Stratovolcano(es),United States,Northwest Pacific Volcanic Regions,20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,True,2014,POINT (145.03 20.42),Cluster_0
34,84,284170,145.8,18.13,Pagan,Stratovolcano(es),United States,Northwest Pacific Volcanic Regions,18.13,145.8,570,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,True,2012,POINT (145.8 18.13),Cluster_0
35,85,284202,145.572,15.605,Ruby,Stratovolcano(es),United States,Northwest Pacific Volcanic Regions,15.605,145.572,-174,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt,True,1995,POINT (145.572 15.605),Cluster_0
36,86,284200,145.67,16.35,Anatahan,Stratovolcano(es),United States,Northwest Pacific Volcanic Regions,16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,2008,POINT (145.67 16.35),Cluster_0
37,199,284193,145.78,16.58,South Sarigan Seamount,Stratovolcano(es),United States,Northwest Pacific Volcanic Regions,16.58,145.78,-184,Subduction zone / Crustal thickness unknown,Eruption Observed,unknown,True,2010,POINT (145.78 16.58),Cluster_0
