,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry,region_name
176,354006,288.14300000000003,-15.787,Sabancaya,Stratovolcano(es),Peru,South America Volcanic Regions,-15.787,-71.857,5960,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-71.857 -15.787),Cluster_1
177,354010,288.591,-16.294,"Misti, El",Stratovolcano(es),Peru,South America Volcanic Regions,-16.294,-71.409,5822,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1985,POINT (-71.409 -16.294),Cluster_1
178,354020,289.1028,-16.345,Ubinas,Stratovolcano(es),Peru,South America Volcanic Regions,-16.345,-70.8972,5608,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-70.8972 -16.345),Cluster_1
179,355040,291.45,-20.73,Irruputuncu,Stratovolcano(es),Chile-Bolivia,South America Volcanic Regions,-20.73,-68.55,5163,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1995,POINT (-68.55 -20.73),Cluster_1
180,355107,291.946,-24.188,Pular,Stratovolcano(es),Chile,South America Volcanic Regions,-24.188,-68.054,6233,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Andesite / Basaltic Andesite,True,1990,POINT (-68.054 -24.188),Cluster_1
181,355100,292.27,-23.37,Lascar,Stratovolcano(es),Chile,South America Volcanic Regions,-23.37,-67.73,5592,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2017,POINT (-67.73 -23.37),Cluster_1
182,355130,291.459,-27.109,"Ojos del Salado, Nevados",Stratovolcano(es),Chile-Argentina,South America Volcanic Regions,-27.109,-68.541,6879,Subduction zone / Continental crust (> 25 km),Eruption Dated,Dacite,True,1993,POINT (-68.541 -27.109),Cluster_1
183,355160,292.217,-24.29,Aracar,Stratovolcano(es),Argentina,South America Volcanic Regions,-24.29,-67.783,6095,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite,True,1993,POINT (-67.783 -24.29),Cluster_1
184,357010,290.203,-33.425,Tupungatito,Stratovolcano(es),Chile-Argentina,South America Volcanic Regions,-33.425,-69.797,5660,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1987,POINT (-69.797 -33.425),Cluster_1
185,357030,289.648,-34.814,Tinguiririca,Stratovolcano(es),Chile,South America Volcanic Regions,-34.814,-70.352,4280,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1994,POINT (-70.352 -34.814),Cluster_1
