timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-04,1.0,5.61,16405897731995.387,16405897731995.387,0.0,,,484.0,
1970-01-11,1.0,6.79,966050878989812.1,966050878989812.1,0.0,,,709.0,
1970-01-18,0.0,,0.0,,0.0,,,,
1970-01-25,1.0,6.77,901571137605953.4,901571137605953.4,0.0,,,705.0,
1970-02-01,4.0,6.53,564536063089144.8,393550075455778.06,0.0,,,568.75,3.894
1970-02-08,0.0,,0.0,,0.0,,,,
1970-02-15,0.0,,0.0,,0.0,,,,
1970-02-22,5.0,6.05,140053086073649.22,74989420933245.58,0.0,,,492.375,
1970-03-01,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,
1970-03-08,1.0,5.6,15848931924611.174,15848931924611.174,0.0,,,482.0,
1970-03-15,2.0,6.6,514522447948906.75,501187233627273.5,0.0,,,572.0,5.2
1970-03-22,1.0,5.83,35075187395256.938,35075187395256.938,0.0,,,523.0,
1970-03-29,1.0,6.58,467735141287200.0,467735141287200.0,0.0,,,666.0,4.031
1970-04-05,2.0,5.96,96641025732796.12,54954087385762.484,0.0,,,539.0,
1970-04-12,3.0,5.91,101496953171998.56,46238102139925.94,0.0,,,518.3333333333334,
1970-04-19,1.0,5.77,28510182675038.98,28510182675038.98,0.0,,,512.0,
1970-04-26,2.0,6.62,549914291887184.56,537031796370253.25,0.0,,,573.0,
1970-05-03,0.0,,0.0,,0.0,,,,
1970-05-10,0.0,,0.0,,0.0,,,,
1970-05-17,0.0,,0.0,,0.0,,,,
1970-05-24,0.0,,0.0,,0.0,,,,
1970-05-31,3.0,6.26,241129100544776.38,154881661891248.6,0.0,,,529.0,
1970-06-07,0.0,,0.0,,0.0,,,,
1970-06-14,1.0,5.91,46238102139925.94,46238102139925.94,0.0,,,537.0,
1970-06-21,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-06-28,1.0,6.39,242661009508241.44,242661009508241.44,0.0,,,628.0,
1970-07-05,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,
1970-07-12,1.0,5.51,11614486138403.46,11614486138403.46,0.0,,,467.0,
1970-07-19,2.0,6.27,240677151287565.12,160324539069003.53,0.0,,,586.0,
1970-07-26,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1970-08-02,1.0,6.32,190546071796324.44,190546071796324.44,0.0,,,614.0,5.446
1970-08-09,2.0,6.11,117088473768431.97,92257142715476.28,0.0,,,539.5,
1970-08-16,4.0,6.9,2065378339855731.2,1412537544622761.2,0.0,,,653.6666666666666,5.013999999999999
1970-08-23,1.0,5.75,26607250597988.03,26607250597988.03,0.0,,,509.0,5.509
1970-08-30,2.0,6.01,106999993611781.06,65313055264747.43,0.0,,,544.0,
1970-09-06,1.0,6.08,83176377110267.42,83176377110267.42,0.0,,,569.0,4.973
1970-09-13,0.0,,0.0,,0.0,,,,
1970-09-20,0.0,,0.0,,0.0,,,,
1970-09-27,0.0,,0.0,,0.0,,,,
1970-10-04,2.0,6.27,177306975593621.0,160324539069003.53,0.0,,,545.5,
1970-10-11,3.0,6.5,665316057051924.2,354813389233574.56,0.0,,,615.75,
1970-10-18,1.0,5.56,13803842646028.867,13803842646028.867,0.0,,,476.0,
1970-10-25,1.0,5.51,11614486138403.46,11614486138403.46,0.0,,,467.0,
1970-11-01,0.0,,0.0,,0.0,,,,
1970-11-08,0.0,,0.0,,0.0,,,,
1970-11-15,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-11-22,1.0,5.71,23173946499684.797,23173946499684.797,0.0,,,502.0,
1970-11-29,0.0,,0.0,,0.0,,,,
1970-12-06,3.0,6.96,1879542301853404.5,1737800828749376.2,0.0,,,640.75,
1970-12-13,1.0,5.63,17579236139586.967,17579236139586.967,0.0,,,488.0,
1970-12-20,1.0,5.8,31622776601683.793,31622776601683.793,0.0,,,518.0,3.749
1970-12-27,0.0,,0.0,,0.0,,,,
1971-01-03,1.0,6.71,732824533138904.5,732824533138904.5,0.0,,,693.0,6.372
1971-01-10,0.0,,0.0,,0.0,,,,
1971-01-17,0.0,,0.0,,0.0,,,,
1971-01-24,0.0,,0.0,,0.0,,,,
1971-01-31,0.0,,0.0,,0.0,,,,
1971-02-07,1.0,5.58,14791083881682.133,14791083881682.133,0.0,,,479.0,
1971-02-14,0.0,,0.0,,0.0,,,,
1971-02-21,1.0,6.55,421696503428582.25,421696503428582.25,0.0,,,660.0,
1971-02-28,2.0,6.05,91971857457863.03,74989420933245.58,0.0,,,524.5,4.444
1971-03-07,0.0,,0.0,,0.0,,,,
