datetime,Unnamed: 0,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate,EruptedVolume,DurationDays,DailyEruptedVolume,timeymd
19670716,29,257040,15274,Confirmed Eruption,2,Observations: Reported,1967,7,16,1970,8,29,1967-07-16,1970-08-29,5000000,1141,4382.120946538124,19670716
19700509,47,257050,15308,Confirmed Eruption,2,Observations: Reported,1970,5,9,1972,8,7,1970-05-09,1972-08-07,5000000,822,6082.725060827251,19700509
19700630,321,241040,14483,Confirmed Eruption,2,Observations: Reported,1970,6,30,1970,6,30,1970-06-30,1970-06-30,5000000,1,5000000.0,19700630
19700916,961,241100,14637,Confirmed Eruption,1,Observations: Reported,1970,9,16,1970,9,17,1970-09-16,1970-09-17,100000,2,50000.0,19700916
19710203,30,257040,15275,Confirmed Eruption,2,Observations: Reported,1971,2,3,1971,11,5,1971-02-03,1971-11-05,5000000,276,18115.942028985508,19710203
19710222,52,257070,15344,Confirmed Eruption,2,Observations: Reported,1971,2,22,1971,2,22,1971-02-22,1971-02-22,5000000,1,5000000.0,19710222
19710403,962,241100,14638,Confirmed Eruption,2,Observations: Reported,1971,4,3,1971,11,1,1971-04-03,1971-11-01,5000000,213,23474.17840375587,19710403
19710409,322,241040,14484,Confirmed Eruption,2,Observations: Reported,1971,4,9,1971,4,9,1971-04-09,1971-04-09,5000000,1,5000000.0,19710409
19710512,7,257020,15224,Confirmed Eruption,2,Observations: Reported,1971,5,12,1971,5,13,1971-05-12,1971-05-13,5000000,2,2500000.0,19710512
19710719,323,241040,14485,Confirmed Eruption,2,Observations: Reported,1971,7,19,1971,7,20,1971-07-19,1971-07-20,5000000,2,2500000.0,19710719
19720319,929,241080,14601,Confirmed Eruption,2,Observations: Reported,1972,3,19,1972,6,6,1972-03-19,1972-06-06,5000000,80,62500.0,19720319
19720415,31,257040,15276,Confirmed Eruption,3,Observations: Reported,1972,4,15,1972,8,15,1972-04-15,1972-08-15,50000000,123,406504.0650406504,19720415
19721022,963,241100,14639,Confirmed Eruption,1,Observations: Reported,1972,10,22,1973,1,10,1972-10-22,1973-01-10,100000,81,1234.567901234568,19721022
