timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-31,4.0,5.77,69013369854213.93,28510182675038.98,0.0,,,482.75,6.276
1970-02-28,3.0,6.4,298983081733179.75,251188643150959.25,0.0,,,523.6666666666666,5.874
1970-03-31,2.0,5.65,23568003484512.89,18836490894898.098,0.0,,,457.5,4.285
1970-04-30,10.0,7.3,6814221974284674.0,5623413251903491.0,0.0,,,507.1666666666667,5.20825
1970-05-31,8.0,7.9,4.488027610373796e+16,4.466835921509653e+16,0.0,,,510.0555555555556,5.886666666666667
1970-06-30,17.0,6.4,602232794465645.6,251188643150959.25,0.0,,,478.9444444444444,4.468466666666666
1970-07-31,4.0,8.0,6.31674695975759e+16,6.309573444801891e+16,0.0,,,593.25,4.199
1970-08-31,4.0,6.52,472189640295064.1,380189396320559.7,0.0,,,540.6666666666666,4.7035
1970-09-30,4.0,6.56,850063238647843.8,436515832240166.56,0.0,,,552.0,6.77675
1970-10-31,3.0,5.14,9070790597298.613,3235936569296.2812,0.0,,,403.3333333333333,
1970-11-30,1.0,5.75,26607250597988.03,26607250597988.03,0.0,,,509.0,
1970-12-31,24.0,7.2,4302126088868958.5,3981071705534985.5,0.0,,,467.6354166666667,5.676071428571428
1971-01-31,6.0,6.0,117837284400823.39,63095734448019.17,0.0,,,465.1666666666667,5.4965
1971-02-28,4.0,5.53,30274501727585.56,12445146117713.87,0.0,,,437.25,
1971-03-31,3.0,5.52,26763209851701.504,12022644346174.082,0.0,,,447.0,4.094
1971-04-30,1.0,5.18,3715352290971.7124,3715352290971.7124,0.0,,,413.0,
1971-05-31,5.0,6.7,732653381334044.6,707945784384140.2,0.0,,,479.4,4.4235
1971-06-30,3.0,5.8,58032659670664.875,31622776601683.793,0.0,,,475.3333333333333,5.515000000000001
1971-07-31,3.0,7.42,8522387733946377.0,8511380382023794.0,0.0,,,568.3333333333334,6.805
1971-08-31,3.0,6.05,106666578613980.62,74989420933245.58,0.0,,,499.6666666666667,
1971-09-30,6.0,5.87,76542855871271.95,40271703432545.945,0.0,,,437.0833333333333,
1971-10-31,4.0,5.7,40555997410395.06,22387211385683.47,0.0,,,450.5,5.859
1971-11-30,0.0,,0.0,,0.0,,,,
1971-12-31,0.0,,0.0,,0.0,,,,
1972-01-31,4.0,6.4,396629338455290.94,251188643150959.25,0.0,,,557.25,4.7615
1972-02-29,2.0,5.79,33675290499279.055,30549211132155.094,0.0,,,460.5,4.835
1972-03-31,5.0,6.4,285502145515663.25,251188643150959.25,0.0,,,460.7777777777778,6.342
1972-04-30,0.0,,0.0,,0.0,,,,
1972-05-31,1.0,5.16,3467368504525.3096,3467368504525.3096,0.0,,,410.0,
1972-06-30,2.0,5.77,33407970868723.457,28510182675038.98,0.0,,,469.0,
1972-07-31,1.0,5.63,17579236139586.967,17579236139586.967,0.0,,,488.0,5.021
1972-08-31,1.0,5.87,40271703432545.945,40271703432545.945,0.0,,,530.0,
1972-09-30,3.0,5.97,97762794439399.0,56885293084384.016,0.0,,,510.6666666666667,4.627000000000001
1972-10-31,1.0,6.67,638263486190550.9,638263486190550.9,0.0,,,684.0,
1972-11-30,6.0,6.56,501554227636491.75,436515832240166.56,0.0,,,487.8,4.698
1972-12-31,3.0,6.31,192158367128088.9,184077200146895.8,0.0,,,481.6666666666667,8.385
1973-01-31,7.0,7.5,1.1326546149967872e+16,1.122018454301956e+16,0.0,,,515.1,7.641
1973-02-28,9.0,5.7,62268211395807.695,22387211385683.47,0.0,,,422.64285714285717,4.5265
1973-03-31,2.0,5.5,13215446857988.482,11220184543019.607,0.0,,,425.0,
1973-04-30,10.0,6.5,886403033799935.9,354813389233574.56,0.0,,,491.7142857142857,4.957
1973-05-31,4.0,5.7,36306827753430.18,22387211385683.47,0.0,,,437.5,
1973-06-30,7.0,5.7,51667029679934.94,22387211385683.47,0.0,,,420.6,4.2620000000000005
1973-07-31,8.0,5.7,86612918183827.39,22387211385683.47,0.0,,,455.2857142857143,4.2835
1973-08-31,6.0,6.8,1037962521910424.1,1000000000000000.0,0.0,,,480.5,4.851
1973-09-30,7.0,5.8,77738770654577.95,31622776601683.793,0.0,,,443.0,
1973-10-31,9.0,6.0,91931994855362.81,63095734448019.17,0.0,,,412.8888888888889,5.303
1973-11-30,8.0,5.6,37895190619558.12,15848931924611.174,0.0,,,407.5,5.176
1973-12-31,2.0,5.3,8441796183167.952,5623413251903.491,0.0,,,416.0,
1974-01-31,4.0,6.1,99082499539413.61,89125093813374.77,0.0,,,457.6666666666667,5.579
1974-02-28,4.0,6.2,135510378747481.05,125892541179417.14,0.0,,,434.5,5.941
1974-03-31,4.0,5.8,52285353772528.305,31622776601683.793,0.0,,,446.25,4.039000000000001
1974-04-30,4.0,5.4,18380340845379.68,7943282347242.8545,0.0,,,416.5,3.8
1974-05-31,4.0,5.6,27448679197018.523,15848931924611.174,0.0,,,428.75,4.254
1974-06-30,8.0,5.9,100141015660327.44,44668359215096.53,0.0,,,440.6666666666667,4.904
1974-07-31,21.0,7.3,5780674927360542.0,5623413251903491.0,0.0,,,431.32954545454544,6.125555555555555
1974-08-31,6.0,5.9,72130391022740.5,44668359215096.53,0.0,,,436.5,4.521
1974-09-30,5.0,5.8,45551845893833.266,31622776601683.793,0.0,,,424.4,7.5
1974-10-31,6.0,5.7,43234686421169.75,22387211385683.47,0.0,,,422.5,4.946000000000001
1974-11-30,4.0,5.2,9966858650441.61,3981071705534.9854,0.0,,,392.75,
1974-12-31,10.0,6.1,222914702724773.7,89125093813374.77,0.0,,,458.72222222222223,4.6645
1975-01-31,6.0,6.5,372723530231259.06,354813389233574.56,0.0,,,430.5,6.234
1975-02-28,4.0,5.8,45542392969430.51,31622776601683.793,0.0,,,442.0,4.742
1975-03-31,8.0,6.2,187001774005494.5,125892541179417.14,0.0,,,456.72222222222223,4.507833333333333
1975-04-30,9.0,6.2,248612584697351.6,125892541179417.14,0.0,,,437.7142857142857,5.7772499999999996
1975-05-31,3.0,5.2,7971596335472.734,3981071705534.9854,0.0,,,395.3333333333333,
1975-06-30,7.0,5.6,37066516765082.43,15848931924611.174,0.0,,,418.7142857142857,
1975-07-31,4.0,5.3,13595009587376.227,5623413251903.491,0.0,,,404.5,
1975-08-31,8.0,5.8,74404452211542.94,31622776601683.793,0.0,,,428.64285714285717,4.44
1975-09-30,8.0,5.8,76724321306882.3,31622776601683.793,0.0,,,433.625,
1975-10-31,5.0,5.8,48026716195921.71,31622776601683.793,0.0,,,426.75,
1975-11-30,7.0,5.9,93861708656489.84,44668359215096.53,0.0,,,452.7,5.1267499999999995
1975-12-31,5.0,5.3,15590271902345.102,5623413251903.491,0.0,,,400.625,
1976-01-31,5.0,5.3,16073824360665.75,5623413251903.491,0.0,,,403.4,
1976-02-29,14.0,7.5,1.1356293093854018e+16,1.122018454301956e+16,0.0,,,465.2037037037037,5.888714285714286
1976-03-31,15.0,6.5,401907202954001.3,354813389233574.56,0.0,,,429.8888888888889,5.184666666666667
1976-04-30,7.0,6.7,729502937382586.5,707945784384140.2,0.0,,,448.7142857142857,7.477
1976-05-31,8.0,5.9,134230935434115.94,44668359215096.53,0.0,,,454.85714285714283,4.043666666666667
1976-06-30,2.0,6.4,253183905465928.12,251188643150959.25,0.0,,,507.5,5.994
1976-07-31,23.0,7.0,2831001063076545.5,1995262314968874.8,0.0,,,429.6515151515152,5.651666666666666
1976-08-31,7.0,5.6,34601054602418.34,15848931924611.174,0.0,,,414.2857142857143,4.207
1976-09-30,6.0,5.6,34248133833817.973,15848931924611.174,0.0,,,418.5,4.612
1976-10-31,12.0,5.7,64315037027849.17,22387211385683.47,0.0,,,416.3888888888889,7.095
1976-11-30,6.0,5.7,48025526132374.89,22387211385683.47,0.0,,,437.9,4.861
1976-12-31,6.0,5.5,27633577061660.297,11220184543019.607,0.0,,,411.6,4.4704999999999995
1977-01-31,3.0,5.2,8794716951768.321,3981071705534.9854,0.0,,,400.3333333333333,
1977-02-28,3.0,5.3,11599747272407.352,5623413251903.491,0.0,,,411.0,
1977-03-31,6.0,5.5,24005426124725.68,11220184543019.607,0.0,,,406.0,
1977-04-30,3.0,5.3,11599747272407.352,5623413251903.491,0.0,,,411.0,
1977-05-31,8.0,5.7,48871452283698.67,22387211385683.47,0.0,,,408.75,
1977-06-30,2.0,5.1,4813645246233.336,2818382931264.461,0.0,,,392.5,
1977-07-31,2.0,5.5,14038567474284.068,11220184543019.607,0.0,,,432.5,
1977-08-31,9.0,6.4,363336305532535.0,251188643150959.25,0.0,,,463.7777777777778,5.575166666666667
1977-09-30,6.0,5.7,55459303834605.484,22387211385683.47,0.0,,,441.1666666666667,4.0344999999999995
1977-10-31,6.0,5.5,33247537389161.023,11220184543019.607,0.0,,,429.0,
1977-11-30,4.0,5.5,21657243041156.434,11220184543019.607,0.0,,,420.5,4.66
1977-12-31,1.0,5.6,15848931924611.174,15848931924611.174,0.0,,,482.0,6.317
1978-01-31,9.0,5.4,26374742715880.61,7943282347242.8545,0.0,,,397.1111111111111,6.5
1978-02-28,7.0,5.7,51667029679934.94,22387211385683.47,0.0,,,424.5,4.716
1978-03-31,5.0,6.4,265606773354631.06,251188643150959.25,0.0,,,452.6,6.391500000000001
1978-04-30,8.0,6.1,113161061585110.48,89125093813374.77,0.0,,,427.625,3.852
1978-05-31,8.0,5.6,47458072238604.766,15848931924611.174,0.0,,,417.85714285714283,4.7485
1978-06-30,2.0,5.7,24382473700652.344,22387211385683.47,0.0,,,442.5,
1978-07-31,8.0,5.6,37895190619558.12,15848931924611.174,0.0,,,410.75,4.1595
1978-08-31,6.0,7.0,2021234689420339.2,1995262314968874.8,0.0,,,447.3,5.609500000000001
1978-09-30,3.0,5.6,31050188173165.766,15848931924611.174,0.0,,,454.3333333333333,4.107
1978-10-31,9.0,5.3,29189181175943.992,5623413251903.491,0.0,,,401.5,5.4
1978-11-30,10.0,7.7,2.2431658208374724e+16,2.2387211385683468e+16,0.0,,,421.2083333333333,6.5634999999999994
1978-12-31,10.0,5.9,116512741580112.83,44668359215096.53,0.0,,,440.25,4.017
1979-01-31,13.0,6.6,591566690391466.1,501187233627273.5,0.0,,,433.3958333333333,4.922750000000001
1979-02-28,4.0,5.3,14418130203671.812,5623413251903.491,0.0,,,410.8333333333333,
1979-03-31,11.0,7.6,1.5903529019644618e+16,1.5848931924611238e+16,0.0,,,433.9583333333333,5.66675
1979-04-30,4.0,5.0,7981049259875.499,1995262314968.8748,0.0,,,385.0,
1979-05-31,5.0,5.7,55783910614975.97,22387211385683.47,0.0,,,453.375,5.890499999999999
1979-06-30,7.0,6.3,298144416079121.6,177827941003892.28,0.0,,,465.9166666666667,4.7805
1979-07-31,10.0,6.5,402742769794440.3,354813389233574.56,0.0,,,453.11904761904765,6.502
1979-08-31,2.0,6.4,255169714856494.25,251188643150959.25,0.0,,,523.0,6.219
1979-09-30,3.0,5.0,5985786944906.624,1995262314968.8748,0.0,,,385.0,
1979-10-31,10.0,6.8,1534308083797915.2,1000000000000000.0,0.0,,,445.0625,5.18375
1979-11-30,6.0,6.4,261988075342099.22,251188643150959.25,0.0,,,428.3333333333333,5.272
1979-12-31,26.0,7.7,2.2536067036784844e+16,2.2387211385683468e+16,0.0,,,413.13796296296294,4.797499999999999
1980-01-31,11.0,5.3,42901469842415.07,5623413251903.491,0.0,,,412.25,
1980-02-29,4.0,5.6,35039040775661.01,15848931924611.174,0.0,,,451.5,3.721
1980-03-31,7.0,5.2,18422007444234.992,3981071705534.9854,0.0,,,397.6666666666667,6.2
1980-04-30,2.0,5.1,4813645246233.336,2818382931264.461,0.0,,,392.5,
1980-05-31,8.0,5.3,24864641626211.402,5623413251903.491,0.0,,,400.5,3.7065
1980-06-30,4.0,5.7,28372998330590.094,22387211385683.47,0.0,,,423.3333333333333,3.582
1980-07-31,4.0,5.9,67812897810893.98,44668359215096.53,0.0,,,475.1666666666667,3.907
1980-08-31,11.0,6.4,293421725930875.4,251188643150959.25,0.0,,,431.45,4.943333333333333
1980-09-30,4.0,5.8,42059835099820.625,31622776601683.793,0.0,,,442.1666666666667,4.967
1980-10-31,5.0,6.4,269217735255181.06,251188643150959.25,0.0,,,453.0,6.571
1980-11-30,7.0,6.1,107044687735462.0,89125093813374.77,0.0,,,420.85714285714283,4.0
1980-12-31,3.0,5.2,9617837568063.906,3981071705534.9854,0.0,,,405.3333333333333,
1981-01-31,7.0,5.7,74222263969577.0,22387211385683.47,0.0,,,445.5,4.054333333333333
1981-02-28,3.0,6.0,67086259077956.92,63095734448019.17,0.0,,,469.5,4.316
1981-03-31,5.0,6.4,281547450872115.44,251188643150959.25,0.0,,,448.25,4.793
1981-04-30,6.0,5.1,15264056354995.594,2818382931264.461,0.0,,,395.0,
1981-05-31,7.0,6.4,270420418600864.4,251188643150959.25,0.0,,,424.9,5.8195
1981-06-30,8.0,6.0,87611354991852.88,63095734448019.17,0.0,,,425.375,3.6
1981-07-31,4.0,5.4,17561119915306.762,7943282347242.8545,0.0,,,419.0,
1981-08-31,6.0,5.6,32605792287449.465,15848931924611.174,0.0,,,421.4,
1981-09-30,3.0,5.4,13580048209771.777,7943282347242.8545,0.0,,,416.3333333333333,
1981-10-31,9.0,7.3,5655732070180444.0,5623413251903491.0,0.0,,,437.625,5.7829999999999995
1981-11-30,4.0,5.6,26285990422748.0,15848931924611.174,0.0,,,424.75,
1981-12-31,4.0,5.3,18865502070679.348,5623413251903.491,0.0,,,420.25,4.6
1982-01-31,6.0,6.0,83814805452565.34,63095734448019.17,0.0,,,446.75,6.216
1982-02-28,5.0,5.3,17236513134936.273,5623413251903.491,0.0,,,406.6,
1982-03-31,7.0,5.3,23212847155440.133,5623413251903.491,0.0,,,403.0,3.611
1982-04-30,10.0,6.5,436247938592632.1,354813389233574.56,0.0,,,446.0,3.6936
1982-05-31,2.0,5.2,6799454636799.446,3981071705534.9854,0.0,,,408.0,
1982-06-30,5.0,7.29,8845116819762194.0,5432503314924325.0,0.0,,,586.5,6.8575
1982-07-31,4.0,5.5,21657243041156.434,11220184543019.607,0.0,,,420.5,4.035
1982-08-31,10.0,6.8,1141184849351640.5,1000000000000000.0,0.0,,,472.7,4.99675
1982-09-30,3.0,5.5,21981849821526.92,11220184543019.607,0.0,,,440.75,5.843500000000001
1982-10-31,10.0,5.3,34469126583649.88,5623413251903.491,0.0,,,407.2142857142857,4.9
1982-11-30,6.0,6.6,525662859599694.4,501187233627273.5,0.0,,,458.6666666666667,
1982-12-31,8.0,5.4,33138039207026.434,7943282347242.8545,0.0,,,412.5,
1983-01-31,10.0,6.3,217884385954255.53,177827941003892.28,0.0,,,414.14285714285717,5.0809999999999995
1983-02-28,8.0,5.7,68346173343706.19,22387211385683.47,0.0,,,434.07142857142856,4.891666666666667
1983-03-31,4.0,5.5,27254014332272.55,11220184543019.607,0.0,,,428.75,8.021
1983-04-30,13.0,7.1,4910793111950938.0,2818382931264460.5,0.0,,,504.94047619047615,5.581222222222222
1983-05-31,14.0,6.1,270344163784539.34,89125093813374.77,0.0,,,427.77777777777777,5.9935
1983-06-30,3.0,5.2,9617837568063.906,3981071705534.9854,0.0,,,405.3333333333333,
1983-07-31,7.0,6.5,394314826514311.0,354813389233574.56,0.0,,,445.6666666666667,5.33725
1983-08-31,5.0,5.7,33177190652420.664,22387211385683.47,0.0,,,417.2,4.23
1983-09-30,9.0,6.3,229580700919315.38,177827941003892.28,0.0,,,445.875,4.801500000000001
1983-10-31,6.0,5.7,36818694199980.71,22387211385683.47,0.0,,,410.2,5.802
1983-11-30,12.0,6.6,649685299789723.4,501187233627273.5,0.0,,,444.5833333333333,5.51
1983-12-31,13.0,7.0,2056331896057144.5,1995262314968874.8,0.0,,,435.6818181818182,5.65525
1984-01-31,6.0,5.7,46217192570170.14,22387211385683.47,0.0,,,427.4,4.279
1984-02-29,5.0,6.1,97929263689545.84,89125093813374.77,0.0,,,425.4,
1984-03-31,1.0,5.0,1995262314968.8748,1995262314968.8748,0.0,,,385.0,
1984-04-30,5.0,5.7,39948331300990.234,22387211385683.47,0.0,,,433.0,5.142
1984-05-31,5.0,5.4,20375603160348.555,7943282347242.8545,0.0,,,410.2,
1984-06-30,7.0,5.7,51868785667545.41,22387211385683.47,0.0,,,428.9166666666667,5.909
1984-07-31,8.0,6.4,290042404755639.1,251188643150959.25,0.0,,,458.75,5.177
1984-08-31,13.0,6.3,425853990653113.4,177827941003892.28,0.0,,,451.15,5.02675
1984-09-30,4.0,5.4,19543029619650.207,7943282347242.8545,0.0,,,420.5,
1984-10-31,7.0,6.1,120224729482356.1,89125093813374.77,0.0,,,436.57142857142856,
1984-11-30,5.0,5.6,45774064093380.95,15848931924611.174,0.0,,,449.0,
1984-12-31,3.0,6.0,79939332242942.27,63095734448019.17,0.0,,,483.6666666666667,4.6375
1985-01-31,5.0,6.2,140644731087862.2,125892541179417.14,0.0,,,442.0,
1985-02-28,10.0,5.7,46442085006224.72,22387211385683.47,0.0,,,407.0,4.227
1985-03-31,5.0,5.8,41589635252125.4,31622776601683.793,0.0,,,417.8,4.552
1985-04-30,5.0,6.3,279375902705970.0,177827941003892.28,0.0,,,482.25,5.451499999999999
1985-05-31,3.0,5.9,51467813851895.98,44668359215096.53,0.0,,,450.6666666666667,4.404
1985-06-30,13.0,6.3,249256953249011.6,177827941003892.28,0.0,,,430.65,4.318666666666666
