timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-12-31,84.0,8.0,1.2151582193414325e+17,6.309573444801891e+16,0.0,,,493.752688172043,5.257145833333333
1971-12-31,38.0,7.42,9715429555117816.0,8511380382023794.0,0.0,,,468.6481481481481,5.292
1972-12-31,29.0,6.67,2240271928810145.5,638263486190550.9,0.0,,,501.4583333333333,5.2756
1973-12-31,79.0,7.5,1.3716989891861888e+16,1.122018454301956e+16,0.0,,,445.8465608465608,4.967307692307693
1974-12-31,80.0,7.3,6607321679835649.0,5623413251903491.0,0.0,,,434.074780058651,5.064425925925926
1975-12-31,74.0,6.5,1221120874864649.0,354813389233574.56,0.0,,,429.7239583333333,5.0834166666666665
1976-12-31,111.0,7.5,1.5931016291185982e+16,1.122018454301956e+16,0.0,,,433.85,5.437138888888889
1977-12-31,53.0,6.4,613272624347593.9,251188643150959.25,0.0,,,424.3439716312057,5.110214285714286
1978-12-31,85.0,7.7,2.5196190352618656e+16,2.2387211385683468e+16,0.0,,,423.777397260274,5.046852941176471
1979-12-31,101.0,7.7,4.1867684683714424e+16,2.2387211385683468e+16,0.0,,,434.2331746031746,5.284416666666667
1980-12-31,70.0,6.4,943588522665642.9,251188643150959.25,0.0,,,422.8032786885246,4.5992500000000005
1981-12-31,66.0,7.3,6560782326953762.0,5623413251903491.0,0.0,,,427.5258620689655,4.6857500000000005
1982-12-31,76.0,7.29,1.1190522346339262e+16,5432503314924325.0,0.0,,,441.8333333333333,4.79846875
1983-12-31,104.0,7.1,8904148295066671.0,2818382931264460.5,0.0,,,436.39632308619656,5.475371212121212
1984-12-31,69.0,6.4,1239711989550651.2,251188643150959.25,0.0,,,437.68548387096774,5.006
1985-12-31,74.0,8.0,8.049931439837869e+16,6.309573444801891e+16,0.0,,,447.10769230769233,5.079861111111111
1986-12-31,67.0,7.0,4005131491356871.0,1995262314968874.8,0.0,,,453.8050847457627,5.302666666666667
1987-12-31,79.0,7.2,6865849753794882.0,3981071705534985.5,0.0,,,466.9193548387097,5.106325
1988-12-31,66.0,6.6,1868364059573502.2,501187233627273.5,0.0,,,445.3534482758621,4.827214285714286
1989-12-31,68.0,6.9,3152302315541489.5,1412537544622761.2,0.0,,,441.2890625,5.073916666666666
1990-12-31,91.0,7.3,9595887601513006.0,5623413251903491.0,0.0,,,451.09999999999997,5.227012345679013
1991-12-31,101.0,7.6,2.5376510491104416e+16,1.5848931924611238e+16,0.0,,,466.78214285714284,5.548791666666666
1992-12-31,98.0,7.7,2.925450525570224e+16,2.2387211385683468e+16,0.0,,,469.1375396825397,4.883857142857143
1993-12-31,64.0,7.2,7338604950103691.0,3981071705534985.5,0.0,,,467.66220238095235,5.138866666666667
1994-12-31,64.0,6.9,4396651529924479.0,1412537544622761.2,0.0,,,464.00961538461536,5.3753125
1995-12-31,96.0,8.0,8.188373221682683e+16,6.309573444801891e+16,0.0,,,484.13419913419915,5.794740000000001
1996-12-31,72.0,7.5,1.8143576534250936e+16,1.122018454301956e+16,0.0,,,479.42033898305084,5.110215277777778
1997-12-31,68.0,7.2,1.375680017794763e+16,3981071705534985.5,0.0,,,487.60169491525426,4.84652
1998-12-31,56.0,7.2,6887438994144840.0,3981071705534985.5,0.0,,,471.1054421768708,5.188785714285714
