,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
73,351020,20814,Confirmed Eruption,3,Observations: Reported,2012,2,22,2013,7,12,2012-02-22,2013-07-12
74,351020,11289,Confirmed Eruption,1,Observations: Reported,1984,12,22,1985,3,19,1984-12-22,1985-03-19
75,351020,11290,Confirmed Eruption,3,Observations: Reported,1985,9,11,1991,7,13,1985-09-11,1991-07-13
76,351020,20995,Confirmed Eruption,2,Observations: Reported,2014,11,18,2024,12,19,2014-11-18,2024-12-19
77,351050,11312,Confirmed Eruption,3,Observations: Reported,2007,2,19,2007,5,28,2007-02-19,2007-05-28
78,351050,11313,Confirmed Eruption,2,Observations: Reported,2008,1,2,2008,4,16,2008-01-02,2008-04-16
79,351050,11314,Confirmed Eruption,3,Observations: Reported,2008,10,26,2012,1,14,2008-10-26,2012-01-14
169,342080,10655,Confirmed Eruption,1,Observations: Reported,1972,11,12,1972,12,16,1972-11-12,1972-12-16
170,342090,10733,Confirmed Eruption,3,Observations: Reported,2002,1,4,2024,12,19,2002-01-04,2024-12-19
171,342090,10727,Confirmed Eruption,4,Observations: Reported,1974,10,10,1974,12,4,1974-10-10,1974-12-04
172,342090,10728,Confirmed Eruption,1,Observations: Reported,1975,5,28,1975,10,21,1975-05-28,1975-10-21
173,342090,10729,Confirmed Eruption,1,Observations: Reported,1977,3,3,1977,4,19,1977-03-03,1977-04-19
174,342090,10730,Confirmed Eruption,2,Observations: Reported,1977,9,11,1979,8,8,1977-09-11,1979-08-08
175,342090,10731,Confirmed Eruption,1,Observations: Reported,1987,1,5,1987,2,16,1987-01-05,1987-02-16
176,342090,10732,Confirmed Eruption,2,Observations: Reported,1999,5,21,2000,12,9,1999-05-21,2000-12-09
177,342090,10725,Confirmed Eruption,3,Observations: Reported,1971,9,14,1971,9,15,1971-09-14,1971-09-15
178,342090,10726,Confirmed Eruption,2,Observations: Reported,1973,2,23,1973,3,23,1973-02-23,1973-03-23
198,345033,11134,Confirmed Eruption,3,Observations: Reported,1968,7,29,2010,12,16,1968-07-29,2010-12-16
199,345040,22303,Confirmed Eruption,2,Observations: Reported,2019,2,7,2019,9,30,2019-02-07,2019-09-30
200,345040,22156,Confirmed Eruption,1,Observations: Reported,2016,6,5,2016,8,16,2016-06-05,2016-08-16
201,345040,22209,Confirmed Eruption,1,Observations: Reported,2017,4,12,2017,11,6,2017-04-12,2017-11-06
202,345040,11189,Confirmed Eruption,1,Observations: Reported,2006,3,24,2006,3,24,2006-03-24,2006-03-24
