,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry,region_name
14,251002,144.588,-3.608,Kadovar,Stratovolcano(es),Papua New Guinea,Southwest Pacific Volcanic Regions,-3.608,144.588,365,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite,True,2023,POINT (144.588 -3.608),Cluster_5
15,251020,145.037,-4.08,Manam,Stratovolcano(es),Papua New Guinea,Southwest Pacific Volcanic Regions,-4.08,145.037,1807,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2024,POINT (145.037 -4.08),Cluster_5
16,251030,145.976,-4.647,Karkar,Stratovolcano(es),Papua New Guinea,Southwest Pacific Volcanic Regions,-4.647,145.976,1839,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (145.976 -4.647),Cluster_5
17,251050,147.12,-5.358,Long Island,Complex,Papua New Guinea,Southwest Pacific Volcanic Regions,-5.358,147.12,1280,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1993,POINT (147.12 -5.358),Cluster_5
18,251070,148.115,-5.519,Ritter Island,Stratovolcano(es),Papua New Guinea,Southwest Pacific Volcanic Regions,-5.519,148.115,75,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2007,POINT (148.115 -5.519),Cluster_5
19,252010,148.42,-5.525,Langila,Complex,Papua New Guinea,Southwest Pacific Volcanic Regions,-5.525,148.42,1330,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2024,POINT (148.42 -5.525),Cluster_5
20,252070,150.027,-5.416,Krummel-Garbuna-Welcker,Stratovolcano(es),Papua New Guinea,Southwest Pacific Volcanic Regions,-5.416,150.027,564,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2008,POINT (150.027 -5.416),Cluster_5
21,252080,150.5161,-5.5745,Witori,Caldera,Papua New Guinea,Southwest Pacific Volcanic Regions,-5.5745,150.5161,724,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite,True,2012,POINT (150.5161 -5.5745),Cluster_5
22,252120,151.33,-5.05,Ulawun,Stratovolcano(es),Papua New Guinea,Southwest Pacific Volcanic Regions,-5.05,151.33,2334,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2019,POINT (151.33 -5.05),Cluster_5
23,252140,152.1937,-4.2459,Rabaul,Caldera,Papua New Guinea,Southwest Pacific Volcanic Regions,-4.2459,152.1937,688,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite,True,2014,POINT (152.1937 -4.2459),Cluster_5
24,255020,155.196,-6.137,Bagana,Cone(s),Papua New Guinea,Southwest Pacific Volcanic Regions,-6.137,155.196,1855,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (155.196 -6.137),Cluster_5
25,255060,157.979,-8.991,Kavachi,Stratovolcano(es),Solomon Islands,Southwest Pacific Volcanic Regions,-8.991,157.979,-20,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (157.979 -8.991),Cluster_5
26,256010,165.804,-10.386,Tinakula,Stratovolcano(es),Solomon Islands,Southwest Pacific Volcanic Regions,-10.386,165.804,796,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (165.804 -10.386),Cluster_5
