timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-31,2.0,5.73,41813767577573.14,24831331052955.68,0.0,,,495.5,
1970-02-28,3.0,7.11,3108552807231267.0,2917427014001166.0,0.0,,,643.0,
1970-03-31,3.0,6.31,257913385387844.3,184077200146895.8,0.0,,,547.25,5.476
1970-04-30,2.0,6.05,129943508319008.06,74989420933245.58,0.0,,,554.5,4.141
1970-05-31,1.0,5.77,28510182675038.98,28510182675038.98,0.0,,,512.0,
1970-06-30,5.0,5.66,66232165571700.875,19498445997580.414,0.0,,,463.0,
1970-07-31,1.0,6.11,92257142715476.28,92257142715476.28,0.0,,,574.0,
1970-08-31,2.0,6.07,85600686821059.34,80352612218561.61,0.0,,,498.0,5.769
1970-09-30,1.0,5.4,7943282347242.8545,7943282347242.8545,0.0,,,449.0,
1970-10-31,0.0,,0.0,,0.0,,,,
1970-11-30,2.0,5.92,67361455229844.414,47863009232264.0,0.0,,,516.0,4.367
1970-12-31,5.0,5.96,128534219214464.22,54954087385762.484,0.0,,,499.4,
1971-01-31,3.0,6.44,340579546682086.56,288403150312661.2,0.0,,,550.6666666666666,
1971-02-28,7.0,6.95,1869140920117590.5,1678804018122565.8,0.0,,,523.4375,6.498
1971-03-31,2.0,5.86,57101523085527.875,38904514499428.05,0.0,,,508.5,
1971-04-30,2.0,6.06,107136803929533.19,77624711662869.28,0.0,,,539.5,
1971-05-31,4.0,6.99,1975441864468324.0,1927524913190944.5,0.0,,,549.25,6.584
1971-06-30,3.0,6.76,885403998388766.0,870963589956083.2,0.0,,,519.3333333333334,
1971-07-31,4.0,6.41,311691560951136.9,260015956316526.7,0.0,,,522.0,
1971-08-31,1.0,5.46,9772372209558.111,9772372209558.111,0.0,,,459.0,
1971-09-30,2.0,5.92,59083193775283.61,47863009232264.0,0.0,,,502.0,
1971-10-31,2.0,5.81,44348555626287.33,32734069487883.863,0.0,,,493.0,
1971-11-30,3.0,6.06,120643181405369.06,77624711662869.28,0.0,,,525.5,
1971-12-31,5.0,6.02,118544090826747.75,67608297539197.914,0.0,,,492.5,
1972-01-31,1.0,5.77,28510182675038.98,28510182675038.98,0.0,,,512.0,
1972-02-29,2.0,5.79,42163697270558.555,30549211132155.094,0.0,,,491.5,
1972-03-31,5.0,6.36,336422789618247.25,218776162394955.2,0.0,,,527.6,
1972-04-30,2.0,5.94,67135070323747.76,51286138399136.586,0.0,,,512.5,
1972-05-31,0.0,,0.0,,0.0,,,,
1972-06-30,5.0,6.2,171328698705803.75,125892541179417.14,0.0,,,486.5,5.776
1972-07-31,3.0,6.46,360140515824117.2,309029543251359.2,0.0,,,545.3333333333334,
1972-08-31,6.0,6.37,337002571649806.8,226464430759306.2,0.0,,,510.33333333333337,4.628
1972-09-30,2.0,5.58,17609466812946.594,14791083881682.133,0.0,,,439.5,
1972-10-31,2.0,5.93,60765203623498.46,49545019080478.85,0.0,,,503.0,
1972-11-30,1.0,5.69,21627185237270.246,21627185237270.246,0.0,,,498.0,
1972-12-31,2.0,5.62,30317650846250.703,16982436524617.46,0.0,,,480.0,
1973-01-31,7.0,5.4,34765419375790.49,7943282347242.8545,0.0,,,426.0,
1973-02-28,3.0,5.5,24786880142165.953,11220184543019.607,0.0,,,448.6666666666667,
1973-03-31,4.0,5.9,94135330056360.38,44668359215096.53,0.0,,,480.25,
1973-04-30,3.0,5.5,17196518563523.469,11220184543019.607,0.0,,,422.0,
1973-05-31,6.0,6.0,132667680349501.66,63095734448019.17,0.0,,,462.2,
1973-06-30,9.0,5.8,92479145837081.98,31622776601683.793,0.0,,,443.85714285714283,
1973-07-31,3.0,5.3,12422867888702.938,5623413251903.491,0.0,,,416.0,
1973-08-31,10.0,5.9,116176035513127.22,44668359215096.53,0.0,,,433.2857142857143,6.617
1973-09-30,6.0,5.5,27967636766433.547,11220184543019.607,0.0,,,410.4,4.671
1973-10-31,1.0,5.4,7943282347242.8545,7943282347242.8545,0.0,,,449.0,
1973-11-30,3.0,6.4,444865516079462.7,251188643150959.25,0.0,,,551.25,
1973-12-31,5.0,5.8,58252234868629.4,31622776601683.793,0.0,,,441.25,4.16
1974-01-31,6.0,5.6,36224535084959.734,15848931924611.174,0.0,,,427.5833333333333,
1974-02-28,6.0,6.5,365612821424714.5,354813389233574.56,0.0,,,441.0,
1974-03-31,6.0,5.7,53811453835035.3,22387211385683.47,0.0,,,436.0,
1974-04-30,3.0,6.0,130151305048799.17,63095734448019.17,0.0,,,531.5,4.918
1974-05-31,2.0,5.7,24382473700652.344,22387211385683.47,0.0,,,442.5,5.238
1974-06-30,5.0,5.7,41578992264175.81,22387211385683.47,0.0,,,430.2,
1974-07-31,3.0,5.4,11933806977180.604,7943282347242.8545,0.0,,,406.3333333333333,
1974-08-31,13.0,6.3,471973411229641.06,177827941003892.28,0.0,,,466.5,
1974-09-30,2.0,5.1,4813645246233.336,2818382931264.461,0.0,,,392.5,
1974-10-31,0.0,,0.0,,0.0,,,,
1974-11-30,7.0,5.8,65870910435501.766,31622776601683.793,0.0,,,437.5,4.689
1974-12-31,7.0,5.8,89544896236741.02,31622776601683.793,0.0,,,438.5,4.33
1975-01-31,4.0,5.9,72692336463308.92,44668359215096.53,0.0,,,459.0,4.962
1975-02-28,7.0,7.6,1.6263165862968354e+16,1.5848931924611238e+16,0.0,,,517.875,6.319
1975-03-31,4.0,5.4,23505240261358.074,7943282347242.8545,0.0,,,428.75,
1975-04-30,3.0,5.5,23144538595797.45,11220184543019.607,0.0,,,443.3333333333333,
1975-05-31,4.0,5.6,34553879550361.344,15848931924611.174,0.0,,,445.0,
1975-06-30,3.0,5.3,11260179114432.414,5623413251903.491,0.0,,,410.6666666666667,5.568
1975-07-31,3.0,5.8,37599110622187.66,31622776601683.793,0.0,,,439.6666666666667,
1975-08-31,9.0,6.2,169510690016197.3,125892541179417.14,0.0,3.0,5.6,424.57142857142856,7.05
1975-09-30,1.0,5.1,2818382931264.461,2818382931264.461,0.0,,,400.0,
1975-10-31,4.0,5.7,33986958658090.82,22387211385683.47,0.0,,,433.25,
1975-11-30,6.0,6.3,219758182009225.94,177827941003892.28,0.0,,,465.5,
1975-12-31,1.0,5.0,1995262314968.8748,1995262314968.8748,0.0,,,385.0,
1976-01-31,5.0,5.4,22704880395112.273,7943282347242.8545,0.0,,,419.4,
1976-02-29,5.0,5.3,15590271902345.102,5623413251903.491,0.0,,,398.625,
1976-03-31,3.0,5.2,9957405726038.846,3981071705534.9854,0.0,,,405.6666666666667,
1976-04-30,3.0,5.5,17196518563523.469,11220184543019.607,0.0,,,422.0,
1976-05-31,1.0,5.1,2818382931264.461,2818382931264.461,0.0,,,400.0,3.844
1976-06-30,4.0,5.3,16403939594237.922,5623413251903.491,0.0,,,413.3333333333333,
1976-07-31,1.0,5.2,3981071705534.9854,3981071705534.9854,0.0,,,416.0,
1976-08-31,4.0,5.5,18852212720517.406,11220184543019.607,0.0,,,419.1666666666667,
1976-09-30,3.0,5.4,14742736984042.3,7943282347242.8545,0.0,,,421.6666666666667,
1976-10-31,5.0,5.5,25149253835169.086,11220184543019.607,0.0,,,413.8,
1976-11-30,2.0,6.3,179823203318861.16,177827941003892.28,0.0,,,498.0,4.552
1976-12-31,11.0,6.7,757234995719977.9,707945784384140.2,0.0,,,429.17857142857144,
1977-01-31,3.0,5.3,10437058498136.828,5623413251903.491,0.0,,,405.6666666666667,
1977-02-28,4.0,6.7,715577812561638.1,707945784384140.2,0.0,,,443.5,
1977-03-31,3.0,6.0,67909379694252.51,63095734448019.17,0.0,,,446.3333333333333,
1977-04-30,3.0,5.2,8794716951768.321,3981071705534.9854,0.0,,,400.25,
1977-05-31,2.0,6.0,68719147699922.664,63095734448019.17,0.0,,,493.0,
1977-06-30,1.0,5.0,1995262314968.8748,1995262314968.8748,0.0,,,385.0,
1977-07-31,8.0,5.4,28007631337846.35,7943282347242.8545,0.0,,,406.2142857142857,
1977-08-31,7.0,5.4,39067198175473.3,7943282347242.8545,0.0,,,427.3333333333333,
1977-09-30,14.0,6.6,1057655632667616.6,501187233627273.5,0.0,,,425.6388888888889,
1977-10-31,4.0,5.6,29091020743387.03,15848931924611.174,0.0,,,432.75,
