timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-01,2.0,5.61,25526006125554.5,16405897731995.387,0.0,,,469.5,
1970-01-02,,,,,,,,,
1970-01-03,,,,,,,,,
1970-01-04,1.0,5.54,12882495516931.322,12882495516931.322,0.0,,,472.0,
1970-01-05,1.0,5.55,13335214321633.24,13335214321633.24,0.0,,,474.0,
1970-01-06,1.0,6.16,109647819614318.28,109647819614318.28,0.0,,,584.0,5.677
1970-01-07,,,,,,,,,
1970-01-08,1.0,6.79,966050878989812.1,966050878989812.1,0.0,,,709.0,
1970-01-09,,,,,,,,,
1970-01-10,3.0,7.2,4029076983087626.0,3981071705534985.5,0.0,,,601.6666666666666,6.478
1970-01-11,1.0,6.0,63095734448019.17,63095734448019.17,0.0,,,554.0,4.618
1970-01-12,,,,,,,,,
1970-01-13,,,,,,,,,
1970-01-14,1.0,5.98,58884365535558.836,58884365535558.836,0.0,,,550.0,5.958
1970-01-15,,,,,,,,,
1970-01-16,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-01-17,,,,,,,,,
1970-01-18,2.0,5.8,39035879014692.984,31622776601683.793,0.0,,,481.5,
1970-01-19,,,,,,,,,
1970-01-20,4.0,6.77,1191966202133769.8,901571137605953.4,0.0,,,580.25,5.077
1970-01-21,,,,,,,,,
1970-01-22,2.0,5.73,38635173698984.55,24831331052955.68,0.0,,,490.5,
1970-01-23,1.0,5.13,3126079367123.962,3126079367123.962,0.0,,,405.0,
1970-01-24,,,,,,,,,
1970-01-25,,,,,,,,,
1970-01-26,1.0,6.53,393550075455778.06,393550075455778.06,0.0,,,656.0,
1970-01-27,2.0,5.77,52498511865233.83,28510182675038.98,0.0,,,507.5,6.276
1970-01-28,1.0,6.14,102329299228075.36,102329299228075.36,0.0,,,580.0,
1970-01-29,,,,,,,,,
1970-01-30,1.0,5.9,44668359215096.53,44668359215096.53,0.0,,,536.0,3.894
1970-01-31,,,,,,,,,
1970-02-01,,,,,,,,,
1970-02-02,4.0,6.01,134901100151761.05,65313055264747.43,0.0,,,512.25,
1970-02-03,1.0,5.66,19498445997580.414,19498445997580.414,0.0,,,493.0,
1970-02-04,1.0,6.4,251188643150959.25,251188643150959.25,0.0,,,630.0,
1970-02-05,3.0,6.74,908448058671286.6,812830516164102.9,0.0,,,587.3333333333334,7.243
1970-02-06,2.0,5.98,117768731071117.67,58884365535558.836,0.0,,,550.0,6.018
1970-02-07,3.0,6.03,146517439407994.5,69984199600227.45,0.0,,,526.6666666666666,
1970-02-08,1.0,5.13,3126079367123.962,3126079367123.962,0.0,,,405.0,
1970-02-09,,,,,,,,,
1970-02-10,1.0,5.76,27542287033381.746,27542287033381.746,0.0,,,510.0,
1970-02-11,,,,,,,,,
1970-02-12,,,,,,,,,
1970-02-13,2.0,5.54,25327641634645.19,12882495516931.322,0.0,,,471.0,
1970-02-14,1.0,5.9,44668359215096.53,44668359215096.53,0.0,,,536.0,5.874
1970-02-15,2.0,5.86,48024622892987.164,38904514499428.05,0.0,,,491.5,3.949
1970-02-16,1.0,5.5,11220184543019.607,11220184543019.607,0.0,,,465.0,
1970-02-17,2.0,5.75,41398334479670.164,26607250597988.03,0.0,,,494.0,4.516
1970-02-18,2.0,6.05,87434567050959.45,74989420933245.58,0.0,,,516.5,
1970-02-19,2.0,5.58,20414497133585.625,14791083881682.133,0.0,,,455.5,
1970-02-20,,,,,,,,,
1970-02-21,1.0,5.52,12022644346174.082,12022644346174.082,0.0,,,469.0,4.166
1970-02-22,,,,,,,,,
1970-02-23,,,,,,,,,
1970-02-24,2.0,6.17,124721266110251.5,113501081567231.89,0.0,,,525.5,
1970-02-25,1.0,6.08,83176377110267.42,83176377110267.42,0.0,,,569.0,4.407
1970-02-26,5.0,6.07,186203861203339.3,80352612218561.61,0.0,,,515.0,5.012
1970-02-27,2.0,6.06,98517672971409.61,77624711662869.28,0.0,,,530.5,
1970-02-28,1.0,7.11,2917427014001166.0,2917427014001166.0,0.0,,,778.0,
1970-03-01,1.0,5.29,5432503314924.325,5432503314924.325,0.0,,,431.0,
1970-03-02,,,,,,,,,
1970-03-03,,,,,,,,,
1970-03-04,4.0,6.2,233314269865609.53,125892541179417.14,0.0,,,526.25,4.888
1970-03-05,,,,,,,,,
1970-03-06,,,,,,,,,
1970-03-07,1.0,5.53,12445146117713.87,12445146117713.87,0.0,,,470.0,
1970-03-08,1.0,5.71,23173946499684.797,23173946499684.797,0.0,,,502.0,
1970-03-09,3.0,6.6,564067467029385.6,501187233627273.5,0.0,,,561.6666666666666,5.2
1970-03-10,2.0,6.2,153434828212798.88,125892541179417.14,0.0,,,550.5,6.081
1970-03-11,1.0,5.99,60953689724017.19,60953689724017.19,0.0,,,552.0,5.476
1970-03-12,,,,,,,,,
1970-03-13,,,,,,,,,
1970-03-14,,,,,,,,,
1970-03-15,1.0,6.01,65313055264747.43,65313055264747.43,0.0,,,556.0,4.216
1970-03-16,1.0,5.83,35075187395256.938,35075187395256.938,0.0,,,523.0,
1970-03-17,,,,,,,,,
1970-03-18,,,,,,,,,
1970-03-19,2.0,6.31,196959695663827.12,184077200146895.8,0.0,,,542.5,
1970-03-20,1.0,5.67,20183663636815.68,20183663636815.68,0.0,,,495.0,
1970-03-21,2.0,5.58,27236229999396.0,14791083881682.133,0.0,,,474.5,
1970-03-22,,,,,,,,,
1970-03-23,2.0,5.7,44774422771366.94,22387211385683.47,0.0,,,500.0,3.951
1970-03-24,,,,,,,,,
1970-03-25,1.0,5.25,4731512589614.793,4731512589614.793,0.0,,,424.0,
1970-03-26,,,,,,,,,
1970-03-27,1.0,6.63,555904257270404.9,555904257270404.9,0.0,,,676.0,5.415
1970-03-28,1.0,6.01,65313055264747.43,65313055264747.43,0.0,,,556.0,4.741
1970-03-29,2.0,6.58,480617636804131.3,467735141287200.0,0.0,,,569.0,4.031
1970-03-30,1.0,6.83,1109174815262405.4,1109174815262405.4,0.0,,,718.0,6.246
1970-03-31,1.0,5.65,18836490894898.098,18836490894898.098,0.0,,,491.0,4.285
1970-04-01,1.0,5.7,22387211385683.47,22387211385683.47,0.0,,,500.0,4.537
1970-04-02,1.0,5.88,41686938347033.63,41686938347033.63,0.0,,,532.0,
1970-04-03,1.0,5.96,54954087385762.484,54954087385762.484,0.0,,,546.0,
1970-04-04,,,,,,,,,
1970-04-05,,,,,,,,,
1970-04-06,,,,,,,,,
1970-04-07,4.0,7.44,9200374110703772.0,9120108393559116.0,0.0,,,593.25,5.589333333333333
1970-04-08,2.0,6.52,426427498460485.6,380189396320559.7,0.0,,,595.5,5.853
1970-04-09,2.0,5.78,50405053575204.23,29512092266663.902,0.0,,,505.0,
1970-04-10,1.0,5.67,20183663636815.68,20183663636815.68,0.0,,,495.0,
1970-04-11,1.0,5.83,35075187395256.938,35075187395256.938,0.0,,,523.0,
1970-04-12,4.0,6.92,1564219066481372.0,1513561248436213.2,0.0,,,546.75,5.9125
1970-04-13,,,,,,,,,
1970-04-14,1.0,5.77,28510182675038.98,28510182675038.98,0.0,,,512.0,
1970-04-15,1.0,6.2,125892541179417.14,125892541179417.14,0.0,,,591.0,4.675
1970-04-16,2.0,5.98,61801792549560.0,58884365535558.836,0.0,,,476.0,
1970-04-17,,,,,,,,,
1970-04-18,2.0,6.09,161088796151705.38,86099375218459.81,0.0,,,567.0,4.141
1970-04-19,,,,,,,,,
1970-04-20,2.0,6.62,549914291887184.56,537031796370253.25,0.0,,,573.0,
1970-04-21,,,,,,,,,
1970-04-22,,,,,,,,,
1970-04-23,,,,,,,,,
1970-04-24,1.0,5.51,11614486138403.46,11614486138403.46,0.0,,,467.0,
1970-04-25,1.0,5.22,4265795188015.917,4265795188015.917,0.0,,,419.0,
1970-04-26,1.0,5.96,54954087385762.484,54954087385762.484,0.0,,,546.0,
1970-04-27,,,,,,,,,
1970-04-28,2.0,5.75,48994461983671.5,26607250597988.03,0.0,,,504.5,6.003
1970-04-29,5.0,7.3,6121015539963616.0,5623413251903491.0,0.0,,,589.8,5.797499999999999
1970-04-30,3.0,6.64,671302203734059.1,575439937337156.6,0.0,,,583.3333333333334,4.619
1970-05-01,2.0,5.89,75885977170660.36,43151907682776.5,0.0,,,526.5,5.26
1970-05-02,1.0,5.88,41686938347033.63,41686938347033.63,0.0,,,532.0,
1970-05-03,1.0,5.62,16982436524617.46,16982436524617.46,0.0,,,486.0,
1970-05-04,,,,,,,,,
