timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-01-31,26.0,7.2,7161291514142826.0,3981071705534985.5,0.0,,,537.4656862745097,5.425428571428571
1970-02-28,40.0,7.11,5309547827543777.0,2917427014001166.0,0.0,,,525.2738095238095,5.148125
1970-03-31,29.0,6.83,3676941873581746.0,1109174815262405.4,0.0,,,532.5482456140351,4.957272727272727
1970-04-30,38.0,7.44,1.925506699620782e+16,9120108393559116.0,0.0,,,533.2566666666667,5.23637037037037
1970-05-31,26.0,7.9,4.876597627540466e+16,4.466835921509653e+16,0.0,,,518.421875,4.738533333333334
1970-06-30,41.0,6.96,4617493905613860.0,1737800828749376.2,0.0,,,513.2971014492754,5.218944444444444
1970-07-31,25.0,8.0,6.628758821674032e+16,6.309573444801891e+16,0.0,,,562.5833333333334,4.889333333333333
1970-08-31,29.0,7.31,9312894804661420.0,5821032177708722.0,0.0,,,543.3313725490196,5.214166666666666
1970-09-30,22.0,6.6,2800838262894036.5,501187233627273.5,0.0,,,543.2395833333334,5.328125
1970-10-31,22.0,6.9,2863134323196698.0,1412537544622761.2,0.0,,,518.7321428571429,5.296
1970-11-30,32.0,6.7,2205796155807963.0,707945784384140.2,0.0,,,509.75,5.39735
1970-12-31,52.0,7.2,9413059842060802.0,3981071705534985.5,0.0,,,512.4506172839506,5.557484848484848
1971-01-31,42.0,7.7,2.5698910595148732e+16,2.2387211385683468e+16,0.0,,,515.3333333333334,5.286434343434343
1971-02-28,28.0,6.95,4059386439218164.5,1678804018122565.8,0.0,,,521.3101851851852,5.146642857142857
1971-03-31,25.0,6.57,1442130879968697.8,451855944374921.7,0.0,,,511.4117647058824,4.907642857142856
1971-04-30,28.0,6.56,1188611214894191.8,436515832240166.56,0.0,,,503.2843137254902,4.970916666666667
1971-05-31,28.0,6.99,3510212683162565.5,1927524913190944.5,0.0,,,517.5454545454545,5.044545454545455
1971-06-30,17.0,6.76,1350391577038402.2,870963589956083.2,0.0,,,492.5,4.7425
1971-07-31,71.0,8.1,2.014064639294217e+17,8.912509381337514e+16,0.0,,,533.5090659340659,5.435586805555555
1971-08-31,35.0,7.12,6034937957998348.0,3019951720402019.0,0.0,,,520.325,4.9285625
1971-09-30,45.0,7.3,1.1821585335076712e+16,5623413251903491.0,0.0,,,523.0427536231884,5.156416666666667
1971-10-31,40.0,6.8,5518603182452512.0,1000000000000000.0,0.0,,,522.68,5.270136363636364
1971-11-30,21.0,7.3,9292488358277252.0,5623413251903491.0,0.0,,,523.2575757575758,5.552
1971-12-31,25.0,7.62,1.868395270094818e+16,1.698243652461746e+16,0.0,,,538.1274509803922,5.247583333333334
1972-01-31,34.0,7.3,1.596796835338289e+16,5623413251903491.0,0.0,,,576.4956140350877,5.4665
1972-02-29,25.0,7.4,1.2050001544787468e+16,7943282347242854.0,0.0,,,524.1842105263158,5.253166666666667
1972-03-31,46.0,6.81,3663651077980755.0,1035142166679345.1,0.0,,,510.8031746031746,5.182142857142857
1972-04-30,26.0,7.45,1.7833845490747614e+16,9440608762859264.0,0.0,,,566.2549019607843,5.16375
1972-05-31,35.0,7.06,6707571040070415.0,2454708915685033.5,0.0,,,522.5438596491229,5.075545454545455
1972-06-30,30.0,7.72,2.532670982247699e+16,2.398832919019485e+16,0.0,,,501.6,4.54275
1972-07-31,22.0,6.46,1012514814787957.6,309029543251359.2,0.0,,,517.7857142857143,4.8637999999999995
1972-08-31,38.0,7.5,1.3599282708288616e+16,1.122018454301956e+16,0.0,,,538.5793650793651,5.194
1972-09-30,41.0,6.8,3726307944148867.5,1000000000000000.0,0.0,,,535.4166666666666,5.149
1972-10-31,28.0,6.67,1955231908513814.8,638263486190550.9,0.0,,,528.0350877192982,4.713770833333333
