timeymd,count,mag_max,energy_sum,energy_max,tsunami_sum,felt_mean,cdi_mean,nst_mean,mmi_mean
1970-12-31,382.0,8.0,1.8166962999785594e+17,6.309573444801891e+16,0.0,,,527.9909752547308,5.214257281553397
1971-12-31,405.0,8.1,2.9000767485360544e+17,8.912509381337514e+16,0.0,,,519.8214495489826,5.176052588996764
1972-12-31,416.0,8.0,1.7849919353725408e+17,6.309573444801891e+16,0.0,,,528.5307590557591,5.1541977124183
1973-12-31,1031.0,7.7,7.749942035256368e+16,2.2387211385683468e+16,0.0,,,441.9150778351661,4.945957465277778
1974-12-31,1006.0,7.6,6.218005369800075e+16,1.5848931924611238e+16,0.0,,,439.98173140516894,4.908733333333333
1975-12-31,1142.0,7.9,1.9736597864830912e+17,4.466835921509653e+16,0.0,3.0,5.6,436.9177401239465,4.917302405498282
1976-12-31,1322.0,8.0,1.5327338189780026e+17,6.309573444801891e+16,0.0,,,434.6966036748988,4.859527777777778
1977-12-31,1234.0,7.6,8.750528702559437e+16,1.5848931924611238e+16,0.0,,,428.7815838842078,4.950195773809524
1978-12-31,1269.0,7.7,1.2024993915016187e+17,2.2387211385683468e+16,0.0,,,434.78002967224455,4.9628297872340426
1979-12-31,1069.0,7.9,1.0734896298150413e+17,4.466835921509653e+16,0.0,,,431.5208228684176,4.853430496453901
1980-12-31,1054.0,7.9,8.845245162609451e+16,4.466835921509653e+16,0.0,,,433.3047893131226,4.839871376811594
1981-12-31,936.0,7.7,6.141771189675022e+16,2.2387211385683468e+16,0.0,,,434.75538653733093,4.916397058823529
1982-12-31,1039.0,7.29,4.505186229430915e+16,5432503314924325.0,0.0,,,434.8603809275189,4.785915492957747
1983-12-31,1281.0,7.6,8.272535404036661e+16,1.5848931924611238e+16,0.0,2.0,4.6,436.01204830501507,5.178674143302181
1984-12-31,1178.0,7.6,9.761927094993637e+16,1.5848931924611238e+16,0.0,,,440.2183968808968,4.9839633333333335
1985-12-31,1352.0,8.0,2.103768651625936e+17,6.309573444801891e+16,0.0,,,439.51196941825583,5.110435833333334
1986-12-31,1352.0,8.0,1.565487892615591e+17,6.309573444801891e+16,0.0,,,439.19507305404966,5.033522336769759
1987-12-31,1197.0,7.6,1.0220690467496808e+17,1.5848931924611238e+16,0.0,,,449.9646673838982,5.060276404976405
1988-12-31,1132.0,7.6,6.769729412410183e+16,1.5848931924611238e+16,0.0,,,441.9135072809852,4.9652793560606066
1989-12-31,1112.0,7.6,6.96296754837038e+16,1.5848931924611238e+16,0.0,,,440.9605279861878,4.930945970695971
1990-12-31,1293.0,7.8,1.5944957976983242e+17,3.162277660168379e+16,0.0,,,442.13985260925654,5.0903997354497355
1991-12-31,1206.0,7.6,1.0619288429467763e+17,1.5848931924611238e+16,0.0,,,441.444046729105,5.2476127450980385
1992-12-31,1248.0,7.8,1.2870216871228398e+17,3.162277660168379e+16,0.0,118.0,9.0,446.50412512143123,5.122206790123458
1993-12-31,1167.0,7.8,1.36293683170318e+17,3.162277660168379e+16,0.0,14.0,9.0,444.62179570027394,5.177000877192983
1994-12-31,1209.0,8.3,4.1443235682378554e+17,1.778279410038923e+17,0.0,,,447.2372518977858,5.11399126984127
1995-12-31,1176.0,8.0,3.1544699210450854e+17,6.309573444801891e+16,0.0,,,459.80831949812966,5.261412558181167
1996-12-31,1082.0,8.09,3.267999339122333e+17,8.60993752184598e+16,0.0,,,462.6564946325816,5.004165449337631
1997-12-31,888.0,7.8,1.4096533216496328e+17,3.162277660168379e+16,0.0,,,454.13309853853474,4.990285714285714
1998-12-31,744.0,7.7,9.135179449782112e+16,2.2387211385683468e+16,0.0,,,457.1011867675419,5.024502808988764
1999-12-31,842.0,7.7,1.117810622225389e+17,2.2387211385683468e+16,0.0,,,464.1645461681176,5.353636217948718
2000-12-31,1097.0,8.0,2.1477117154749773e+17,6.309573444801891e+16,0.0,90.5,4.25,456.9540986114157,5.2279256410256405
2001-12-31,966.0,8.4,3.608361564891698e+17,2.5118864315095923e+17,0.0,2817.8333333333335,5.333333333333333,455.9120053438802,5.165811157796452
2002-12-31,930.0,7.9,1.7395589159210845e+17,4.466835921509653e+16,0.0,1274.0,6.2,452.8779856964532,5.255729072681705
2003-12-31,927.0,8.16,2.2303712766993293e+17,1.0964781961431829e+17,0.0,49.0,3.8333333333333335,456.18310588463027,4.982173333333334
2004-12-31,1011.0,7.5,7.871477096174093e+16,1.122018454301956e+16,0.0,45.092592592592595,4.720370370370371,449.1879670514295,5.387778835978836
2005-12-31,893.0,7.8,1.0079036950005992e+17,3.162277660168379e+16,0.0,84.27083333333333,4.428993055555556,453.15255570117955,5.117214559386974
2006-12-31,1219.0,8.3,3.202228524565228e+17,1.778279410038923e+17,0.0,27.241477272727273,4.127840909090909,441.1055807688556,5.338333623693379
2007-12-31,1541.0,8.1,3.7927881476584595e+17,8.912509381337514e+16,0.0,294.9879781420765,4.209631147540984,440.0046545984164,5.1853156887755105
2008-12-31,1172.0,7.7,7.931877708416694e+16,2.2387211385683468e+16,0.0,78.56019417475729,4.242977346278317,444.5321296670497,5.100165674603175
2009-12-31,1398.0,8.1,2.5892179409977245e+17,8.912509381337514e+16,0.0,60.134538152610446,4.213805220883534,443.6490864283494,5.202723333333333
2010-12-31,1715.0,8.8,1.1275798491990662e+18,1e+18,0.0,114.480014781966,4.269891774891775,446.97377759842726,5.238639726533629
2011-12-31,2124.0,9.1,3.003712029213342e+18,2.818382931264472e+18,0.0,56.18454913880446,4.153550151975684,445.45825284815044,5.245077905395735
2012-12-31,1123.0,7.7,1.2206364080160411e+17,2.2387211385683468e+16,0.0,90.31144278606965,4.466691542288557,455.64231772501,5.05057997311828
2013-12-31,1116.0,8.3,3.100705898233863e+17,1.778279410038923e+17,72.0,72.78477218225419,4.600239808153477,446.3655485954508,4.6332696969696965
2014-12-31,1167.0,8.2,2.8426429505082346e+17,1.258925411794161e+17,72.0,71.31552154695358,3.5254795002731893,449.33151575365144,4.21558083567738
2015-12-31,1132.0,8.3,3.1874935367321517e+17,1.778279410038923e+17,82.0,14.15942219330377,2.464353903589101,450.1983583331166,3.983777409046214
2016-12-31,1204.0,7.9,2.3073801907191763e+17,4.466835921509653e+16,69.0,35.61249804839969,2.6741104605776735,453.9267934923063,4.191310092531636
2017-12-31,1069.0,8.2,2.3390284596126512e+17,1.258925411794161e+17,73.0,40.455533596837945,3.79437417654809,447.6031510904266,4.045782716049382
2018-12-31,1179.0,8.2,3.1446841800258726e+17,1.258925411794161e+17,74.0,37.33762517882689,3.735836909871245,447.2175940591764,3.945940098096348
2019-12-31,1157.0,8.0,1.4348566434497149e+17,6.309573444801891e+16,65.0,64.42713836477986,3.9269748427672955,456.4473399183576,3.509333143052303
