Date,StartingEruptions_count,ActiveEruptions,ExplosivityIndexMax_max,DailyEruptedVolume_sum
1970-12-31,24.0,15.317808219178081,3.0,9195055.38995509
1971-12-31,24.0,15.482191780821918,3.0,51197675.94371863
1972-12-31,17.0,14.89344262295082,3.0,21554143.664006192
1973-12-31,30.0,19.70958904109589,4.0,53761018.25708964
1974-12-31,23.0,24.183561643835617,4.0,74962810.39729902
1975-12-31,13.0,18.06027397260274,4.0,11755336.559230257
1976-12-31,25.0,20.603825136612024,4.0,17444444.99518656
1977-12-31,25.0,19.958904109589042,3.0,66608368.234796904
1978-12-31,20.0,22.46849315068493,3.0,29585079.618528746
1979-12-31,22.0,21.797260273972604,3.0,91207826.26698138
1980-12-31,30.0,21.562841530054644,5.0,77915235.35700862
1981-12-31,21.0,21.487671232876714,4.0,88105222.7660753
1982-12-31,20.0,18.61917808219178,5.0,103580827.47402568
1983-12-31,20.0,16.476712328767125,4.0,59624479.39454383
1984-12-31,25.0,19.560109289617486,3.0,19202211.867076464
1985-12-31,20.0,18.13972602739726,3.0,11869270.53392292
1986-12-31,29.0,19.594520547945205,4.0,50048692.843783826
1987-12-31,25.0,18.095890410958905,3.0,13886558.997822048
1988-12-31,22.0,18.202185792349727,3.0,28019453.817125764
1989-12-31,22.0,19.457534246575342,3.0,5137587.143295406
1990-12-31,22.0,18.126027397260273,3.0,51147402.43161363
1991-12-31,21.0,20.7013698630137,6.0,393925971.3825254
1992-12-31,21.0,19.48633879781421,4.0,23858844.483433586
1993-12-31,21.0,20.964383561643835,4.0,9631021.213801445
1994-12-31,24.0,19.432876712328767,4.0,69556782.26482724
1995-12-31,24.0,14.92054794520548,3.0,13374037.630508816
1996-12-31,26.0,13.770491803278688,3.0,46714232.23755517
1997-12-31,20.0,15.09041095890411,3.0,36925258.47618367
1998-12-31,21.0,15.747945205479452,3.0,12545927.658770312
1999-12-31,25.0,21.339726027397262,4.0,8642130.234533112
2000-12-31,27.0,25.450819672131146,4.0,29495855.00592001
2001-12-31,20.0,22.268493150684932,3.0,21730090.645963974
2002-12-31,33.0,20.45205479452055,4.0,123582180.15028493
2003-12-31,22.0,21.21095890410959,3.0,67124404.34878652
2004-12-31,37.0,20.224043715846996,4.0,20545994.717131678
2005-12-31,31.0,25.024657534246575,3.0,53742323.848877914
2006-12-31,35.0,26.947945205479453,4.0,7709820.349038676
2007-12-31,26.0,27.86849315068493,3.0,8635948.280467618
2008-12-31,39.0,24.43169398907104,4.0,188724291.7796696
2009-12-31,24.0,27.0,4.0,31761803.508565657
2010-12-31,28.0,26.90958904109589,3.0,28469951.639391318
2011-12-31,22.0,24.01095890410959,5.0,18436257.868698422
2012-12-31,33.0,21.543715846994534,3.0,75491632.04672939
2013-12-31,24.0,28.005479452054793,3.0,15028629.008000042
2014-12-31,29.0,23.643835616438356,4.0,30204688.99271504
2015-12-31,31.0,28.413698630136988,4.0,35203683.5847739
2016-12-31,27.0,27.685792349726775,3.0,21885220.268625088
2017-12-31,18.0,27.715068493150685,3.0,16916206.874375645
2018-12-31,30.0,29.24109589041096,4.0,3312606.1667958777
2019-12-31,22.0,29.312328767123287,4.0,37344915.05453554
