Volcano_Number,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type
210010,West Eifel Volcanic Field,Volcanic field,Germany,European Volcanic Regions,50.1700,6.8500,600,Rift zone / Continental crust (> 25 km),Eruption Dated,Foidite
210020,Chaine des Puys,Lava dome(s),France,European Volcanic Regions,45.7860,2.9810,1464,Rift zone / Continental crust (> 25 km),Eruption Dated,Basalt / Picro-Basalt
210030,Olot Volcanic Field,Volcanic field,Spain,European Volcanic Regions,42.1700,2.5300,893,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachybasalt / Tephrite Basanite
210040,Calatrava Volcanic Field,Volcanic field,Spain,European Volcanic Regions,38.8700,-4.0200,1117,Intraplate / Continental crust (> 25 km),Eruption Dated,Basalt / Picro-Basalt
211004,Colli Albani,Caldera,Italy,European Volcanic Regions,41.7569,12.7251,949,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Foidite
211010,Campi Flegrei,Caldera,Italy,European Volcanic Regions,40.8270,14.1390,458,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachyte / Trachydacite
211020,Vesuvius,Stratovolcano,Italy,European Volcanic Regions,40.8210,14.4260,1281,Subduction zone / Continental crust (> 25 km),Eruption Observed,Phono-tephrite /  Tephri-phonolite
211031,Palinuro,Compound,Italy,European Volcanic Regions,39.4800,14.8300,-70,Subduction zone / Continental crust (> 25 km),Eruption Dated,Phonolite
211030,Ischia,Complex,Italy,European Volcanic Regions,40.7300,13.8970,789,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachyte / Trachydacite
211041,Panarea,Stratovolcano,Italy,European Volcanic Regions,38.6380,15.0640,399,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Andesite / Basaltic Andesite
211042,Lipari,Stratovolcano(es),Italy,European Volcanic Regions,38.4900,14.9330,590,Subduction zone / Continental crust (> 25 km),Eruption Dated,Rhyolite
211040,Stromboli,Stratovolcano,Italy,European Volcanic Regions,38.7890,15.2130,924,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite
211050,Vulcano,Stratovolcano(es),Italy,European Volcanic Regions,38.4040,14.9620,500,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite
211060,Etna,Stratovolcano(es),Italy,European Volcanic Regions,37.7480,14.9990,3357,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite
211071,Pantelleria,Shield,Italy,European Volcanic Regions,36.7700,12.0200,836,Rift zone / Continental crust (> 25 km),Eruption Observed,Rhyolite
211070,Campi Flegrei del Mar di Sicilia,Volcanic field,Italy,European Volcanic Regions,37.1000,12.7000,-8,Rift zone / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite
212020,Methana,Lava dome(s),Greece,European Volcanic Regions,37.6186,23.3331,380,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
212030,Milos,Stratovolcano(es),Greece,European Volcanic Regions,36.6990,24.4390,751,Subduction zone / Continental crust (> 25 km),Eruption Dated,Rhyolite
212040,Santorini,Shield(s),Greece,European Volcanic Regions,36.4040,25.3960,367,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite
212050,Nisyros,Stratovolcano,Greece,European Volcanic Regions,36.5888,27.1553,698,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite
213000,Kula,Volcanic field,Turkiye,European Volcanic Regions,38.5800,28.5200,750,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachybasalt / Tephrite Basanite
213002,Hasandag-Keciboyduran Volcanic Complex,Stratovolcano,Turkiye,European Volcanic Regions,38.1300,34.1700,3253,Intraplate / Continental crust (> 25 km),Evidence Credible,Dacite
213011,Karaca Dag,Shield,Turkiye,Arabia-Central Asia Volcanic Regions,37.6700,39.8300,1957,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
213010,Erciyes Volcanic Complex,Stratovolcano,Turkiye,European Volcanic Regions,38.5310,35.4470,3864,Intraplate / Continental crust (> 25 km),Eruption Dated,Dacite
213020,Nemrut Dagi,Stratovolcano,Turkiye,Arabia-Central Asia Volcanic Regions,38.6540,42.2290,2948,Intraplate / Continental crust (> 25 km),Eruption Observed,Rhyolite
213030,Tenduruk Dagi,Shield,Turkiye,Arabia-Central Asia Volcanic Regions,39.3560,43.8740,3514,Intraplate / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
213040,Ararat,Stratovolcano,Turkiye,Arabia-Central Asia Volcanic Regions,39.7000,44.3000,5165,Intraplate / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
214010,Elbrus,Stratovolcano,Russia,Arabia-Central Asia Volcanic Regions,43.3510,42.4420,5642,Intraplate / Continental crust (> 25 km),Eruption Dated,Dacite
214020,Kazbek,Stratovolcano,Georgia,Arabia-Central Asia Volcanic Regions,42.7000,44.5000,5050,Intraplate / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
214050,Samsari Volcanic Center,Volcanic field,Georgia,Arabia-Central Asia Volcanic Regions,41.5420,43.7000,3290,Intraplate / Continental crust (> 25 km),Evidence Uncertain,Andesite / Basaltic Andesite
214060,Aragats,Stratovolcano,Armenia,Arabia-Central Asia Volcanic Regions,40.5300,44.2000,4095,Intraplate / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
214070,Ghegham Volcanic Ridge,Volcanic field,Armenia,Arabia-Central Asia Volcanic Regions,40.2830,45.0000,3597,Intraplate / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
214080,Vaiyots-Sar,Pyroclastic cone(s),Armenia,Arabia-Central Asia Volcanic Regions,39.7970,45.4970,2575,Intraplate / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
214090,Porak,Volcanic field,Armenia-Azerbaijan,Arabia-Central Asia Volcanic Regions,40.0280,45.7400,3029,Intraplate / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
214100,Tskhouk-Karckar,Pyroclastic cone(s),Armenia-Azerbaijan,Arabia-Central Asia Volcanic Regions,39.7420,45.9920,3139,Intraplate / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
221010,"Tair, Jebel at",Stratovolcano,Yemen,Eastern Africa Volcanic Regions,15.5500,41.8300,244,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Trachybasalt / Tephrite Basanite
221021,Zukur,Shield,Yemen,Eastern Africa Volcanic Regions,14.0200,42.7500,624,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt
221022,Hanish,Shield,Yemen,Eastern Africa Volcanic Regions,13.7200,42.7300,422,Rift zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt
221020,Zubair Group,Shield,Yemen,Eastern Africa Volcanic Regions,15.0500,42.1800,191,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt
221041,Dallol,Explosion crater(s),Ethiopia,Eastern Africa Volcanic Regions,14.2420,40.3000,-48,Rift zone / Intermediate crust (15-25 km),Eruption Observed,No Data (checked)
